time,high,low
2023-01-01,,
2023-01-02,,
2023-01-03,30.21,28.64
2023-01-04,30.95,29.63
2023-01-05,30.14,29.52
2023-01-06,31.13,29.77
2023-01-07,,
2023-01-08,,
2023-01-09,30.95,29.96
2023-01-10,30.58,29.88
2023-01-11,30.95,29.99
2023-01-12,30.76,30.07
2023-01-13,30.95,30.51
2023-01-14,,
2023-01-15,,
2023-01-16,32.78,30.76
2023-01-17,33.22,32.71
2023-01-18,33.4,32.85
2023-01-19,33.95,32.96
2023-01-20,,
2023-01-21,,
2023-01-22,,
2023-01-23,,
2023-01-24,,
2023-01-25,,
2023-01-26,,
2023-01-27,34.17,32.63
2023-01-28,,
2023-01-29,,
2023-01-30,32.93,32.27
2023-01-31,33.07,31.94
2023-02-01,33.37,31.24
2023-02-02,31.97,30.87
2023-02-03,32.12,31.64
2023-02-04,,
2023-02-05,,
2023-02-06,33.0,31.46
2023-02-07,33.26,32.05
2023-02-08,33.18,32.19
2023-02-09,33.0,32.27
2023-02-10,32.67,31.5
2023-02-11,,
2023-02-12,,
2023-02-13,32.56,31.5
2023-02-14,32.63,31.75
2023-02-15,32.6,31.64
2023-02-16,33.0,32.27
2023-02-17,33.59,32.96
2023-02-18,,
2023-02-19,,
2023-02-20,34.72,33.59
2023-02-21,34.69,33.92
2023-02-22,33.73,33.0
2023-02-23,33.4,32.05
2023-02-24,33.4,32.56
2023-02-25,,
2023-02-26,,
2023-02-27,32.63,31.97
2023-02-28,32.71,32.3
2023-03-01,33.48,32.12
2023-03-02,34.1,33.29
2023-03-03,34.1,33.18
2023-03-04,,
2023-03-05,,
2023-03-06,34.47,33.22
2023-03-07,34.54,33.37
2023-03-08,35.2,33.66
2023-03-09,35.2,34.5
2023-03-10,34.8,34.43
2023-03-11,,
2023-03-12,,
2023-03-13,34.39,33.92
2023-03-14,33.99,32.82
2023-03-15,34.76,33.33
2023-03-16,34.39,33.77
2023-03-17,34.47,33.73
2023-03-18,,
2023-03-19,,
2023-03-20,33.73,33.0
2023-03-21,33.55,32.85
2023-03-22,33.88,33.33
2023-03-23,33.73,33.22
2023-03-24,33.95,33.37
2023-03-25,,
2023-03-26,,
2023-03-27,33.84,33.0
2023-03-28,34.32,33.73
2023-03-29,33.99,33.4
2023-03-30,34.17,33.88
2023-03-31,34.47,33.77
2023-04-01,,
2023-04-02,,
2023-04-03,34.32,33.59
2023-04-04,33.84,33.51
2023-04-05,33.95,33.22
2023-04-06,34.1,33.22
2023-04-07,33.73,33.37
2023-04-08,,
2023-04-09,,
2023-04-10,33.59,32.78
2023-04-11,32.74,32.38
2023-04-12,32.85,32.41
2023-04-13,33.0,32.56
2023-04-14,33.0,32.6
2023-04-15,,
2023-04-16,,
2023-04-17,33.07,32.56
2023-04-18,33.0,32.49
2023-04-19,32.82,32.41
2023-04-20,32.71,32.38
2023-04-21,32.71,32.41
2023-04-22,,
2023-04-23,,
2023-04-24,32.41,32.05
2023-04-25,32.19,31.64
2023-04-26,32.49,31.68
2023-04-27,32.34,31.9
2023-04-28,32.34,31.9
2023-04-29,,
2023-04-30,,
2023-05-01,,
2023-05-02,,
2023-05-03,,
2023-05-04,32.41,31.75
2023-05-05,32.16,31.86
2023-05-06,,
2023-05-07,,
2023-05-08,33.37,31.94
2023-05-09,33.26,32.78
2023-05-10,33.22,32.63
2023-05-11,33.18,32.85
2023-05-12,33.07,32.67
2023-05-13,,
2023-05-14,,
2023-05-15,33.73,32.93
2023-05-16,33.07,32.82
2023-05-17,33.07,32.85
2023-05-18,32.96,32.63
2023-05-19,32.96,32.49
2023-05-20,,
2023-05-21,,
2023-05-22,32.96,32.56
2023-05-23,32.93,32.16
2023-05-24,32.27,31.9
2023-05-25,32.27,31.86
2023-05-26,32.34,31.83
2023-05-27,,
2023-05-28,,
2023-05-29,32.23,31.83
2023-05-30,32.27,31.97
2023-05-31,32.27,31.94
2023-06-01,32.27,32.01
2023-06-02,32.93,32.27
2023-06-03,,
2023-06-04,,
2023-06-05,33.26,32.78
2023-06-06,33.0,32.49
2023-06-07,32.93,32.52
2023-06-08,32.63,32.05
2023-06-09,32.3,31.61
2023-06-10,,
2023-06-11,,
2023-06-12,32.01,31.53
2023-06-13,32.63,32.01
2023-06-14,32.78,32.27
2023-06-15,32.41,32.05
2023-06-16,32.63,32.01
2023-06-17,,
2023-06-18,,
2023-06-19,32.16,31.75
2023-06-20,31.9,31.64
2023-06-21,32.27,31.75
2023-06-22,32.3,31.83
2023-06-23,32.96,32.05
2023-06-24,,
2023-06-25,,
2023-06-26,32.89,32.19
2023-06-27,32.6,32.27
2023-06-28,33.26,32.38
2023-06-29,33.66,32.63
2023-06-30,32.85,31.79
2023-07-01,,
2023-07-02,,
2023-07-03,32.63,32.05
2023-07-04,32.67,32.08
2023-07-05,32.82,32.3
2023-07-06,32.74,31.97
2023-07-07,32.49,32.05
2023-07-08,,
2023-07-09,,
2023-07-10,34.43,32.41
2023-07-11,34.76,34.1
2023-07-12,34.58,33.84
2023-07-13,34.83,34.14
2023-07-14,34.94,33.77
2023-07-15,,
2023-07-16,,
2023-07-17,34.54,33.88
2023-07-18,34.25,33.88
2023-07-19,34.39,33.62
2023-07-20,34.03,33.62
2023-07-21,34.28,33.81
2023-07-22,,
2023-07-23,,
2023-07-24,34.91,34.32
2023-07-25,34.61,34.25
2023-07-26,35.24,34.58
2023-07-27,34.76,34.21
2023-07-28,34.69,34.03
2023-07-29,,
2023-07-30,,
2023-07-31,34.8,34.25
2023-08-01,36.3,34.61
2023-08-02,36.15,35.31
2023-08-03,36.04,35.49
2023-08-04,35.86,35.35
2023-08-05,,
2023-08-06,,
2023-08-07,36.26,35.53
2023-08-08,36.26,35.6
2023-08-09,35.79,35.24
2023-08-10,35.49,34.1
2023-08-11,34.39,33.44
2023-08-12,,
2023-08-13,,
2023-08-14,34.94,34.21
2023-08-15,34.91,34.36
2023-08-16,34.91,34.39
2023-08-17,34.98,34.54
2023-08-18,34.54,32.34
2023-08-19,,
2023-08-20,,
2023-08-21,34.36,32.63
2023-08-22,33.7,32.63
2023-08-23,33.88,33.29
2023-08-24,33.81,33.26
2023-08-25,33.59,33.04
2023-08-26,,
2023-08-27,,
2023-08-28,33.66,33.22
2023-08-29,33.81,33.26
2023-08-30,34.17,33.59
2023-08-31,34.43,33.95
2023-09-01,,
2023-09-02,,
2023-09-03,,
2023-09-04,,
2023-09-05,34.98,34.47
2023-09-06,34.98,34.58
2023-09-07,35.31,34.61
2023-09-08,34.87,34.43
2023-09-09,,
2023-09-10,,
2023-09-11,34.76,33.73
2023-09-12,34.47,34.03
2023-09-13,34.72,34.1
2023-09-14,35.13,34.28
2023-09-15,34.76,34.32
2023-09-16,,
2023-09-17,,
2023-09-18,34.47,33.22
2023-09-19,33.84,33.0
2023-09-20,33.51,33.07
2023-09-21,33.77,33.07
2023-09-22,33.77,32.41
2023-09-23,,
2023-09-24,,
2023-09-25,33.77,32.93
2023-09-26,33.22,32.41
2023-09-27,32.78,32.45
2023-09-28,32.78,32.45
2023-09-29,32.82,32.41
2023-09-30,,
2023-10-01,,
2023-10-02,32.74,32.12
2023-10-03,32.08,30.47
2023-10-04,31.5,30.07
2023-10-05,31.42,30.47
2023-10-06,31.17,30.21
2023-10-07,,
2023-10-08,,
2023-10-09,31.02,30.65
2023-10-10,31.17,30.73
2023-10-11,31.17,30.62
2023-10-12,31.09,30.73
2023-10-13,31.17,30.87
2023-10-14,,
2023-10-15,,
2023-10-16,31.17,30.25
2023-10-17,30.95,30.29
2023-10-18,30.32,29.33
2023-10-19,29.77,29.11
2023-10-20,29.7,29.0
2023-10-21,,
2023-10-22,,
2023-10-23,29.7,29.41
2023-10-24,30.4,29.44
