time,high,low
2023-01-01,,
2023-01-02,,
2023-01-03,45.55,44.36
2023-01-04,45.79,45.31
2023-01-05,46.17,45.65
2023-01-06,46.5,45.69
2023-01-07,,
2023-01-08,,
2023-01-09,46.36,45.65
2023-01-10,45.88,45.31
2023-01-11,46.55,45.79
2023-01-12,47.12,46.36
2023-01-13,47.22,46.6
2023-01-14,,
2023-01-15,,
2023-01-16,46.84,45.93
2023-01-17,46.5,45.93
2023-01-18,46.7,45.98
2023-01-19,47.7,46.12
2023-01-20,,
2023-01-21,,
2023-01-22,,
2023-01-23,,
2023-01-24,,
2023-01-25,,
2023-01-26,,
2023-01-27,49.22,47.65
2023-01-28,,
2023-01-29,,
2023-01-30,49.13,47.89
2023-01-31,48.17,47.32
2023-02-01,49.41,47.32
2023-02-02,48.27,46.65
2023-02-03,48.17,46.84
2023-02-04,,
2023-02-05,,
2023-02-06,48.27,46.93
2023-02-07,48.56,46.93
2023-02-08,47.79,46.84
2023-02-09,47.7,46.98
2023-02-10,47.89,46.79
2023-02-11,,
2023-02-12,,
2023-02-13,47.51,46.27
2023-02-14,47.12,46.55
2023-02-15,47.46,46.74
2023-02-16,48.08,47.03
2023-02-17,48.84,47.65
2023-02-18,,
2023-02-19,,
2023-02-20,48.84,48.17
2023-02-21,49.03,48.08
2023-02-22,48.84,47.7
2023-02-23,47.7,46.74
2023-02-24,47.51,46.65
2023-02-25,,
2023-02-26,,
2023-02-27,46.6,45.88
2023-02-28,46.74,45.98
2023-03-01,47.22,45.98
2023-03-02,47.17,46.74
2023-03-03,47.22,46.22
2023-03-04,,
2023-03-05,,
2023-03-06,46.65,45.79
2023-03-07,46.74,45.93
2023-03-08,46.74,45.93
2023-03-09,47.22,46.5
2023-03-10,46.93,46.36
2023-03-11,,
2023-03-12,,
2023-03-13,47.41,46.17
2023-03-14,47.12,46.46
2023-03-15,47.22,46.55
2023-03-16,47.03,46.27
2023-03-17,47.7,46.22
2023-03-18,,
2023-03-19,,
2023-03-20,47.7,46.65
2023-03-21,47.12,46.46
2023-03-22,47.08,46.5
2023-03-23,46.74,46.27
2023-03-24,46.74,45.79
2023-03-25,,
2023-03-26,,
2023-03-27,46.46,46.03
2023-03-28,46.74,46.27
2023-03-29,46.46,45.93
2023-03-30,46.36,46.08
2023-03-31,46.41,46.17
2023-04-01,,
2023-04-02,,
2023-04-03,46.74,46.36
2023-04-04,47.03,46.5
2023-04-05,47.03,46.55
2023-04-06,47.12,46.27
2023-04-07,46.41,46.12
2023-04-08,,
2023-04-09,,
2023-04-10,46.74,46.22
2023-04-11,46.89,46.31
2023-04-12,46.98,46.27
2023-04-13,46.36,46.17
2023-04-14,46.31,45.79
2023-04-15,,
2023-04-16,,
2023-04-17,45.93,45.03
2023-04-18,45.79,44.74
2023-04-19,44.93,44.02
2023-04-20,45.17,44.26
2023-04-21,45.12,44.31
2023-04-22,,
2023-04-23,,
2023-04-24,44.74,44.22
2023-04-25,44.36,43.5
2023-04-26,43.79,42.93
2023-04-27,44.12,42.78
2023-04-28,43.36,42.78
2023-04-29,,
2023-04-30,,
2023-05-01,,
2023-05-02,,
2023-05-03,,
2023-05-04,43.64,42.83
2023-05-05,44.12,43.17
2023-05-06,,
2023-05-07,,
2023-05-08,44.12,43.69
2023-05-09,44.22,43.83
2023-05-10,44.12,43.69
2023-05-11,44.12,43.5
2023-05-12,43.88,42.98
2023-05-13,,
2023-05-14,,
2023-05-15,44.31,43.36
2023-05-16,43.83,43.12
2023-05-17,43.31,42.98
2023-05-18,43.21,42.74
2023-05-19,43.31,42.26
2023-05-20,,
2023-05-21,,
2023-05-22,42.45,41.78
2023-05-23,42.55,41.78
2023-05-24,43.07,42.4
2023-05-25,42.59,41.97
2023-05-26,42.45,41.5
2023-05-27,,
2023-05-28,,
2023-05-29,42.12,41.5
2023-05-30,42.36,41.69
2023-05-31,41.93,41.5
2023-06-01,41.88,41.4
2023-06-02,42.26,41.88
2023-06-03,,
2023-06-04,,
2023-06-05,42.98,42.4
2023-06-06,43.12,42.5
2023-06-07,43.07,42.45
2023-06-08,42.93,42.07
2023-06-09,42.12,41.64
2023-06-10,,
2023-06-11,,
2023-06-12,42.45,41.69
2023-06-13,43.6,42.74
2023-06-14,43.4,42.45
2023-06-15,42.78,42.12
2023-06-16,42.98,42.02
2023-06-17,,
2023-06-18,,
2023-06-19,42.16,41.64
2023-06-20,41.97,41.5
2023-06-21,42.16,41.64
2023-06-22,42.4,41.88
2023-06-23,43.02,42.21
2023-06-24,,
2023-06-25,,
2023-06-26,43.45,42.55
2023-06-27,43.83,43.12
2023-06-28,43.69,42.98
2023-06-29,43.17,42.26
2023-06-30,42.36,42.02
2023-07-01,,
2023-07-02,,
2023-07-03,42.64,42.16
2023-07-04,42.98,42.4
2023-07-05,43.02,42.74
2023-07-06,43.5,42.74
2023-07-07,43.26,42.74
2023-07-08,,
2023-07-09,,
2023-07-10,43.55,43.21
2023-07-11,43.69,43.26
2023-07-12,45.22,43.45
2023-07-13,45.31,44.69
2023-07-14,45.03,44.17
2023-07-15,,
2023-07-16,,
2023-07-17,45.12,44.31
2023-07-18,45.6,44.84
2023-07-19,45.03,44.6
2023-07-20,44.84,44.41
2023-07-21,45.79,44.69
2023-07-22,,
2023-07-23,,
2023-07-24,45.65,44.93
2023-07-25,45.07,44.41
2023-07-26,44.98,44.45
2023-07-27,44.93,44.26
2023-07-28,44.69,44.22
2023-07-29,,
2023-07-30,,
2023-07-31,46.17,44.93
2023-08-01,46.17,45.07
2023-08-02,45.93,44.74
2023-08-03,45.79,45.03
2023-08-04,45.36,44.88
2023-08-05,,
2023-08-06,,
2023-08-07,45.79,44.98
2023-08-08,46.03,45.31
2023-08-09,45.55,45.12
2023-08-10,45.69,44.84
2023-08-11,44.98,44.31
2023-08-12,,
2023-08-13,,
2023-08-14,45.03,44.5
2023-08-15,45.79,44.64
2023-08-16,45.03,44.64
2023-08-17,44.74,44.36
2023-08-18,44.64,42.16
2023-08-19,,
2023-08-20,,
2023-08-21,42.98,41.93
2023-08-22,43.36,42.36
2023-08-23,43.5,42.88
2023-08-24,43.4,42.98
2023-08-25,43.4,42.78
2023-08-26,,
2023-08-27,,
2023-08-28,43.02,42.59
2023-08-29,43.36,42.74
2023-08-30,43.12,42.78
2023-08-31,43.31,42.98
2023-09-01,,
2023-09-02,,
2023-09-03,,
2023-09-04,,
2023-09-05,43.79,43.21
2023-09-06,43.64,43.26
2023-09-07,43.88,43.4
2023-09-08,43.88,43.45
2023-09-09,,
2023-09-10,,
2023-09-11,44.26,43.4
2023-09-12,43.69,43.31
2023-09-13,43.93,43.4
2023-09-14,43.5,42.78
2023-09-15,43.4,42.83
2023-09-16,,
2023-09-17,,
2023-09-18,43.12,42.45
2023-09-19,42.83,41.73
2023-09-20,42.74,41.93
2023-09-21,42.74,42.31
2023-09-22,42.07,41.02
2023-09-23,,
2023-09-24,,
2023-09-25,41.97,40.26
2023-09-26,40.88,39.78
2023-09-27,40.45,39.97
2023-09-28,40.59,40.21
2023-09-29,40.69,40.21
2023-09-30,,
2023-10-01,,
2023-10-02,40.59,40.16
2023-10-03,40.4,39.87
2023-10-04,40.45,39.59
2023-10-05,40.54,39.97
2023-10-06,40.21,39.59
2023-10-07,,
2023-10-08,,
2023-10-09,40.35,39.92
2023-10-10,40.78,40.3
2023-10-11,40.73,40.45
2023-10-12,40.83,40.59
2023-10-13,40.64,40.07
2023-10-14,,
2023-10-15,,
2023-10-16,40.35,39.4
2023-10-17,40.11,39.64
2023-10-18,39.68,38.63
2023-10-19,39.02,38.35
2023-10-20,39.25,38.3
2023-10-21,,
2023-10-22,,
2023-10-23,39.11,38.44
2023-10-24,38.92,38.44
