time,high,low
2023-01-01,,
2023-01-02,,
2023-01-03,17.5,16.55
2023-01-04,18.0,17.55
2023-01-05,18.18,17.41
2023-01-06,18.27,17.45
2023-01-07,,
2023-01-08,,
2023-01-09,18.27,17.73
2023-01-10,18.27,17.45
2023-01-11,18.68,18.09
2023-01-12,18.41,18.09
2023-01-13,18.5,18.09
2023-01-14,,
2023-01-15,,
2023-01-16,18.77,18.14
2023-01-17,19.68,18.59
2023-01-18,20.05,19.59
2023-01-19,19.86,18.95
2023-01-20,,
2023-01-21,,
2023-01-22,,
2023-01-23,,
2023-01-24,,
2023-01-25,,
2023-01-26,,
2023-01-27,19.59,18.95
2023-01-28,,
2023-01-29,,
2023-01-30,20.18,19.41
2023-01-31,20.09,19.73
2023-02-01,20.59,19.09
2023-02-02,19.73,19.18
2023-02-03,19.59,19.09
2023-02-04,,
2023-02-05,,
2023-02-06,19.23,18.68
2023-02-07,19.27,17.91
2023-02-08,19.18,17.95
2023-02-09,19.32,18.73
2023-02-10,18.91,18.32
2023-02-11,,
2023-02-12,,
2023-02-13,18.55,17.95
2023-02-14,19.0,18.41
2023-02-15,19.14,18.41
2023-02-16,19.45,18.73
2023-02-17,19.41,19.09
2023-02-18,,
2023-02-19,,
2023-02-20,19.91,19.09
2023-02-21,20.27,19.64
2023-02-22,20.09,19.27
2023-02-23,19.55,18.55
2023-02-24,19.55,18.77
2023-02-25,,
2023-02-26,,
2023-02-27,18.68,18.14
2023-02-28,18.64,18.09
2023-03-01,19.0,18.0
2023-03-02,19.18,18.73
2023-03-03,19.18,18.5
2023-03-04,,
2023-03-05,,
2023-03-06,18.95,18.55
2023-03-07,19.41,18.68
2023-03-08,19.27,18.91
2023-03-09,19.59,19.27
2023-03-10,19.5,19.09
2023-03-11,,
2023-03-12,,
2023-03-13,19.45,19.0
2023-03-14,19.18,18.36
2023-03-15,19.36,18.73
2023-03-16,19.18,18.64
2023-03-17,19.14,18.55
2023-03-18,,
2023-03-19,,
2023-03-20,18.73,18.18
2023-03-21,18.68,18.05
2023-03-22,18.73,18.32
2023-03-23,18.55,18.23
2023-03-24,18.64,18.45
2023-03-25,,
2023-03-26,,
2023-03-27,19.0,18.5
2023-03-28,19.09,18.82
2023-03-29,19.18,18.82
2023-03-30,19.23,18.86
2023-03-31,19.0,18.5
2023-04-01,,
2023-04-02,,
2023-04-03,19.18,18.95
2023-04-04,19.27,19.05
2023-04-05,19.55,19.05
2023-04-06,19.91,19.45
2023-04-07,19.64,19.18
2023-04-08,,
2023-04-09,,
2023-04-10,19.41,18.73
2023-04-11,18.95,18.73
2023-04-12,19.0,18.77
2023-04-13,18.91,18.5
2023-04-14,18.95,18.64
2023-04-15,,
2023-04-16,,
2023-04-17,19.0,18.73
2023-04-18,19.09,18.91
2023-04-19,19.14,18.91
2023-04-20,19.0,18.86
2023-04-21,18.95,18.82
2023-04-22,,
2023-04-23,,
2023-04-24,18.91,18.68
2023-04-25,19.32,18.82
2023-04-26,20.0,19.0
2023-04-27,20.0,19.64
2023-04-28,19.82,19.45
2023-04-29,,
2023-04-30,,
2023-05-01,,
2023-05-02,,
2023-05-03,,
2023-05-04,19.64,19.27
2023-05-05,19.73,19.27
2023-05-06,,
2023-05-07,,
2023-05-08,19.77,19.5
2023-05-09,20.14,19.64
2023-05-10,19.91,19.68
2023-05-11,19.95,19.64
2023-05-12,20.45,19.64
2023-05-13,,
2023-05-14,,
2023-05-15,20.55,20.09
2023-05-16,20.27,19.91
2023-05-17,20.09,19.77
2023-05-18,20.18,19.82
2023-05-19,20.09,19.68
2023-05-20,,
2023-05-21,,
2023-05-22,20.09,19.77
2023-05-23,20.05,19.64
2023-05-24,19.91,19.36
2023-05-25,19.5,19.27
2023-05-26,19.45,18.95
2023-05-27,,
2023-05-28,,
2023-05-29,19.5,19.27
2023-05-30,19.64,19.32
2023-05-31,19.5,19.23
2023-06-01,19.45,19.14
2023-06-02,19.82,19.5
2023-06-03,,
2023-06-04,,
2023-06-05,20.05,19.64
2023-06-06,19.86,19.59
2023-06-07,20.73,20.0
2023-06-08,21.05,20.64
2023-06-09,20.82,20.45
2023-06-10,,
2023-06-11,,
2023-06-12,21.05,20.45
2023-06-13,21.32,20.82
2023-06-14,21.32,21.0
2023-06-15,21.14,20.91
2023-06-16,21.64,21.05
2023-06-17,,
2023-06-18,,
2023-06-19,21.36,21.18
2023-06-20,21.5,21.18
2023-06-21,22.41,21.36
2023-06-22,22.68,22.14
2023-06-23,23.23,22.5
2023-06-24,,
2023-06-25,,
2023-06-26,23.18,22.45
2023-06-27,23.45,22.82
2023-06-28,24.27,23.55
2023-06-29,24.27,23.45
2023-06-30,23.82,23.32
2023-07-01,,
2023-07-02,,
2023-07-03,24.05,23.55
2023-07-04,23.86,23.55
2023-07-05,24.73,23.86
2023-07-06,24.68,24.09
2023-07-07,24.95,24.09
2023-07-08,,
2023-07-09,,
2023-07-10,25.41,24.86
2023-07-11,25.5,24.77
2023-07-12,24.95,24.23
2023-07-13,25.0,24.45
2023-07-14,25.0,24.59
2023-07-15,,
2023-07-16,,
2023-07-17,25.23,24.73
2023-07-18,24.86,24.59
2023-07-19,25.18,24.59
2023-07-20,25.64,24.82
2023-07-21,25.82,25.55
2023-07-22,,
2023-07-23,,
2023-07-24,26.0,25.45
2023-07-25,25.77,25.45
2023-07-26,25.86,25.59
2023-07-27,26.09,25.55
2023-07-28,26.0,25.59
2023-07-29,,
2023-07-30,,
2023-07-31,25.68,24.86
2023-08-01,25.55,25.0
2023-08-02,25.32,24.77
2023-08-03,25.0,24.09
2023-08-04,25.0,24.36
2023-08-05,,
2023-08-06,,
2023-08-07,25.23,24.82
2023-08-08,25.36,24.68
2023-08-09,25.32,24.59
2023-08-10,25.36,24.82
2023-08-11,25.23,24.68
2023-08-12,,
2023-08-13,,
2023-08-14,25.77,25.14
2023-08-15,25.68,25.32
2023-08-16,25.45,25.14
2023-08-17,26.09,25.45
2023-08-18,25.45,23.82
2023-08-19,,
2023-08-20,,
2023-08-21,24.14,23.55
2023-08-22,23.95,22.82
2023-08-23,24.05,23.32
2023-08-24,23.91,23.27
2023-08-25,24.0,23.59
2023-08-26,,
2023-08-27,,
2023-08-28,24.41,23.64
2023-08-29,24.68,24.27
2023-08-30,24.77,24.32
2023-08-31,25.36,24.82
2023-09-01,,
2023-09-02,,
2023-09-03,,
2023-09-04,,
2023-09-05,25.41,24.77
2023-09-06,26.36,24.91
2023-09-07,26.64,25.91
2023-09-08,26.5,25.82
2023-09-09,,
2023-09-10,,
2023-09-11,26.41,25.23
2023-09-12,26.14,25.18
2023-09-13,26.73,25.68
2023-09-14,25.95,25.23
2023-09-15,25.55,25.09
2023-09-16,,
2023-09-17,,
2023-09-18,25.55,24.73
2023-09-19,25.59,25.0
2023-09-20,25.95,25.5
2023-09-21,26.45,25.59
2023-09-22,25.41,24.32
2023-09-23,,
2023-09-24,,
2023-09-25,25.0,23.36
2023-09-26,24.36,23.5
2023-09-27,24.27,23.77
2023-09-28,24.41,23.82
2023-09-29,24.41,23.86
2023-09-30,,
2023-10-01,,
2023-10-02,24.05,23.64
2023-10-03,23.73,22.45
2023-10-04,23.18,21.82
2023-10-05,23.18,22.59
2023-10-06,23.0,22.41
2023-10-07,,
2023-10-08,,
2023-10-09,23.27,22.68
2023-10-10,23.86,23.27
2023-10-11,23.86,23.45
2023-10-12,23.91,23.27
2023-10-13,23.41,22.77
2023-10-14,,
2023-10-15,,
2023-10-16,23.45,22.73
2023-10-17,23.14,22.55
2023-10-18,22.68,21.09
2023-10-19,22.0,21.32
2023-10-20,22.14,21.23
2023-10-21,,
2023-10-22,,
2023-10-23,22.14,21.55
2023-10-24,22.18,21.5
