time,high,low
2023-01-01,,
2023-01-02,,
2023-01-03,43.24,41.76
2023-01-04,43.53,42.35
2023-01-05,43.24,42.55
2023-01-06,43.09,42.4
2023-01-07,,
2023-01-08,,
2023-01-09,42.55,41.27
2023-01-10,41.86,41.17
2023-01-11,42.45,41.57
2023-01-12,42.26,41.32
2023-01-13,41.91,41.32
2023-01-14,,
2023-01-15,,
2023-01-16,41.57,40.98
2023-01-17,42.65,41.47
2023-01-18,44.42,42.5
2023-01-19,45.3,43.97
2023-01-20,,
2023-01-21,,
2023-01-22,,
2023-01-23,,
2023-01-24,,
2023-01-25,,
2023-01-26,,
2023-01-27,46.09,45.1
2023-01-28,,
2023-01-29,,
2023-01-30,45.99,44.61
2023-01-31,45.69,44.56
2023-02-01,46.33,44.91
2023-02-02,49.04,45.5
2023-02-03,47.76,46.97
2023-02-04,,
2023-02-05,,
2023-02-06,46.38,44.91
2023-02-07,47.17,44.91
2023-02-08,45.2,43.73
2023-02-09,44.66,43.24
2023-02-10,43.68,41.37
2023-02-11,,
2023-02-12,,
2023-02-13,41.76,40.78
2023-02-14,42.26,41.67
2023-02-15,42.75,41.76
2023-02-16,42.75,42.06
2023-02-17,42.55,42.11
2023-02-18,,
2023-02-19,,
2023-02-20,43.53,42.01
2023-02-21,44.47,43.63
2023-02-22,43.73,42.26
2023-02-23,42.26,41.27
2023-02-24,42.21,40.88
2023-02-25,,
2023-02-26,,
2023-02-27,41.17,39.8
2023-02-28,40.49,39.16
2023-03-01,40.29,38.57
2023-03-02,40.29,39.31
2023-03-03,39.9,38.72
2023-03-04,,
2023-03-05,,
2023-03-06,39.8,38.72
2023-03-07,39.5,38.52
2023-03-08,38.86,37.98
2023-03-09,39.85,38.86
2023-03-10,39.41,38.72
2023-03-11,,
2023-03-12,,
2023-03-13,39.31,38.72
2023-03-14,38.91,37.64
2023-03-15,39.41,38.72
2023-03-16,39.31,38.13
2023-03-17,39.21,38.18
2023-03-18,,
2023-03-19,,
2023-03-20,38.72,37.39
2023-03-21,38.13,36.85
2023-03-22,37.98,37.29
2023-03-23,37.29,36.85
2023-03-24,37.54,36.95
2023-03-25,,
2023-03-26,,
2023-03-27,37.78,37.19
2023-03-28,38.62,37.44
2023-03-29,38.67,38.03
2023-03-30,38.52,37.49
2023-03-31,38.28,37.59
2023-04-01,,
2023-04-02,,
2023-04-03,38.52,38.03
2023-04-04,39.26,38.37
2023-04-05,39.16,38.82
2023-04-06,39.31,38.37
2023-04-07,38.37,37.83
2023-04-08,,
2023-04-09,,
2023-04-10,40.44,38.52
2023-04-11,40.29,39.5
2023-04-12,40.98,39.8
2023-04-13,40.58,39.95
2023-04-14,40.68,39.31
2023-04-15,,
2023-04-16,,
2023-04-17,39.31,38.86
2023-04-18,40.04,39.26
2023-04-19,40.58,39.31
2023-04-20,39.8,39.21
2023-04-21,39.7,38.62
2023-04-22,,
2023-04-23,,
2023-04-24,38.62,37.59
2023-04-25,38.13,36.85
2023-04-26,37.73,37.0
2023-04-27,37.98,37.49
2023-04-28,38.52,37.93
2023-04-29,,
2023-04-30,,
2023-05-01,,
2023-05-02,,
2023-05-03,,
2023-05-04,38.23,37.24
2023-05-05,37.44,37.0
2023-05-06,,
2023-05-07,,
2023-05-08,37.59,37.15
2023-05-09,37.69,37.19
2023-05-10,38.32,37.24
2023-05-11,38.67,37.88
2023-05-12,38.42,37.54
2023-05-13,,
2023-05-14,,
2023-05-15,38.72,38.18
2023-05-16,38.28,37.54
2023-05-17,37.98,37.29
2023-05-18,38.03,37.44
2023-05-19,37.64,37.15
2023-05-20,,
2023-05-21,,
2023-05-22,37.98,37.39
2023-05-23,38.13,37.54
2023-05-24,37.78,37.24
2023-05-25,37.73,37.15
2023-05-26,37.73,37.34
2023-05-27,,
2023-05-28,,
2023-05-29,38.03,37.49
2023-05-30,39.11,38.18
2023-05-31,38.77,38.28
2023-06-01,38.82,38.03
2023-06-02,40.14,38.52
2023-06-03,,
2023-06-04,,
2023-06-05,40.88,40.09
2023-06-06,41.32,40.34
2023-06-07,41.22,40.34
2023-06-08,41.27,39.9
2023-06-09,40.68,39.8
2023-06-10,,
2023-06-11,,
2023-06-12,42.26,40.78
2023-06-13,42.65,41.86
2023-06-14,42.26,41.32
2023-06-15,41.67,40.73
2023-06-16,41.57,40.44
2023-06-17,,
2023-06-18,,
2023-06-19,40.98,40.39
2023-06-20,41.76,40.88
2023-06-21,41.96,41.47
2023-06-22,42.89,41.62
2023-06-23,42.45,41.96
2023-06-24,,
2023-06-25,,
2023-06-26,43.73,41.86
2023-06-27,44.12,42.99
2023-06-28,43.68,42.45
2023-06-29,43.14,41.96
2023-06-30,43.14,41.76
2023-07-01,,
2023-07-02,,
2023-07-03,42.89,42.06
2023-07-04,42.89,41.91
2023-07-05,43.68,42.6
2023-07-06,42.99,42.11
2023-07-07,44.71,42.3
2023-07-08,,
2023-07-09,,
2023-07-10,46.92,45.01
2023-07-11,47.95,46.53
2023-07-12,48.45,47.36
2023-07-13,49.04,48.3
2023-07-14,48.59,47.66
2023-07-15,,
2023-07-16,,
2023-07-17,48.99,47.81
2023-07-18,47.76,46.92
2023-07-19,48.1,47.12
2023-07-20,48.64,47.56
2023-07-21,51.59,48.1
2023-07-22,,
2023-07-23,,
2023-07-24,53.56,51.1
2023-07-25,53.56,51.98
2023-07-26,53.26,51.1
2023-07-27,54.07,51.79
2023-07-28,54.47,52.78
2023-07-29,,
2023-07-30,,
2023-07-31,53.77,52.18
2023-08-01,53.67,51.29
2023-08-02,52.09,51.19
2023-08-03,53.28,50.99
2023-08-04,52.78,51.89
2023-08-05,,
2023-08-06,,
2023-08-07,54.47,52.88
2023-08-08,53.87,52.98
2023-08-09,52.98,51.59
2023-08-10,52.58,51.29
2023-08-11,52.88,50.6
2023-08-12,,
2023-08-13,,
2023-08-14,53.87,52.18
2023-08-15,55.46,53.57
2023-08-16,53.87,52.58
2023-08-17,54.76,52.98
2023-08-18,53.47,49.8
2023-08-19,,
2023-08-20,,
2023-08-21,50.1,48.36
2023-08-22,49.8,46.98
2023-08-23,50.3,48.81
2023-08-24,50.4,49.31
2023-08-25,50.99,49.6
2023-08-26,,
2023-08-27,,
2023-08-28,51.49,50.0
2023-08-29,52.78,51.09
2023-08-30,54.07,52.48
2023-08-31,53.97,53.08
2023-09-01,,
2023-09-02,,
2023-09-03,,
2023-09-04,,
2023-09-05,55.06,52.98
2023-09-06,55.16,53.37
2023-09-07,55.36,53.87
2023-09-08,56.05,54.07
2023-09-09,,
2023-09-10,,
2023-09-11,55.76,53.37
2023-09-12,55.36,53.57
2023-09-13,58.83,55.06
2023-09-14,58.04,56.65
2023-09-15,57.05,54.96
2023-09-16,,
2023-09-17,,
2023-09-18,55.16,53.67
2023-09-19,55.06,52.58
2023-09-20,55.76,54.17
2023-09-21,55.36,53.77
2023-09-22,52.98,50.89
2023-09-23,,
2023-09-24,,
2023-09-25,52.58,49.51
2023-09-26,51.29,50.1
2023-09-27,51.59,49.8
2023-09-28,54.27,52.09
2023-09-29,53.37,52.18
2023-09-30,,
2023-10-01,,
2023-10-02,52.58,51.39
2023-10-03,51.09,47.92
2023-10-04,49.6,47.62
2023-10-05,49.51,46.63
2023-10-06,48.12,45.93
2023-10-07,,
2023-10-08,,
2023-10-09,48.51,47.27
2023-10-10,49.06,48.02
2023-10-11,48.91,48.22
2023-10-12,49.11,47.82
2023-10-13,49.11,48.07
2023-10-14,,
2023-10-15,,
2023-10-16,50.3,48.22
2023-10-17,48.51,45.93
2023-10-18,46.63,43.31
2023-10-19,44.35,42.66
2023-10-20,44.64,42.66
2023-10-21,,
2023-10-22,,
2023-10-23,44.5,42.26
2023-10-24,43.26,41.42
