time,high,low
2023-01-01,,
2023-01-02,,
2023-01-03,77.92,75.54
2023-01-04,78.15,75.9
2023-01-05,82.41,77.02
2023-01-06,82.01,78.24
2023-01-07,,
2023-01-08,,
2023-01-09,81.74,78.96
2023-01-10,80.93,79.09
2023-01-11,81.7,80.84
2023-01-12,81.74,80.39
2023-01-13,83.72,80.75
2023-01-14,,
2023-01-15,,
2023-01-16,85.29,83.58
2023-01-17,84.66,81.88
2023-01-18,86.23,83.99
2023-01-19,86.68,83.4
2023-01-20,,
2023-01-21,,
2023-01-22,,
2023-01-23,,
2023-01-24,,
2023-01-25,,
2023-01-26,,
2023-01-27,87.58,83.45
2023-01-28,,
2023-01-29,,
2023-01-30,86.73,85.11
2023-01-31,85.69,83.76
2023-02-01,85.56,83.81
2023-02-02,86.01,83.58
2023-02-03,86.59,83.45
2023-02-04,,
2023-02-05,,
2023-02-06,87.76,85.38
2023-02-07,88.48,85.87
2023-02-08,89.15,84.88
2023-02-09,89.38,86.23
2023-02-10,88.03,84.97
2023-02-11,,
2023-02-12,,
2023-02-13,86.19,83.72
2023-02-14,86.64,84.03
2023-02-15,86.01,84.44
2023-02-16,85.56,84.44
2023-02-17,85.33,83.81
2023-02-18,,
2023-02-19,,
2023-02-20,86.64,84.66
2023-02-21,85.69,84.26
2023-02-22,85.78,83.99
2023-02-23,84.93,83.09
2023-02-24,85.15,83.09
2023-02-25,,
2023-02-26,,
2023-02-27,85.33,83.13
2023-02-28,85.47,83.31
2023-03-01,86.46,83.36
2023-03-02,85.78,84.47
2023-03-03,85.46,83.61
2023-03-04,,
2023-03-05,,
2023-03-06,86.64,83.52
2023-03-07,85.33,83.61
2023-03-08,84.2,83.25
2023-03-09,84.47,84.15
2023-03-10,84.47,83.39
2023-03-11,,
2023-03-12,,
2023-03-13,84.43,83.97
2023-03-14,85.78,84.43
2023-03-15,86.46,85.37
2023-03-16,88.49,84.43
2023-03-17,86.68,85.42
2023-03-18,,
2023-03-19,,
2023-03-20,86.77,84.02
2023-03-21,85.78,83.93
2023-03-22,85.28,82.84
2023-03-23,84.97,83.16
2023-03-24,84.97,83.52
2023-03-25,,
2023-03-26,,
2023-03-27,84.88,83.79
2023-03-28,84.2,83.61
2023-03-29,84.33,83.12
2023-03-30,84.11,83.25
2023-03-31,83.88,82.84
2023-04-01,,
2023-04-02,,
2023-04-03,83.3,81.72
2023-04-04,81.99,80.27
2023-04-05,80.41,79.23
2023-04-06,80.59,79.68
2023-04-07,80.32,79.5
2023-04-08,,
2023-04-09,,
2023-04-10,80.18,79.46
2023-04-11,79.55,79.01
2023-04-12,78.65,77.07
2023-04-13,77.97,76.07
2023-04-14,76.75,75.4
2023-04-15,,
2023-04-16,,
2023-04-17,75.4,74.04
2023-04-18,75.85,74.31
2023-04-19,77.2,75.03
2023-04-20,78.29,76.98
2023-04-21,77.92,76.98
2023-04-22,,
2023-04-23,,
2023-04-24,77.29,76.98
2023-04-25,77.29,76.3
2023-04-26,77.43,77.11
2023-04-27,78.56,76.52
2023-04-28,78.92,77.65
2023-04-29,,
2023-04-30,,
2023-05-01,,
2023-05-02,,
2023-05-03,,
2023-05-04,77.65,74.99
2023-05-05,75.62,74.63
2023-05-06,,
2023-05-07,,
2023-05-08,75.31,74.85
2023-05-09,75.4,74.49
2023-05-10,74.85,74.54
2023-05-11,76.3,74.04
2023-05-12,74.81,73.54
2023-05-13,,
2023-05-14,,
2023-05-15,74.76,74.04
2023-05-16,74.49,73.5
2023-05-17,73.59,73.18
2023-05-18,73.59,72.96
2023-05-19,73.27,72.28
2023-05-20,,
2023-05-21,,
2023-05-22,73.05,72.33
2023-05-23,73.05,71.42
2023-05-24,72.19,71.56
2023-05-25,71.69,70.43
2023-05-26,71.33,69.98
2023-05-27,,
2023-05-28,,
2023-05-29,71.06,70.07
2023-05-30,70.56,70.11
2023-05-31,71.56,70.43
2023-06-01,71.78,70.61
2023-06-02,72.01,71.15
2023-06-03,,
2023-06-04,,
2023-06-05,72.37,71.83
2023-06-06,72.28,71.92
2023-06-07,72.37,72.05
2023-06-08,72.33,72.01
2023-06-09,72.69,72.01
2023-06-10,,
2023-06-11,,
2023-06-12,73.92,72.05
2023-06-13,73.92,73.19
2023-06-14,74.52,73.19
2023-06-15,74.2,72.47
2023-06-16,73.38,70.64
2023-06-17,,
2023-06-18,,
2023-06-19,71.55,71.05
2023-06-20,71.46,70.73
2023-06-21,71.01,70.37
2023-06-22,71.1,70.55
2023-06-23,71.33,70.37
2023-06-24,,
2023-06-25,,
2023-06-26,71.96,71.1
2023-06-27,71.55,70.37
2023-06-28,70.82,70.46
2023-06-29,70.73,70.19
2023-06-30,70.37,69.96
2023-07-01,,
2023-07-02,,
2023-07-03,70.55,69.96
2023-07-04,70.32,69.91
2023-07-05,70.55,70.0
2023-07-06,70.19,69.91
2023-07-07,70.37,68.77
2023-07-08,,
2023-07-09,,
2023-07-10,68.96,68.36
2023-07-11,68.73,68.36
2023-07-12,69.27,68.36
2023-07-13,70.19,68.91
2023-07-14,70.1,69.78
2023-07-15,,
2023-07-16,,
2023-07-17,70.69,69.73
2023-07-18,70.28,69.55
2023-07-19,70.0,69.64
2023-07-20,70.14,69.59
2023-07-21,69.82,69.46
2023-07-22,,
2023-07-23,,
2023-07-24,70.87,69.87
2023-07-25,72.05,70.73
2023-07-26,73.74,71.96
2023-07-27,73.6,72.69
2023-07-28,73.01,71.55
2023-07-29,,
2023-07-30,,
2023-07-31,72.78,71.37
2023-08-01,72.92,72.01
2023-08-02,72.6,71.87
2023-08-03,73.6,72.47
2023-08-04,74.06,72.69
2023-08-05,,
2023-08-06,,
2023-08-07,73.92,72.74
2023-08-08,73.97,73.19
2023-08-09,73.7,73.06
2023-08-10,73.51,72.92
2023-08-11,73.19,72.24
2023-08-12,,
2023-08-13,,
2023-08-14,72.74,72.01
2023-08-15,72.01,71.42
2023-08-16,72.69,71.55
2023-08-17,71.69,70.87
2023-08-18,72.24,69.59
2023-08-19,,
2023-08-20,,
2023-08-21,70.41,69.27
2023-08-22,69.91,68.36
2023-08-23,69.64,68.36
2023-08-24,70.64,69.82
2023-08-25,72.1,70.51
2023-08-26,,
2023-08-27,,
2023-08-28,72.01,71.05
2023-08-29,72.6,71.05
2023-08-30,73.29,72.33
2023-08-31,73.15,72.01
2023-09-01,,
2023-09-02,,
2023-09-03,,
2023-09-04,,
2023-09-05,73.1,72.24
2023-09-06,72.92,72.15
2023-09-07,73.38,72.6
2023-09-08,73.74,72.92
2023-09-09,,
2023-09-10,,
2023-09-11,77.43,73.65
2023-09-12,77.71,76.48
2023-09-13,77.39,75.88
2023-09-14,80.21,76.66
2023-09-15,78.39,75.75
2023-09-16,,
2023-09-17,,
2023-09-18,75.75,73.29
2023-09-19,74.56,71.55
2023-09-20,73.83,72.01
2023-09-21,74.56,72.92
2023-09-22,72.37,70.37
2023-09-23,,
2023-09-24,,
2023-09-25,72.37,69.27
2023-09-26,69.82,68.36
2023-09-27,68.91,67.36
2023-09-28,67.91,65.99
2023-09-29,66.81,65.99
2023-09-30,,
2023-10-01,,
2023-10-02,66.81,66.18
2023-10-03,66.72,64.08
2023-10-04,63.99,63.17
2023-10-05,64.72,63.35
2023-10-06,63.81,62.26
2023-10-07,,
2023-10-08,,
2023-10-09,63.62,62.71
2023-10-10,63.62,61.98
2023-10-11,62.8,61.8
2023-10-12,62.8,62.16
2023-10-13,64.17,62.16
2023-10-14,,
2023-10-15,,
2023-10-16,65.45,63.9
2023-10-17,65.26,63.71
2023-10-18,63.71,61.53
2023-10-19,62.71,61.8
2023-10-20,63.81,61.98
2023-10-21,,
2023-10-22,,
2023-10-23,63.81,61.8
2023-10-24,63.62,61.71
