time,high,low
2023-01-01,,
2023-01-02,,
2023-01-03,7.64,7.28
2023-01-04,7.75,7.53
2023-01-05,7.64,7.46
2023-01-06,8.04,7.53
2023-01-07,,
2023-01-08,,
2023-01-09,7.9,7.68
2023-01-10,7.79,7.6
2023-01-11,7.9,7.68
2023-01-12,7.79,7.68
2023-01-13,8.04,7.75
2023-01-14,,
2023-01-15,,
2023-01-16,7.9,7.79
2023-01-17,8.15,7.9
2023-01-18,8.23,8.08
2023-01-19,8.3,8.04
2023-01-20,,
2023-01-21,,
2023-01-22,,
2023-01-23,,
2023-01-24,,
2023-01-25,,
2023-01-26,,
2023-01-27,8.34,8.15
2023-01-28,,
2023-01-29,,
2023-01-30,8.23,7.97
2023-01-31,8.04,7.82
2023-02-01,8.19,7.71
2023-02-02,7.82,7.6
2023-02-03,7.79,7.6
2023-02-04,,
2023-02-05,,
2023-02-06,7.71,7.57
2023-02-07,7.71,7.39
2023-02-08,7.53,7.31
2023-02-09,7.49,7.39
2023-02-10,7.53,7.35
2023-02-11,,
2023-02-12,,
2023-02-13,7.35,7.11
2023-02-14,7.27,7.18
2023-02-15,7.42,7.2
2023-02-16,7.42,7.29
2023-02-17,7.49,7.31
2023-02-18,,
2023-02-19,,
2023-02-20,7.71,7.39
2023-02-21,7.79,7.57
2023-02-22,7.53,7.39
2023-02-23,7.39,7.25
2023-02-24,7.46,7.28
2023-02-25,,
2023-02-26,,
2023-02-27,7.24,7.15
2023-02-28,7.26,7.14
2023-03-01,7.31,7.09
2023-03-02,7.39,7.24
2023-03-03,7.31,7.15
2023-03-04,,
2023-03-05,,
2023-03-06,7.35,7.25
2023-03-07,7.31,7.25
2023-03-08,7.39,7.19
2023-03-09,7.57,7.35
2023-03-10,7.49,7.39
2023-03-11,,
2023-03-12,,
2023-03-13,7.39,7.24
2023-03-14,7.46,7.25
2023-03-15,7.53,7.39
2023-03-16,7.46,7.39
2023-03-17,7.53,7.39
2023-03-18,,
2023-03-19,,
2023-03-20,7.46,7.25
2023-03-21,7.46,7.28
2023-03-22,7.53,7.39
2023-03-23,7.75,7.31
2023-03-24,7.79,7.6
2023-03-25,,
2023-03-26,,
2023-03-27,7.82,7.6
2023-03-28,7.93,7.75
2023-03-29,7.93,7.79
2023-03-30,7.93,7.75
2023-03-31,7.86,7.71
2023-04-01,,
2023-04-02,,
2023-04-03,8.19,7.82
2023-04-04,8.41,8.08
2023-04-05,8.52,8.26
2023-04-06,8.56,8.23
2023-04-07,8.48,8.01
2023-04-08,,
2023-04-09,,
2023-04-10,8.77,8.41
2023-04-11,8.88,8.52
2023-04-12,8.99,8.77
2023-04-13,8.99,8.77
2023-04-14,8.99,8.59
2023-04-15,,
2023-04-16,,
2023-04-17,8.7,8.45
2023-04-18,8.66,8.37
2023-04-19,8.56,8.3
2023-04-20,8.37,8.23
2023-04-21,8.41,8.12
2023-04-22,,
2023-04-23,,
2023-04-24,8.19,7.97
2023-04-25,8.19,7.97
2023-04-26,8.08,7.86
2023-04-27,8.26,8.08
2023-04-28,8.19,8.08
2023-04-29,,
2023-04-30,,
2023-05-01,,
2023-05-02,,
2023-05-03,,
2023-05-04,8.26,8.04
2023-05-05,8.12,8.01
2023-05-06,,
2023-05-07,,
2023-05-08,8.23,8.04
2023-05-09,8.26,8.15
2023-05-10,8.52,8.19
2023-05-11,8.56,8.41
2023-05-12,8.48,8.34
2023-05-13,,
2023-05-14,,
2023-05-15,8.63,8.41
2023-05-16,8.52,8.34
2023-05-17,8.56,8.3
2023-05-18,8.56,8.41
2023-05-19,8.66,8.37
2023-05-20,,
2023-05-21,,
2023-05-22,8.77,8.56
2023-05-23,8.85,8.56
2023-05-24,8.77,8.59
2023-05-25,8.63,8.41
2023-05-26,8.59,8.45
2023-05-27,,
2023-05-28,,
2023-05-29,8.63,8.48
2023-05-30,8.63,8.52
2023-05-31,8.66,8.56
2023-06-01,8.63,8.52
2023-06-02,8.92,8.7
2023-06-03,,
2023-06-04,,
2023-06-05,9.07,8.85
2023-06-06,9.14,8.92
2023-06-07,9.21,8.96
2023-06-08,9.03,8.81
2023-06-09,8.96,8.74
2023-06-10,,
2023-06-11,,
2023-06-12,8.99,8.81
2023-06-13,9.07,8.92
2023-06-14,9.18,8.96
2023-06-15,9.21,8.99
2023-06-16,9.36,9.07
2023-06-17,,
2023-06-18,,
2023-06-19,9.4,9.14
2023-06-20,9.43,9.21
2023-06-21,9.36,9.21
2023-06-22,9.4,9.29
2023-06-23,9.51,9.29
2023-06-24,,
2023-06-25,,
2023-06-26,9.47,9.25
2023-06-27,9.4,9.25
2023-06-28,9.43,9.29
2023-06-29,9.47,9.21
2023-06-30,9.25,9.14
2023-07-01,,
2023-07-02,,
2023-07-03,9.58,9.18
2023-07-04,9.76,9.51
2023-07-05,9.8,9.62
2023-07-06,9.69,9.4
2023-07-07,9.91,9.54
2023-07-08,,
2023-07-09,,
2023-07-10,9.98,9.83
2023-07-11,10.05,9.87
2023-07-12,10.05,9.83
2023-07-13,10.13,9.98
2023-07-14,10.16,9.87
2023-07-15,,
2023-07-16,,
2023-07-17,10.09,9.98
2023-07-18,10.38,10.09
2023-07-19,10.46,10.31
2023-07-20,10.57,10.27
2023-07-21,10.68,10.49
2023-07-22,,
2023-07-23,,
2023-07-24,10.96,10.79
2023-07-25,11.13,10.83
2023-07-26,10.92,10.79
2023-07-27,10.87,10.66
2023-07-28,10.92,10.66
2023-07-29,,
2023-07-30,,
2023-07-31,10.96,10.79
2023-08-01,11.0,10.83
2023-08-02,10.92,10.79
2023-08-03,10.96,10.83
2023-08-04,11.48,10.92
2023-08-05,,
2023-08-06,,
2023-08-07,11.74,11.48
2023-08-08,11.69,11.43
2023-08-09,11.56,11.3
2023-08-10,11.43,11.13
2023-08-11,11.3,10.96
2023-08-12,,
2023-08-13,,
2023-08-14,11.26,11.09
2023-08-15,11.3,11.13
2023-08-16,11.3,11.09
2023-08-17,11.22,11.09
2023-08-18,11.09,10.35
2023-08-19,,
2023-08-20,,
2023-08-21,10.61,10.14
2023-08-22,10.57,10.14
2023-08-23,10.57,10.27
2023-08-24,10.44,10.27
2023-08-25,10.44,10.31
2023-08-26,,
2023-08-27,,
2023-08-28,10.48,10.31
2023-08-29,10.7,10.44
2023-08-30,10.66,10.53
2023-08-31,10.74,10.57
2023-09-01,,
2023-09-02,,
2023-09-03,,
2023-09-04,,
2023-09-05,11.13,10.79
2023-09-06,11.04,10.87
2023-09-07,11.17,10.96
2023-09-08,11.09,10.96
2023-09-09,,
2023-09-10,,
2023-09-11,11.04,10.61
2023-09-12,10.83,10.53
2023-09-13,10.92,10.61
2023-09-14,10.92,10.61
2023-09-15,10.79,10.53
2023-09-16,,
2023-09-17,,
2023-09-18,10.66,10.4
2023-09-19,10.48,10.31
2023-09-20,10.57,10.4
2023-09-21,10.57,10.35
2023-09-22,10.31,9.92
2023-09-23,,
2023-09-24,,
2023-09-25,10.23,9.49
2023-09-26,9.75,9.32
2023-09-27,9.58,9.15
2023-09-28,9.62,9.36
2023-09-29,9.75,9.49
2023-09-30,,
2023-10-01,,
2023-10-02,9.66,9.49
2023-10-03,9.49,8.97
2023-10-04,9.28,8.97
2023-10-05,9.32,9.06
2023-10-06,9.32,9.06
2023-10-07,,
2023-10-08,,
2023-10-09,9.32,9.19
2023-10-10,9.49,9.32
2023-10-11,9.45,9.32
2023-10-12,9.53,9.36
2023-10-13,9.36,9.23
2023-10-14,,
2023-10-15,,
2023-10-16,9.36,9.15
2023-10-17,9.28,9.15
2023-10-18,9.19,8.84
2023-10-19,9.15,8.84
2023-10-20,9.06,8.76
2023-10-21,,
2023-10-22,,
2023-10-23,9.06,8.84
2023-10-24,9.23,8.93
