time,high,low,volume
2020-01-01,,,
2020-01-02,7.94,7.84,1163109.0
2020-01-03,8.01,7.91,1055528.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,7.94,7.77,1286035.0
2020-01-07,7.84,7.77,1050934.0
2020-01-08,7.77,7.6,2304937.0
2020-01-09,7.81,7.67,1422248.0
2020-01-10,7.98,7.77,2371501.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,7.91,7.84,1523181.0
2020-01-14,8.12,7.91,2851982.0
2020-01-15,8.12,8.01,1158657.0
2020-01-16,8.29,8.05,2819687.0
2020-01-17,8.32,8.19,2706194.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,8.53,8.22,4443379.0
2020-01-21,8.53,8.39,1775816.0
2020-01-22,8.5,8.39,1574379.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,8.39,8.01,4250097.0
2020-01-31,8.22,7.91,4243264.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,7.94,7.5,4430186.0
2020-02-04,8.01,7.77,2397062.0
2020-02-05,8.12,7.91,2790275.0
2020-02-06,8.29,7.94,2980981.0
2020-02-07,8.32,8.15,2007251.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,8.26,8.08,1271190.0
2020-02-11,8.22,8.12,1862090.0
2020-02-12,8.88,8.22,10516207.0
2020-02-13,8.88,8.67,3773365.0
2020-02-14,9.26,8.81,8018099.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,9.22,8.98,3764464.0
2020-02-18,9.36,9.08,6293208.0
2020-02-19,9.22,8.95,5091969.0
2020-02-20,9.33,9.02,5578717.0
2020-02-21,9.19,8.6,6333926.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,8.84,8.22,10321149.0
2020-02-25,8.67,7.98,8279866.0
2020-02-26,8.67,8.39,4519324.0
2020-02-27,8.81,8.36,5309790.0
2020-02-28,8.74,7.94,5959642.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,8.81,8.43,3629494.0
2020-03-03,8.95,8.74,6364207.0
2020-03-04,8.91,8.74,5047583.0
2020-03-05,9.12,8.77,5965022.0
2020-03-06,8.81,8.67,3959935.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,8.53,7.94,16776046.0
2020-03-10,8.57,7.91,7582331.0
2020-03-11,8.43,7.94,7841324.0
2020-03-12,7.94,7.43,11082125.0
2020-03-13,7.77,7.08,9020091.0
2020-03-14,,,
2020-03-15,,,
2020-03-16,7.7,7.15,4614344.0
2020-03-17,7.39,6.94,6568088.0
2020-03-18,7.46,7.22,4944595.0
2020-03-19,7.36,7.15,4083896.0
2020-03-20,8.01,7.25,3341564.0
2020-03-21,,,
2020-03-22,,,
2020-03-23,7.39,6.67,10024177.0
2020-03-24,6.87,6.6,4315784.0
2020-03-25,7.18,6.91,4115341.0
2020-03-26,7.12,6.8,3631529.0
2020-03-27,6.94,6.74,3980631.0
2020-03-28,,,
2020-03-29,,,
2020-03-30,6.74,6.18,5925098.0
2020-03-31,6.49,6.01,4532153.0
2020-04-01,6.56,5.56,2761168.0
2020-04-02,,,
2020-04-03,6.7,6.25,3574343.0
2020-04-04,,,
2020-04-05,,,
2020-04-06,7.18,6.6,5757259.0
2020-04-07,7.25,6.91,4467621.0
2020-04-08,7.7,6.8,2331536.0
2020-04-09,7.67,6.91,4068966.0
2020-04-10,6.98,6.56,2517477.0
2020-04-11,,,
2020-04-12,,,
2020-04-13,7.05,6.18,1926793.0
2020-04-14,6.98,6.8,3167293.0
2020-04-15,7.15,6.91,3686239.0
2020-04-16,7.05,6.94,1895213.0
2020-04-17,7.29,7.08,4809341.0
2020-04-18,,,
2020-04-19,,,
2020-04-20,7.32,7.12,3064104.0
2020-04-21,7.12,6.8,6015799.0
2020-04-22,7.05,6.7,2637424.0
2020-04-23,7.18,7.01,2076603.0
2020-04-24,7.05,6.91,1264729.0
2020-04-25,,,
2020-04-26,,,
2020-04-27,7.12,6.91,1806851.0
2020-04-28,7.05,6.91,1246915.0
2020-04-29,7.08,6.98,1196049.0
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,7.08,6.94,1193939.0
2020-05-05,7.05,6.98,1126770.0
2020-05-06,7.32,6.98,4453036.0
2020-05-07,7.32,7.18,2973997.0
2020-05-08,7.56,7.25,5995918.0
2020-05-09,,,
2020-05-10,,,
2020-05-11,7.56,7.39,4108808.0
2020-05-12,7.6,7.39,4057939.0
2020-05-13,7.6,7.43,3453900.0
2020-05-14,7.53,7.39,3827622.0
2020-05-15,7.67,7.39,6937907.0
2020-05-16,,,
2020-05-17,,,
2020-05-18,7.56,7.39,2771622.0
2020-05-19,7.77,7.6,5561531.0
2020-05-20,7.74,7.6,3116422.0
2020-05-21,7.84,7.56,4622625.0
