time,high,low,volume
2020-01-01,,,
2020-01-02,27.83,27.74,1910.0
2020-01-03,27.45,27.45,1610.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,27.17,26.89,3220.0
2020-01-07,27.17,26.42,4110.0
2020-01-08,26.42,26.24,8133.0
2020-01-09,26.24,26.05,15620.0
2020-01-10,26.14,25.77,9201.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,27.08,26.05,12200.0
2020-01-14,27.17,26.52,1900.0
2020-01-15,27.08,26.24,5353.0
2020-01-16,27.08,27.08,300.0
2020-01-17,27.36,26.42,8200.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,27.45,26.42,9013.0
2020-01-21,27.45,27.45,0.0
2020-01-22,27.36,27.17,216.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,27.27,25.49,25820.0
2020-01-31,27.27,25.95,4800.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,25.39,22.21,16840.0
2020-02-04,25.02,23.05,19700.0
2020-02-05,26.05,22.39,3820.0
2020-02-06,24.83,24.46,14226.0
2020-02-07,25.21,25.21,300.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,24.74,23.89,14200.0
2020-02-11,24.55,23.42,12846.0
2020-02-12,25.21,24.36,33300.0
2020-02-13,26.05,24.36,11928.0
2020-02-14,25.21,23.89,16500.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,25.3,24.36,4300.0
2020-02-18,24.55,24.08,7137.0
2020-02-19,25.39,24.36,24483.0
2020-02-20,25.3,24.36,23307.0
2020-02-21,24.83,24.64,2800.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,24.64,23.42,65600.0
2020-02-25,23.42,22.49,8022.0
2020-02-26,24.17,22.86,8210.0
2020-02-27,23.05,23.05,50.0
2020-02-28,23.42,22.68,53920.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,23.99,23.99,100.0
2020-03-03,24.27,23.42,2610.0
2020-03-04,23.61,23.05,3501.0
2020-03-05,23.52,23.33,1100.0
2020-03-06,23.52,22.77,2333.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,22.68,19.77,15200.0
2020-03-10,23.8,20.15,5612.0
2020-03-11,22.49,21.08,4310.0
2020-03-12,19.96,19.3,12906.0
2020-03-13,19.58,18.37,27826.0
2020-03-14,,,
2020-03-15,,,
2020-03-16,19.68,18.55,4700.0
2020-03-17,20.52,18.27,3700.0
2020-03-18,20.24,19.02,1800.0
2020-03-19,18.93,17.8,12201.0
2020-03-20,19.3,17.43,18603.0
