time,high,low,volume
2020-01-01,,,
2020-01-02,60.43,59.65,87010.0
2020-01-03,60.34,59.56,59290.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,59.56,58.78,129160.0
2020-01-07,59.12,58.6,67160.0
2020-01-08,58.17,57.12,163230.0
2020-01-09,58.43,56.6,157250.0
2020-01-10,58.52,56.52,136260.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,58.25,57.82,63230.0
2020-01-14,58.25,56.52,171640.0
2020-01-15,57.73,56.78,92440.0
2020-01-16,57.65,57.21,157100.0
2020-01-17,57.47,57.12,131930.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,57.56,56.6,107680.0
2020-01-21,57.3,56.69,119020.0
2020-01-22,58.25,56.69,156250.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,57.39,54.34,335430.0
2020-01-31,56.17,51.13,176570.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,50.6,47.56,270730.0
2020-02-04,49.56,47.91,312880.0
2020-02-05,49.65,48.52,298760.0
2020-02-06,50.78,49.65,176570.0
2020-02-07,51.99,50.95,158980.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,51.91,49.73,208410.0
2020-02-11,50.43,49.82,210080.0
2020-02-12,51.56,49.91,192330.0
2020-02-13,50.69,49.82,145610.0
2020-02-14,50.17,49.56,215320.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,49.99,49.04,178000.0
2020-02-18,49.82,48.69,313670.0
2020-02-19,49.56,48.26,159970.0
2020-02-20,50.43,49.04,281140.0
2020-02-21,51.99,49.99,369290.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,49.99,47.39,211810.0
2020-02-25,49.47,48.26,98010.0
2020-02-26,49.21,48.26,258550.0
2020-02-27,49.04,47.47,240770.0
2020-02-28,48.26,47.39,225310.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,48.26,47.56,150220.0
2020-03-03,48.52,47.73,134260.0
2020-03-04,48.43,47.82,98150.0
2020-03-05,48.86,47.91,180900.0
2020-03-06,48.26,47.47,140150.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,45.21,44.6,223930.0
2020-03-10,45.21,41.52,379820.0
2020-03-11,44.0,39.39,333320.0
2020-03-12,39.13,36.91,333240.0
2020-03-13,36.52,34.34,771590.0
2020-03-14,,,
2020-03-15,,,
2020-03-16,35.65,33.47,256330.0
2020-03-17,34.78,31.74,259670.0
2020-03-18,34.95,33.91,359810.0
2020-03-19,33.74,32.0,410470.0
2020-03-20,32.87,30.17,1738250.0
2020-03-21,,,
2020-03-22,,,
2020-03-23,30.43,28.08,719140.0
2020-03-24,30.04,28.26,656590.0
2020-03-25,32.13,31.47,572360.0
2020-03-26,34.34,32.61,1358190.0
2020-03-27,35.47,33.04,891510.0
2020-03-28,,,
2020-03-29,,,
2020-03-30,32.87,30.74,539450.0
2020-03-31,32.78,31.04,805060.0
2020-04-01,34.39,32.08,640300.0
2020-04-02,,,
2020-04-03,36.78,35.21,1120910.0
2020-04-04,,,
2020-04-05,,,
2020-04-06,39.34,36.82,1131900.0
2020-04-07,41.65,38.87,851500.0
2020-04-08,43.04,38.95,993810.0
2020-04-09,43.13,40.87,803850.0
2020-04-10,41.82,39.6,750810.0
2020-04-11,,,
2020-04-12,,,
2020-04-13,41.39,39.91,688640.0
2020-04-14,40.52,39.3,558310.0
2020-04-15,42.69,40.78,699600.0
2020-04-16,42.26,41.04,448560.0
2020-04-17,42.6,41.3,758580.0
2020-04-18,,,
2020-04-19,,,
2020-04-20,42.13,41.04,893750.0
2020-04-21,41.39,39.65,608330.0
2020-04-22,41.73,38.34,398660.0
2020-04-23,42.04,40.87,607220.0
2020-04-24,41.3,40.34,307960.0
2020-04-25,,,
2020-04-26,,,
2020-04-27,41.73,40.39,287510.0
2020-04-28,40.78,39.21,433680.0
2020-04-29,40.43,39.65,312690.0
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,40.39,38.34,449700.0
2020-05-05,39.13,38.26,361060.0
2020-05-06,40.43,38.69,587550.0
2020-05-07,41.3,40.0,874170.0
2020-05-08,42.95,40.87,1646520.0
2020-05-09,,,
2020-05-10,,,
2020-05-11,42.43,41.73,917750.0
2020-05-12,43.47,41.3,1471180.0
2020-05-13,45.65,42.21,1085990.0
2020-05-14,44.34,43.04,963990.0
2020-05-15,43.73,41.91,932240.0
2020-05-16,,,
2020-05-17,,,
2020-05-18,42.78,41.73,619780.0
2020-05-19,43.56,42.17,999630.0
2020-05-20,43.47,42.0,873620.0
2020-05-21,44.34,43.04,1347860.0
2020-05-22,43.82,42.69,891980.0
2020-05-23,,,
2020-05-24,,,
2020-05-25,43.26,42.6,618230.0
2020-05-26,45.56,42.82,2157490.0
2020-05-27,46.26,43.91,1804210.0
2020-05-28,44.43,43.3,771840.0
2020-05-29,43.82,43.21,865840.0
2020-05-30,,,
2020-05-31,,,
2020-06-01,44.52,43.56,710180.0
2020-06-02,44.43,43.39,1122590.0
2020-06-03,43.73,42.95,1059760.0
2020-06-04,44.08,43.26,690490.0
2020-06-05,43.34,42.69,669340.0
2020-06-06,,,
2020-06-07,,,
2020-06-08,44.78,43.56,1401870.0
2020-06-09,46.08,44.26,2255000.0
2020-06-10,46.08,44.69,1128810.0
2020-06-11,45.82,42.78,1531870.0
2020-06-12,42.6,40.43,1764620.0
2020-06-13,,,
2020-06-14,,,
2020-06-15,43.0,40.0,1240270.0
2020-06-16,42.78,41.39,641350.0
2020-06-17,42.78,41.73,487610.0
2020-06-18,42.04,41.13,274450.0
2020-06-19,43.04,41.73,1296450.0
2020-06-20,,,
2020-06-21,,,
2020-06-22,43.3,42.17,570410.0
2020-06-23,42.95,41.82,526810.0
2020-06-24,42.52,41.73,515830.0
2020-06-25,41.73,41.21,434930.0
2020-06-26,42.0,41.3,272160.0
2020-06-27,,,
2020-06-28,,,
2020-06-29,40.87,39.65,810560.0
2020-06-30,40.47,39.13,422070.0
2020-07-01,40.0,39.3,538190.0
2020-07-02,41.3,39.87,474710.0
2020-07-03,40.87,39.13,323340.0
2020-07-04,,,
2020-07-05,,,
2020-07-06,41.3,40.26,435550.0
2020-07-07,41.65,40.95,548920.0
2020-07-08,41.26,40.73,225550.0
2020-07-09,41.65,41.04,444710.0
2020-07-10,42.3,41.21,561640.0
2020-07-11,,,
2020-07-12,,,
2020-07-13,42.04,41.3,435230.0
2020-07-14,41.47,40.91,352890.0
2020-07-15,41.82,41.39,611470.0
2020-07-16,41.78,41.3,361820.0
2020-07-17,42.52,41.43,641980.0
2020-07-18,,,
2020-07-19,,,
2020-07-20,42.08,40.95,499110.0
2020-07-21,41.04,40.52,529300.0
2020-07-22,41.04,39.95,641900.0
2020-07-23,40.26,39.56,394690.0
2020-07-24,40.0,37.21,822340.0
2020-07-25,,,
2020-07-26,,,
2020-07-27,36.91,35.26,1074090.0
2020-07-28,36.78,35.21,731010.0
2020-07-29,36.34,34.43,595950.0
2020-07-30,35.65,35.13,413760.0
2020-07-31,35.74,34.08,875290.0
2020-08-01,,,
2020-08-02,,,
2020-08-03,37.56,35.13,766120.0
2020-08-04,40.0,38.34,741900.0
2020-08-05,40.17,38.69,848700.0
2020-08-06,39.95,39.26,446440.0
2020-08-07,39.56,38.82,478820.0
2020-08-08,,,
2020-08-09,,,
2020-08-10,39.73,39.13,364040.0
2020-08-11,39.69,39.3,216390.0
2020-08-12,39.78,39.13,333050.0
2020-08-13,41.39,39.56,920670.0
2020-08-14,40.87,39.78,584630.0
2020-08-15,,,
2020-08-16,,,
2020-08-17,39.82,39.3,230300.0
2020-08-18,39.73,38.69,762020.0
2020-08-19,39.47,38.78,348070.0
2020-08-20,39.82,38.91,378780.0
2020-08-21,39.95,39.39,438610.0
2020-08-22,,,
2020-08-23,,,
2020-08-24,40.95,40.04,948780.0
2020-08-25,41.91,41.17,1069560.0
2020-08-26,41.65,41.04,548640.0
2020-08-27,41.56,41.04,585730.0
2020-08-28,42.08,41.08,1183880.0
2020-08-29,,,
2020-08-30,,,
2020-08-31,43.73,41.95,2226020.0
2020-09-01,44.86,43.13,1763210.0
2020-09-02,,,
2020-09-03,45.3,44.52,1133940.0
2020-09-04,44.69,43.56,1202750.0
2020-09-05,,,
2020-09-06,,,
2020-09-07,45.13,42.65,1640520.0
2020-09-08,43.47,42.47,996740.0
2020-09-09,43.3,42.43,684210.0
2020-09-10,43.47,41.91,1823420.0
2020-09-11,41.73,41.13,1033830.0
2020-09-12,,,
2020-09-13,,,
2020-09-14,43.04,41.47,546410.0
2020-09-15,42.43,41.73,517470.0
2020-09-16,41.91,41.69,362290.0
2020-09-17,42.08,41.73,521720.0
2020-09-18,42.78,42.26,950600.0
2020-09-19,,,
2020-09-20,,,
2020-09-21,43.39,42.43,980320.0
2020-09-22,43.73,42.6,880580.0
2020-09-23,43.82,43.21,651310.0
2020-09-24,43.13,42.6,613090.0
2020-09-25,43.13,42.6,538610.0
2020-09-26,,,
2020-09-27,,,
2020-09-28,43.73,42.87,538880.0
2020-09-29,43.34,41.73,1113070.0
2020-09-30,42.43,41.56,471690.0
2020-10-01,42.65,42.34,254320.0
2020-10-02,42.69,41.04,657470.0
2020-10-03,,,
2020-10-04,,,
2020-10-05,42.21,41.73,926830.0
2020-10-06,42.56,41.91,731120.0
2020-10-07,43.65,41.91,1472800.0
2020-10-08,44.17,43.13,686840.0
2020-10-09,43.65,42.87,440560.0
2020-10-10,,,
2020-10-11,,,
2020-10-12,46.08,43.56,3903200.0
2020-10-13,47.56,46.08,2057180.0
2020-10-14,47.56,46.95,1146350.0
2020-10-15,47.65,46.26,1663940.0
2020-10-16,46.86,45.73,1483160.0
2020-10-17,,,
2020-10-18,,,
2020-10-19,48.69,47.91,1599020.0
2020-10-20,48.78,46.67,980240.0
2020-10-21,47.64,45.87,1321570.0
2020-10-22,47.99,44.99,1581840.0
2020-10-23,49.31,47.9,1487560.0
2020-10-24,,,
2020-10-25,,,
2020-10-26,49.84,47.55,1570570.0
2020-10-27,47.81,46.4,960170.0
2020-10-28,46.76,43.67,1554490.0
2020-10-29,44.81,42.96,1239150.0
2020-10-30,44.81,43.62,737940.0
