time,high,low,volume
2020-01-01,,,
2020-01-02,14.51,13.91,4347610.0
2020-01-03,14.58,14.18,3626640.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,14.48,14.08,3173480.0
2020-01-07,14.58,14.31,4163600.0
2020-01-08,14.78,14.21,9864300.0
2020-01-09,15.08,14.58,8592300.0
2020-01-10,16.01,15.01,14701830.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,16.01,15.48,5317470.0
2020-01-14,15.88,15.48,7040780.0
2020-01-15,15.81,15.51,4364850.0
2020-01-16,16.65,15.78,8002680.0
2020-01-17,16.95,16.41,6412750.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,16.88,16.51,4737420.0
2020-01-21,17.22,16.75,6063350.0
2020-01-22,17.18,16.71,4747210.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,16.91,16.01,11319200.0
2020-01-31,16.85,16.28,11815850.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,16.81,15.51,13869450.0
2020-02-04,17.95,16.91,14852770.0
2020-02-05,18.55,17.72,11732260.0
2020-02-06,18.75,17.58,10566600.0
2020-02-07,18.45,17.78,8960350.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,18.22,17.48,6287560.0
2020-02-11,18.52,17.92,6762320.0
2020-02-12,18.98,18.15,10390830.0
2020-02-13,18.42,17.68,9485770.0
2020-02-14,18.25,17.82,6108570.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,18.05,17.62,5818090.0
2020-02-18,18.18,17.75,7231540.0
2020-02-19,18.15,17.88,5895360.0
2020-02-20,18.48,17.78,9011120.0
2020-02-21,17.95,17.12,12049570.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,16.95,16.25,12317180.0
2020-02-25,17.42,16.25,9764100.0
2020-02-26,17.48,16.95,6229210.0
2020-02-27,17.48,17.08,5524580.0
2020-02-28,17.38,16.68,7892390.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,17.38,16.95,4873970.0
2020-03-03,17.98,17.32,9514110.0
2020-03-04,17.65,17.35,4587660.0
2020-03-05,17.92,17.45,5997630.0
2020-03-06,17.38,16.98,5353340.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,16.48,16.01,10773760.0
2020-03-10,16.71,15.45,11071330.0
2020-03-11,16.68,15.25,8522410.0
2020-03-12,14.95,14.41,11314020.0
2020-03-13,14.95,13.55,10540670.0
2020-03-14,,,
2020-03-15,,,
2020-03-16,14.71,13.68,7506240.0
2020-03-17,14.15,12.94,7946050.0
2020-03-18,14.38,13.98,6424470.0
2020-03-19,13.75,13.24,4724410.0
2020-03-20,13.68,13.11,6426820.0
2020-03-21,,,
2020-03-22,,,
2020-03-23,12.68,12.31,6448830.0
2020-03-24,12.48,11.78,6361270.0
2020-03-25,13.04,12.54,7041040.0
2020-03-26,13.08,12.54,5121770.0
2020-03-27,12.74,12.48,6261510.0
2020-03-28,,,
2020-03-29,,,
2020-03-30,12.01,11.81,7331160.0
2020-03-31,12.34,11.08,6102570.0
2020-04-01,12.24,11.34,5514550.0
2020-04-02,,,
2020-04-03,12.68,12.34,4625590.0
2020-04-04,,,
2020-04-05,,,
2020-04-06,13.41,12.68,10557010.0
2020-04-07,13.51,13.08,7256090.0
2020-04-08,13.35,12.74,4637260.0
2020-04-09,13.58,13.21,7265280.0
2020-04-10,13.41,12.88,5700980.0
2020-04-11,,,
2020-04-12,,,
2020-04-13,13.35,12.84,4183300.0
2020-04-14,13.18,12.54,7389910.0
2020-04-15,13.31,12.81,6758040.0
2020-04-16,13.28,12.94,3710320.0
2020-04-17,13.68,13.35,8578720.0
2020-04-18,,,
2020-04-19,,,
2020-04-20,13.65,13.24,6291720.0
2020-04-21,13.18,12.51,9299890.0
2020-04-22,13.14,12.28,6363800.0
2020-04-23,13.14,12.81,2950110.0
2020-04-24,12.88,12.68,2871100.0
2020-04-25,,,
2020-04-26,,,
2020-04-27,12.94,12.58,4305890.0
2020-04-28,12.88,12.48,3942840.0
2020-04-29,13.35,12.74,9337270.0
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,13.65,13.04,7526760.0
2020-05-05,13.45,13.11,2976380.0
2020-05-06,13.55,13.04,6890670.0
2020-05-07,13.78,13.41,7523830.0
2020-05-08,14.45,13.75,12666220.0
2020-05-09,,,
2020-05-10,,,
2020-05-11,14.38,13.95,7654090.0
2020-05-12,14.55,13.91,6576780.0
2020-05-13,14.65,14.11,6959000.0
2020-05-14,14.51,14.25,5828440.0
2020-05-15,14.41,13.91,7303040.0
2020-05-16,,,
2020-05-17,,,
2020-05-18,14.25,13.81,5204650.0
2020-05-19,14.98,14.55,11023040.0
2020-05-20,14.88,14.61,5342980.0
2020-05-21,15.51,14.88,10616250.0
2020-05-22,15.75,15.11,7637850.0
2020-05-23,,,
2020-05-24,,,
2020-05-25,15.58,15.15,6731270.0
2020-05-26,15.55,15.25,6282980.0
2020-05-27,15.65,14.95,8420990.0
2020-05-28,15.31,14.91,5936110.0
2020-05-29,15.15,14.98,3561630.0
2020-05-30,,,
2020-05-31,,,
