time,high,low,volume
2020-01-01,,,
2020-01-02,24.98,24.56,896720.0
2020-01-03,25.02,24.3,2047880.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,24.39,24.05,1091660.0
2020-01-07,24.6,24.13,837240.0
2020-01-08,24.43,24.05,1814290.0
2020-01-09,24.43,24.18,967050.0
2020-01-10,24.47,24.18,1018650.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,24.39,24.13,786760.0
2020-01-14,24.3,24.13,721680.0
2020-01-15,24.18,24.05,940870.0
2020-01-16,24.64,24.13,1942970.0
2020-01-17,24.6,24.13,1388810.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,24.56,24.22,1227100.0
2020-01-21,24.56,23.5,4351820.0
2020-01-22,23.92,23.16,3165650.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,23.62,22.82,2638460.0
2020-01-31,23.24,22.02,4118150.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,22.23,20.75,3602970.0
2020-02-04,22.19,21.59,1651440.0
2020-02-05,22.35,22.02,1648620.0
2020-02-06,22.69,21.93,1708550.0
2020-02-07,22.65,22.35,1218660.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,22.44,22.06,738090.0
2020-02-11,22.74,22.31,1085380.0
2020-02-12,23.16,22.74,1104870.0
2020-02-13,23.07,22.74,1030570.0
2020-02-14,23.07,22.86,884240.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,23.12,22.86,726390.0
2020-02-18,23.71,22.99,1760940.0
2020-02-19,23.79,23.5,681250.0
2020-02-20,23.88,23.5,780810.0
2020-02-21,23.67,23.16,1458040.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,22.82,22.23,2261990.0
2020-02-25,22.86,22.02,1407720.0
2020-02-26,23.37,22.44,3221270.0
2020-02-27,23.92,23.12,2927040.0
2020-02-28,23.58,23.12,2132200.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,23.79,23.2,1787060.0
2020-03-03,24.13,23.58,1193800.0
2020-03-04,23.5,23.24,1660790.0
2020-03-05,23.67,23.12,1296450.0
2020-03-06,22.99,22.65,1305030.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,22.02,21.3,4735140.0
2020-03-10,22.02,21.3,2030340.0
2020-03-11,22.23,20.96,2753310.0
2020-03-12,20.87,20.03,3981670.0
2020-03-13,21.17,19.14,2919140.0
2020-03-14,,,
2020-03-15,,,
2020-03-16,21.04,20.11,1898960.0
2020-03-17,20.53,19.69,2474650.0
2020-03-18,20.79,20.47,1642800.0
2020-03-19,20.36,20.15,1296590.0
2020-03-20,20.43,20.05,1291360.0
2020-03-21,,,
2020-03-22,,,
2020-03-23,19.86,18.8,2826690.0
2020-03-24,19.05,18.42,2191500.0
2020-03-25,19.65,19.12,2131790.0
2020-03-26,19.41,18.71,2358310.0
2020-03-27,18.8,18.16,2633750.0
2020-03-28,,,
2020-03-29,,,
2020-03-30,17.4,16.98,2157690.0
2020-03-31,17.95,16.98,1663050.0
2020-04-01,18.29,17.27,1453030.0
2020-04-02,,,
2020-04-03,18.9,18.08,2072000.0
2020-04-04,,,
2020-04-05,,,
2020-04-06,20.11,19.26,2718990.0
2020-04-07,20.2,19.69,2463810.0
2020-04-08,19.92,19.37,1576670.0
2020-04-09,20.15,19.69,2142370.0
2020-04-10,19.9,19.43,1882020.0
2020-04-11,,,
2020-04-12,,,
2020-04-13,19.9,19.52,1255360.0
2020-04-14,20.96,19.9,4072050.0
2020-04-15,21.51,21.11,2205200.0
2020-04-16,21.51,20.87,1508480.0
2020-04-17,21.72,21.25,2631630.0
2020-04-18,,,
2020-04-19,,,
2020-04-20,22.02,21.47,2239780.0
2020-04-21,21.55,20.7,3737050.0
2020-04-22,21.68,20.62,2445860.0
2020-04-23,22.1,21.59,1363410.0
2020-04-24,21.68,21.21,1411380.0
2020-04-25,,,
2020-04-26,,,
2020-04-27,21.8,21.38,1419750.0
2020-04-28,21.51,21.25,974310.0
2020-04-29,21.76,21.38,1349230.0
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,21.55,21.08,895530.0
2020-05-05,21.59,21.34,677990.0
2020-05-06,22.48,21.59,3470150.0
2020-05-07,22.65,22.19,2030720.0
2020-05-08,23.33,22.69,3585320.0
2020-05-09,,,
2020-05-10,,,
2020-05-11,23.03,22.57,2119430.0
2020-05-12,23.03,22.69,2828190.0
2020-05-13,24.58,23.51,6853810.0
2020-05-14,24.35,24.06,2597400.0
2020-05-15,24.25,23.68,2430890.0
2020-05-16,,,
2020-05-17,,,
2020-05-18,23.98,23.51,2000950.0
2020-05-19,24.65,24.11,2879030.0
2020-05-20,24.3,24.08,1245380.0
2020-05-21,24.45,24.23,2007060.0
2020-05-22,24.3,24.03,1731720.0
2020-05-23,,,
2020-05-24,,,
2020-05-25,24.11,23.71,2033000.0
2020-05-26,24.2,23.98,1615680.0
2020-05-27,24.5,23.81,2098580.0
2020-05-28,24.11,23.81,1194380.0
2020-05-29,23.86,23.56,1346170.0
2020-05-30,,,
2020-05-31,,,
2020-06-01,23.98,23.81,1298150.0
2020-06-02,24.06,23.81,1456730.0
2020-06-03,24.28,23.76,1893060.0
2020-06-04,24.25,24.01,1260060.0
2020-06-05,24.16,23.88,1236200.0
2020-06-06,,,
2020-06-07,,,
2020-06-08,24.8,24.3,4113250.0
2020-06-09,24.63,24.25,1491540.0
2020-06-10,24.3,24.01,1307540.0
2020-06-11,24.2,22.82,4278060.0
2020-06-12,23.31,22.32,3145450.0
2020-06-13,,,
2020-06-14,,,
2020-06-15,23.81,22.77,1207500.0
2020-06-16,23.21,22.96,1100730.0
2020-06-17,23.19,22.94,788630.0
2020-06-18,23.16,22.89,822980.0
2020-06-19,23.31,23.11,745470.0
2020-06-20,,,
2020-06-21,,,
