time,high,low,volume
2020-01-01,,,
2020-01-02,62.68,61.69,141260.0
2020-01-03,63.47,62.28,218980.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,64.52,63.34,431090.0
2020-01-07,64.32,63.4,142800.0
2020-01-08,65.18,63.86,439260.0
2020-01-09,63.73,62.42,320980.0
2020-01-10,63.21,62.55,160820.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,63.14,62.35,355190.0
2020-01-14,63.21,62.48,166850.0
2020-01-15,62.55,61.3,201400.0
2020-01-16,62.09,61.23,508390.0
2020-01-17,62.02,61.03,281760.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,61.63,61.16,134180.0
2020-01-21,62.48,61.49,180960.0
2020-01-22,62.81,62.09,162790.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,61.76,59.91,379940.0
2020-01-31,60.37,56.62,551680.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,56.56,53.07,565980.0
2020-02-04,55.96,53.99,376400.0
2020-02-05,55.3,53.07,290230.0
2020-02-06,56.56,53.72,253870.0
2020-02-07,57.28,55.96,299430.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,57.21,55.3,282460.0
2020-02-11,57.15,56.23,235700.0
2020-02-12,57.02,56.36,175490.0
2020-02-13,58.0,56.49,272240.0
2020-02-14,58.53,57.28,162870.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,58.79,57.48,180040.0
2020-02-18,57.54,56.49,215600.0
2020-02-19,56.69,56.16,166790.0
2020-02-20,57.94,56.09,198200.0
2020-02-21,56.75,56.23,171440.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,55.96,54.98,348150.0
2020-02-25,55.24,54.32,348890.0
2020-02-26,54.32,52.41,478410.0
2020-02-27,52.61,51.42,359090.0
2020-02-28,51.29,49.45,449640.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,52.34,49.64,255710.0
2020-03-03,54.58,52.67,270460.0
2020-03-04,52.34,51.22,307460.0
2020-03-05,52.67,51.42,262610.0
2020-03-06,51.42,50.76,208460.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,47.47,47.47,226330.0
2020-03-10,46.68,44.18,1377350.0
2020-03-11,46.81,42.01,1022830.0
2020-03-12,40.1,39.11,832050.0
2020-03-13,38.52,36.41,975880.0
2020-03-14,,,
2020-03-15,,,
2020-03-16,39.64,36.87,664400.0
2020-03-17,39.44,37.0,531530.0
2020-03-18,39.5,38.05,1111270.0
2020-03-19,37.2,36.15,897780.0
2020-03-20,38.25,36.87,563530.0
2020-03-21,,,
2020-03-22,,,
2020-03-23,36.87,35.49,779860.0
2020-03-24,37.13,35.88,769350.0
2020-03-25,39.57,38.32,1074610.0
2020-03-26,39.77,38.52,564130.0
2020-03-27,38.91,37.59,484150.0
2020-03-28,,,
2020-03-29,,,
2020-03-30,36.47,35.88,556090.0
2020-03-31,37.99,35.55,414540.0
2020-04-01,37.92,36.01,577930.0
2020-04-02,,,
2020-04-03,39.5,37.86,1147360.0
2020-04-04,,,
2020-04-05,,,
2020-04-06,41.48,40.16,1513290.0
2020-04-07,42.07,40.69,945030.0
2020-04-08,41.35,40.03,869540.0
2020-04-09,44.11,41.54,1506780.0
2020-04-10,44.44,42.8,944260.0
2020-04-11,,,
2020-04-12,,,
2020-04-13,45.76,44.44,1048800.0
2020-04-14,44.31,43.06,1273310.0
2020-04-15,44.31,43.12,645240.0
2020-04-16,44.77,43.32,717400.0
2020-04-17,45.43,44.44,811680.0
2020-04-18,,,
2020-04-19,,,
2020-04-20,45.43,44.18,1227520.0
2020-04-21,44.24,42.47,1557070.0
2020-04-22,42.53,40.16,760590.0
2020-04-23,43.45,42.66,620260.0
2020-04-24,43.45,42.6,583010.0
2020-04-25,,,
2020-04-26,,,
2020-04-27,43.39,42.14,476510.0
2020-04-28,42.14,41.08,775610.0
2020-04-29,42.27,41.48,623860.0
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,43.19,41.87,410240.0
2020-05-05,43.12,42.14,652830.0
2020-05-06,45.3,43.91,1540630.0
2020-05-07,45.76,44.57,705710.0
2020-05-08,46.61,45.23,1700680.0
2020-05-09,,,
2020-05-10,,,
2020-05-11,48.06,46.09,1084850.0
2020-05-12,48.72,46.75,1145720.0
2020-05-13,48.66,47.4,991060.0
2020-05-14,47.67,46.88,688000.0
2020-05-15,48.06,46.68,904360.0
2020-05-16,,,
2020-05-17,,,
2020-05-18,48.39,47.14,1071380.0
2020-05-19,49.64,48.79,1144660.0
2020-05-20,49.25,48.06,548540.0
2020-05-21,49.77,48.72,952810.0
2020-05-22,49.31,48.46,982700.0
2020-05-23,,,
2020-05-24,,,
2020-05-25,48.79,48.33,554990.0
2020-05-26,49.31,48.59,615970.0
2020-05-27,50.24,49.25,1141480.0
2020-05-28,49.64,48.66,551210.0
2020-05-29,49.05,48.52,372610.0
2020-05-30,,,
2020-05-31,,,
2020-06-01,50.04,49.12,596060.0
2020-06-02,51.22,49.38,1452270.0
2020-06-03,51.55,50.5,633960.0
2020-06-04,52.34,51.35,848030.0
2020-06-05,51.35,50.37,881330.0
2020-06-06,,,
2020-06-07,,,
2020-06-08,52.34,51.55,659450.0
2020-06-09,51.95,51.35,481610.0
2020-06-10,51.62,51.03,426400.0
2020-06-11,51.42,47.8,1251510.0
2020-06-12,49.31,46.15,878600.0
2020-06-13,,,
2020-06-14,,,
2020-06-15,49.64,47.47,554870.0
2020-06-16,48.39,47.73,454210.0
2020-06-17,48.66,47.8,330300.0
2020-06-18,48.06,47.4,317660.0
2020-06-19,48.26,47.8,303720.0
2020-06-20,,,
2020-06-21,,,
2020-06-22,48.52,48.06,227680.0
2020-06-23,48.92,48.06,349770.0
2020-06-24,48.85,47.4,240120.0
2020-06-25,48.06,47.07,335210.0
2020-06-26,48.19,47.4,322890.0
2020-06-27,,,
2020-06-28,,,
2020-06-29,47.4,45.89,571650.0
2020-06-30,47.07,44.77,459150.0
2020-07-01,46.75,45.43,387430.0
2020-07-02,47.07,46.42,210850.0
2020-07-03,47.01,46.28,310040.0
2020-07-04,,,
2020-07-05,,,
2020-07-06,47.93,46.88,485000.0
2020-07-07,48.92,47.67,819010.0
2020-07-08,48.79,47.73,534040.0
2020-07-09,49.91,48.52,1179910.0
2020-07-10,49.64,48.85,461690.0
2020-07-11,,,
2020-07-12,,,
2020-07-13,49.58,48.92,592380.0
2020-07-14,50.76,49.66,631990.0
2020-07-15,50.83,49.8,507920.0
2020-07-16,50.35,49.86,534310.0
2020-07-17,50.07,49.66,382400.0
2020-07-18,,,
2020-07-19,,,
