time,high,low,volume
2020-01-01,,,
2020-01-02,10.23,9.43,762975.0
2020-01-03,10.85,10.05,1116553.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,10.85,10.14,408280.0
2020-01-07,10.32,9.78,537260.0
2020-01-08,9.96,9.52,503454.0
2020-01-09,9.87,9.69,200020.0
2020-01-10,10.32,9.78,409717.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,10.05,9.87,185830.0
2020-01-14,10.23,9.87,290900.0
2020-01-15,10.05,9.87,188608.0
2020-01-16,9.96,9.61,463400.0
2020-01-17,10.41,9.87,355706.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,10.41,10.14,309240.0
2020-01-21,10.5,10.23,435320.0
2020-01-22,10.85,10.23,540290.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,10.58,10.05,372714.0
2020-01-31,10.14,9.61,655457.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,9.52,8.45,965930.0
2020-02-04,9.34,9.07,353930.0
2020-02-05,9.61,9.07,470640.0
2020-02-06,9.87,9.25,308048.0
2020-02-07,9.78,9.52,268160.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,9.69,9.34,201190.0
2020-02-11,9.78,9.52,399300.0
2020-02-12,9.78,9.61,283400.0
2020-02-13,9.78,9.43,727243.0
2020-02-14,10.14,9.52,678971.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,10.23,9.87,314400.0
2020-02-18,10.05,9.87,472400.0
2020-02-19,10.5,9.96,1159367.0
2020-02-20,10.67,10.32,496270.0
2020-02-21,10.5,10.14,514152.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,10.23,9.61,1084607.0
2020-02-25,10.23,9.43,1024130.0
2020-02-26,10.76,10.05,1272443.0
2020-02-27,11.21,10.67,1318652.0
2020-02-28,11.03,10.67,1264618.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,11.3,10.5,592520.0
2020-03-03,12.54,11.03,1047030.0
2020-03-04,11.65,11.03,1656538.0
2020-03-05,11.38,11.03,1055157.0
2020-03-06,11.3,10.94,1305340.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,,,
2020-03-10,,,
2020-03-11,,,
2020-03-12,,,
2020-03-13,,,
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,10.23,8.54,1626550.0
2020-03-18,10.23,9.29,1432550.0
2020-03-19,9.16,8.72,858400.0
2020-03-20,8.89,8.11,1380930.0
2020-03-21,,,
2020-03-22,,,
2020-03-23,7.68,7.56,1698240.0
2020-03-24,7.91,7.34,683830.0
2020-03-25,8.09,7.75,1559590.0
2020-03-26,8.0,7.6,811930.0
2020-03-27,8.0,7.44,612810.0
2020-03-28,,,
2020-03-29,,,
2020-03-30,7.65,7.0,1792710.0
2020-03-31,7.74,7.12,572600.0
2020-04-01,7.63,7.2,262480.0
2020-04-02,,,
2020-04-03,7.92,7.56,356910.0
2020-04-04,,,
2020-04-05,,,
2020-04-06,8.09,7.78,591020.0
2020-04-07,8.09,7.84,277730.0
2020-04-08,8.0,7.83,212500.0
2020-04-09,8.48,8.08,574950.0
2020-04-10,8.98,8.81,934920.0
2020-04-11,,,
2020-04-12,,,
2020-04-13,9.61,9.03,2160110.0
2020-04-14,9.65,8.89,957110.0
2020-04-15,10.05,9.34,788140.0
2020-04-16,9.92,9.43,634220.0
2020-04-17,9.92,9.52,649460.0
2020-04-18,,,
2020-04-19,,,
2020-04-20,10.01,9.52,1221230.0
2020-04-21,9.52,8.86,1336580.0
2020-04-22,9.25,8.54,867890.0
2020-04-23,9.21,8.89,653970.0
2020-04-24,9.03,8.85,837180.0
2020-04-25,,,
2020-04-26,,,
2020-04-27,9.47,8.98,1663520.0
2020-04-28,9.96,9.52,1444690.0
2020-04-29,10.09,9.61,1497360.0
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
