time,high,low,volume
2020-01-01,,,
2020-01-02,9.93,9.66,4232230.0
2020-01-03,10.08,9.95,7832210.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,10.03,9.87,5371060.0
2020-01-07,10.01,9.77,4871220.0
2020-01-08,9.79,9.58,6421130.0
2020-01-09,9.99,9.77,4613440.0
2020-01-10,10.16,9.95,10006180.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,10.1,9.97,4456520.0
2020-01-14,10.37,10.01,9565300.0
2020-01-15,10.49,10.3,5881520.0
2020-01-16,10.49,10.32,6855030.0
2020-01-17,10.61,10.3,6329150.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,10.55,10.22,5711790.0
2020-01-21,10.76,10.57,5911660.0
2020-01-22,10.92,10.7,8919900.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,10.72,10.32,13028790.0
2020-01-31,10.47,9.97,10994970.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,10.26,9.39,12079180.0
2020-02-04,10.26,9.97,8086090.0
2020-02-05,10.35,10.01,6938550.0
2020-02-06,10.43,10.06,9214150.0
2020-02-07,10.47,10.01,8120240.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,10.2,9.91,4794830.0
2020-02-11,10.18,9.7,12551620.0
2020-02-12,9.99,9.7,9581940.0
2020-02-13,9.89,9.77,5263180.0
2020-02-14,9.83,9.66,5052290.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,9.87,9.77,2716840.0
2020-02-18,9.87,9.64,7456030.0
2020-02-19,9.7,9.56,5481650.0
2020-02-20,9.83,9.62,5225250.0
2020-02-21,9.85,9.72,4513960.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,9.58,9.39,12938030.0
2020-02-25,9.56,9.35,5303830.0
2020-02-26,9.52,9.39,4502880.0
2020-02-27,9.54,9.39,3318240.0
2020-02-28,9.43,9.21,6583970.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,9.31,9.19,3957540.0
2020-03-03,9.43,9.23,4411940.0
2020-03-04,9.35,9.25,2946050.0
2020-03-05,9.37,9.25,2594810.0
2020-03-06,9.29,9.21,3035470.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,8.92,8.63,16567350.0
2020-03-10,9.0,8.48,8137980.0
2020-03-11,9.02,8.34,8527920.0
2020-03-12,8.19,7.92,13041040.0
2020-03-13,8.15,7.43,12836580.0
2020-03-14,,,
2020-03-15,,,
2020-03-16,8.21,7.84,9283920.0
2020-03-17,7.99,7.7,6053400.0
2020-03-18,8.32,8.01,10396530.0
2020-03-19,8.07,7.82,7773200.0
2020-03-20,7.99,7.7,13401260.0
2020-03-21,,,
2020-03-22,,,
2020-03-23,7.45,7.16,12947170.0
2020-03-24,7.18,6.89,13831390.0
2020-03-25,7.39,7.2,7758210.0
2020-03-26,7.28,6.99,8514960.0
2020-03-27,7.03,6.54,13442640.0
2020-03-28,,,
2020-03-29,,,
2020-03-30,6.91,6.31,10870540.0
2020-03-31,7.18,6.31,11163440.0
2020-04-01,7.24,6.89,4859650.0
2020-04-02,,,
2020-04-03,7.32,7.12,6503290.0
2020-04-04,,,
2020-04-05,,,
2020-04-06,7.8,7.41,10207240.0
2020-04-07,7.9,7.55,7655220.0
2020-04-08,7.78,7.57,5106690.0
2020-04-09,7.86,7.68,7134720.0
2020-04-10,7.86,7.57,5558450.0
2020-04-11,,,
2020-04-12,,,
2020-04-13,8.07,7.74,9039420.0
2020-04-14,8.26,7.95,8744760.0
2020-04-15,8.4,8.26,5960450.0
2020-04-16,8.44,8.17,6665670.0
2020-04-17,8.61,8.36,8818780.0
2020-04-18,,,
2020-04-19,,,
2020-04-20,8.9,8.5,9422860.0
2020-04-21,8.79,8.34,11934810.0
2020-04-22,8.81,8.4,11038450.0
2020-04-23,9.08,8.81,8345940.0
2020-04-24,9.19,8.81,8301090.0
2020-04-25,,,
2020-04-26,,,
2020-04-27,9.35,9.04,6636160.0
2020-04-28,9.15,8.79,7687010.0
2020-04-29,8.98,8.69,7447050.0
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,8.92,8.69,4834580.0
2020-05-05,8.96,8.81,5894530.0
2020-05-06,9.19,8.9,7620940.0
2020-05-07,9.77,9.23,14733250.0
2020-05-08,9.99,9.68,12484610.0
2020-05-09,,,
2020-05-10,,,
2020-05-11,9.97,9.64,7220240.0
2020-05-12,9.89,9.68,10527620.0
2020-05-13,10.01,9.64,9608210.0
2020-05-14,9.97,9.81,6517150.0
2020-05-15,9.95,9.68,7931980.0
2020-05-16,,,
2020-05-17,,,
2020-05-18,10.39,9.93,13491620.0
2020-05-19,11.11,10.78,18842950.0
2020-05-20,11.01,10.61,11584470.0
2020-05-21,10.99,10.8,11213810.0
2020-05-22,11.36,10.86,16252810.0
2020-05-23,,,
2020-05-24,,,
2020-05-25,11.5,11.24,11168880.0
2020-05-26,11.75,11.3,11503490.0
2020-05-27,11.84,11.26,19779140.0
2020-05-28,11.42,11.13,14486370.0
2020-05-29,11.46,11.17,12580390.0
2020-05-30,,,
2020-05-31,,,
2020-06-01,11.5,11.36,8022890.0
2020-06-02,11.5,11.15,11489000.0
2020-06-03,11.26,11.01,12018120.0
2020-06-04,11.34,11.01,13488200.0
2020-06-05,11.3,10.84,13532060.0
2020-06-06,,,
2020-06-07,,,
2020-06-08,11.63,11.3,17144920.0
2020-06-09,11.59,11.15,18693450.0
2020-06-10,11.34,11.03,9871400.0
2020-06-11,11.24,10.55,22873160.0
2020-06-12,10.97,10.14,18881260.0
2020-06-13,,,
2020-06-14,,,
2020-06-15,10.97,10.49,11332840.0
2020-06-16,10.92,10.61,9024610.0
2020-06-17,10.95,10.72,7066110.0
2020-06-18,11.11,10.7,9055090.0
2020-06-19,11.32,11.17,10532760.0
2020-06-20,,,
2020-06-21,,,
2020-06-22,11.5,11.15,9729970.0
2020-06-23,11.46,11.07,11382760.0
2020-06-24,11.32,11.09,6516760.0
2020-06-25,11.5,10.99,24410040.0
2020-06-26,11.42,11.17,9363870.0
2020-06-27,,,
2020-06-28,,,
2020-06-29,11.17,10.86,12378070.0
2020-06-30,11.34,10.99,14826230.0
2020-07-01,11.38,11.13,10843030.0
2020-07-02,11.48,11.34,13000820.0
2020-07-03,11.48,11.34,8111500.0
2020-07-04,,,
2020-07-05,,,
2020-07-06,11.48,11.36,9764620.0
2020-07-07,11.96,11.46,28048770.0
2020-07-08,11.77,11.55,9155900.0
2020-07-09,11.71,11.57,7588480.0
2020-07-10,11.69,11.42,14457460.0
2020-07-11,,,
2020-07-12,,,
2020-07-13,11.52,11.28,14702360.0
2020-07-14,11.57,11.34,5757320.0
2020-07-15,11.75,11.61,6561150.0
2020-07-16,11.96,11.57,17916710.0
2020-07-17,11.9,11.81,6759400.0
2020-07-18,,,
2020-07-19,,,
2020-07-20,11.88,11.59,11602590.0
2020-07-21,11.69,11.5,11724470.0
2020-07-22,11.75,11.57,7461530.0
2020-07-23,11.67,11.46,10177170.0
2020-07-24,11.61,10.88,21288480.0
2020-07-25,,,
2020-07-26,,,
2020-07-27,11.24,10.68,18389440.0
2020-07-28,11.38,10.84,14119250.0
2020-07-29,11.53,10.7,18544880.0
2020-07-30,11.28,11.05,11357060.0
2020-07-31,11.15,10.85,7656240.0
2020-08-01,,,
2020-08-02,,,
2020-08-03,11.63,10.98,16896050.0
2020-08-04,11.79,11.53,11086090.0
2020-08-05,12.32,11.58,25912970.0
2020-08-06,12.34,12.04,13744810.0
2020-08-07,12.29,12.11,12162410.0
2020-08-08,,,
2020-08-09,,,
2020-08-10,12.52,12.29,14144220.0
2020-08-11,12.42,12.19,9675910.0
2020-08-12,12.39,12.19,8827420.0
2020-08-13,12.44,12.29,7562850.0
2020-08-14,12.44,12.09,15356070.0
2020-08-15,,,
2020-08-16,,,
2020-08-17,12.29,12.11,8428450.0
2020-08-18,12.34,12.19,5130610.0
2020-08-19,12.34,12.19,9266940.0
2020-08-20,12.32,12.14,9685120.0
2020-08-21,12.34,12.17,8930990.0
2020-08-22,,,
2020-08-23,,,
2020-08-24,12.62,12.34,13933710.0
2020-08-25,12.67,12.42,10722520.0
2020-08-26,12.42,12.24,16327190.0
2020-08-27,12.32,12.19,8801320.0
2020-08-28,12.39,12.27,11603550.0
2020-08-29,,,
2020-08-30,,,
2020-08-31,12.54,12.24,13334160.0
2020-09-01,12.62,12.37,16754410.0
2020-09-02,,,
2020-09-03,12.75,12.59,14553930.0
2020-09-04,12.7,12.47,18820560.0
2020-09-05,,,
2020-09-06,,,
2020-09-07,12.7,12.39,14336100.0
2020-09-08,12.49,12.37,12260110.0
2020-09-09,12.62,12.32,19632380.0
2020-09-10,12.57,12.39,12106250.0
2020-09-11,12.47,12.37,11672440.0
2020-09-12,,,
2020-09-13,,,
2020-09-14,12.52,12.39,12723310.0
2020-09-15,12.62,12.47,8859250.0
2020-09-16,12.54,12.44,6887240.0
2020-09-17,12.9,12.49,26759480.0
2020-09-18,13.0,12.9,12475700.0
2020-09-19,,,
2020-09-20,,,
2020-09-21,13.13,12.95,11631470.0
2020-09-22,13.0,12.85,15285880.0
2020-09-23,13.1,12.92,12589480.0
2020-09-24,13.1,12.9,12435190.0
2020-09-25,13.05,12.9,10094210.0
2020-09-26,,,
2020-09-27,,,
2020-09-28,13.35,13.0,17573130.0
2020-09-29,13.56,13.33,18456820.0
2020-09-30,13.43,13.2,12985480.0
2020-10-01,13.76,13.4,17161730.0
2020-10-02,13.78,13.15,20213120.0
2020-10-03,,,
2020-10-04,,,
2020-10-05,13.86,13.58,12791350.0
2020-10-06,14.29,13.76,23609700.0
2020-10-07,14.31,14.06,14752610.0
2020-10-08,14.21,14.01,18239670.0
2020-10-09,14.52,14.16,9464850.0
2020-10-10,,,
2020-10-11,,,
2020-10-12,14.54,14.19,12258740.0
2020-10-13,14.29,14.11,10665790.0
2020-10-14,14.34,14.06,14240330.0
2020-10-15,15.17,14.69,30525160.0
2020-10-16,14.92,14.64,17319070.0
2020-10-17,,,
2020-10-18,,,
2020-10-19,14.8,14.59,10939140.0
2020-10-20,14.85,14.52,13319200.0
2020-10-21,14.97,14.67,10669590.0
2020-10-22,14.97,14.62,13072020.0
2020-10-23,15.63,15.0,29534980.0
2020-10-24,,,
2020-10-25,,,
2020-10-26,16.19,15.53,20357350.0
2020-10-27,16.03,15.45,25281540.0
2020-10-28,16.01,15.28,25663180.0
2020-10-29,15.55,15.15,20778840.0
2020-10-30,15.63,15.12,19039190.0
2020-10-31,,,
2020-11-01,,,
2020-11-02,15.53,15.35,10385290.0
2020-11-03,15.83,15.45,17521020.0
2020-11-04,15.68,15.35,18293400.0
2020-11-05,15.55,15.3,11598310.0
2020-11-06,15.53,15.28,13410500.0
2020-11-07,,,
2020-11-08,,,
2020-11-09,15.93,15.53,18314360.0
2020-11-10,16.29,15.83,20645160.0
2020-11-11,15.98,15.76,14564290.0
2020-11-12,15.93,15.81,9803730.0
2020-11-13,16.16,15.91,12161630.0
2020-11-14,,,
2020-11-15,,,
2020-11-16,16.57,16.14,25538500.0
2020-11-17,16.87,16.39,16228900.0
2020-11-18,17.5,16.87,22115200.0
2020-11-19,17.96,17.43,26533130.0
2020-11-20,18.06,17.68,18141040.0
2020-11-21,,,
2020-11-22,,,
2020-11-23,19.15,17.96,23681540.0
2020-11-24,19.47,18.36,48936510.0
2020-11-25,18.66,17.8,55697460.0
