time,high,low,volume
2020-01-01,,,
2020-01-02,8.23,8.06,2849190.0
2020-01-03,8.33,8.21,3476230.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,8.21,8.11,2609270.0
2020-01-07,8.19,8.08,2684180.0
2020-01-08,8.13,8.02,4163950.0
2020-01-09,8.19,8.04,3298470.0
2020-01-10,8.39,8.19,8593950.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,8.37,8.23,2921820.0
2020-01-14,8.39,8.23,4557920.0
2020-01-15,8.37,8.31,3625930.0
2020-01-16,8.58,8.33,8169550.0
2020-01-17,8.62,8.48,4776330.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,8.56,8.46,4308990.0
2020-01-21,8.75,8.54,5239140.0
2020-01-22,8.75,8.66,4991520.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,8.56,8.21,8995010.0
2020-01-31,8.35,8.06,8065490.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,8.06,7.55,14421110.0
2020-02-04,8.35,7.81,9461800.0
2020-02-05,8.37,8.15,7177000.0
2020-02-06,8.52,8.1,12119010.0
2020-02-07,8.44,8.29,8050600.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,8.25,8.11,6111600.0
2020-02-11,8.25,8.15,4331600.0
2020-02-12,8.48,8.25,10980490.0
2020-02-13,8.42,8.27,6581630.0
2020-02-14,8.48,8.35,9083550.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,8.6,8.44,9693630.0
2020-02-18,8.56,8.41,5400900.0
2020-02-19,8.44,8.33,4586120.0
2020-02-20,8.48,8.37,6104470.0
2020-02-21,8.41,8.19,8795360.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,8.06,7.79,12138250.0
2020-02-25,8.06,7.69,11926410.0
2020-02-26,8.1,7.88,5079630.0
2020-02-27,8.1,7.92,4046120.0
2020-02-28,8.04,7.88,7020070.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,8.06,7.92,4996110.0
2020-03-03,8.19,8.06,5788700.0
2020-03-04,8.08,7.98,3856070.0
2020-03-05,8.11,8.0,4512210.0
2020-03-06,8.02,7.9,3822460.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,7.71,7.46,12282460.0
2020-03-10,7.57,7.26,7083800.0
2020-03-11,7.55,6.93,7990830.0
2020-03-12,6.82,6.57,15483860.0
2020-03-13,6.93,6.12,11673000.0
2020-03-14,,,
2020-03-15,,,
2020-03-16,6.7,6.35,4256130.0
2020-03-17,6.47,6.1,9350190.0
2020-03-18,6.57,6.39,5287310.0
2020-03-19,6.35,6.2,3879280.0
2020-03-20,6.31,6.18,4348520.0
2020-03-21,,,
2020-03-22,,,
2020-03-23,6.04,5.77,9616920.0
2020-03-24,5.81,5.6,7412520.0
2020-03-25,6.06,5.83,6925670.0
2020-03-26,6.02,5.83,4627510.0
2020-03-27,5.87,5.62,5378700.0
2020-03-28,,,
2020-03-29,,,
2020-03-30,5.46,5.27,7287180.0
2020-03-31,5.46,5.09,5690150.0
2020-04-01,5.54,5.17,6406330.0
2020-04-02,,,
2020-04-03,5.79,5.52,5151710.0
2020-04-04,,,
2020-04-05,,,
2020-04-06,6.1,5.87,7996310.0
2020-04-07,6.28,6.08,12576310.0
2020-04-08,6.14,5.97,4976890.0
2020-04-09,6.24,6.08,7173300.0
2020-04-10,6.18,5.98,8220670.0
2020-04-11,,,
2020-04-12,,,
2020-04-13,6.22,6.0,6297620.0
2020-04-14,6.2,6.0,7022430.0
2020-04-15,6.39,6.16,10310960.0
2020-04-16,6.39,6.2,4540410.0
2020-04-17,6.64,6.43,7574590.0
2020-04-18,,,
2020-04-19,,,
2020-04-20,6.64,6.43,10896580.0
2020-04-21,6.37,6.06,10667070.0
2020-04-22,6.26,5.91,5228620.0
2020-04-23,6.37,6.22,3568320.0
2020-04-24,6.26,6.16,2664100.0
2020-04-25,,,
2020-04-26,,,
2020-04-27,6.28,6.08,4853010.0
2020-04-28,6.18,6.04,2897820.0
2020-04-29,6.24,6.14,2734790.0
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,6.22,6.14,2266940.0
2020-05-05,6.18,6.06,2512680.0
2020-05-06,6.2,6.08,3827470.0
2020-05-07,6.33,6.18,6237880.0
2020-05-08,6.58,6.35,12648540.0
2020-05-09,,,
2020-05-10,,,
2020-05-11,6.58,6.39,13871460.0
2020-05-12,6.66,6.43,11943010.0
2020-05-13,6.84,6.58,10535970.0
2020-05-14,6.8,6.62,7371050.0
2020-05-15,6.76,6.57,8051150.0
2020-05-16,,,
2020-05-17,,,
2020-05-18,6.62,6.51,4693050.0
2020-05-19,6.78,6.68,9169410.0
2020-05-20,6.74,6.64,4064620.0
2020-05-21,6.84,6.68,8733490.0
2020-05-22,6.84,6.66,7705210.0
2020-05-23,,,
2020-05-24,,,
2020-05-25,6.76,6.66,4244600.0
2020-05-26,6.82,6.72,9158970.0
2020-05-27,6.89,6.7,10811090.0
2020-05-28,6.78,6.68,3439560.0
2020-05-29,6.7,6.64,4370270.0
2020-05-30,,,
2020-05-31,,,
2020-06-01,6.99,6.68,17148300.0
2020-06-02,7.09,6.93,14019730.0
2020-06-03,7.01,6.93,4396970.0
2020-06-04,7.09,6.97,8631510.0
2020-06-05,6.97,6.89,6864850.0
2020-06-06,,,
2020-06-07,,,
2020-06-08,7.09,6.99,8114180.0
2020-06-09,7.05,6.99,5953860.0
2020-06-10,7.3,6.95,10294970.0
2020-06-11,7.3,6.78,9855080.0
2020-06-12,6.84,6.62,10033880.0
2020-06-13,,,
2020-06-14,,,
2020-06-15,6.88,6.55,9023320.0
2020-06-16,6.78,6.64,5876970.0
2020-06-17,6.78,6.68,2160720.0
2020-06-18,6.74,6.66,2294180.0
2020-06-19,6.78,6.7,3111870.0
2020-06-20,,,
2020-06-21,,,
2020-06-22,6.88,6.76,2622880.0
2020-06-23,6.84,6.76,3682810.0
2020-06-24,6.89,6.78,5739200.0
2020-06-25,6.76,6.7,2709130.0
2020-06-26,6.78,6.68,1999300.0
2020-06-27,,,
2020-06-28,,,
2020-06-29,6.7,6.49,5960860.0
2020-06-30,6.62,6.41,3399510.0
2020-07-01,6.55,6.43,2067570.0
2020-07-02,6.57,6.49,1628160.0
2020-07-03,6.57,6.51,1241470.0
2020-07-04,,,
2020-07-05,,,
2020-07-06,6.64,6.53,2970930.0
2020-07-07,6.66,6.58,3562940.0
2020-07-08,6.66,6.6,1816440.0
2020-07-09,6.78,6.66,3777860.0
2020-07-10,6.74,6.66,2151820.0
2020-07-11,,,
2020-07-12,,,
2020-07-13,6.74,6.64,2322950.0
2020-07-14,6.66,6.58,3552800.0
2020-07-15,6.74,6.66,2941050.0
2020-07-16,6.78,6.7,3783960.0
2020-07-17,6.8,6.74,3957050.0
2020-07-18,,,
2020-07-19,,,
2020-07-20,6.8,6.66,3056310.0
2020-07-21,6.7,6.64,3066900.0
2020-07-22,6.74,6.64,2724680.0
2020-07-23,6.66,6.57,3208620.0
2020-07-24,6.58,6.35,8288120.0
2020-07-25,,,
2020-07-26,,,
2020-07-27,6.24,5.95,9988390.0
2020-07-28,6.33,6.0,6476500.0
2020-07-29,6.16,5.95,4891540.0
2020-07-30,6.16,6.08,2740330.0
2020-07-31,6.16,6.0,2822800.0
2020-08-01,,,
2020-08-02,,,
2020-08-03,6.28,6.08,4195230.0
2020-08-04,6.39,6.28,2557000.0
2020-08-05,6.41,6.28,2939150.0
2020-08-06,6.41,6.33,3050260.0
2020-08-07,6.37,6.31,2043440.0
2020-08-08,,,
2020-08-09,,,
2020-08-10,6.41,6.33,3695170.0
2020-08-11,6.43,6.35,3279300.0
2020-08-12,6.55,6.39,5592880.0
2020-08-13,6.58,6.51,2730880.0
2020-08-14,6.66,6.53,5684510.0
2020-08-15,,,
2020-08-16,,,
2020-08-17,6.66,6.53,3857910.0
2020-08-18,6.64,6.55,2714080.0
2020-08-19,6.6,6.55,3899030.0
2020-08-20,6.64,6.57,4196330.0
2020-08-21,6.7,6.58,5135520.0
2020-08-22,,,
2020-08-23,,,
2020-08-24,6.91,6.74,8344270.0
2020-08-25,7.09,6.91,12351760.0
2020-08-26,7.03,6.93,5231990.0
2020-08-27,6.97,6.88,3597610.0
2020-08-28,7.03,6.93,6040590.0
2020-08-29,,,
2020-08-30,,,
2020-08-31,7.05,6.93,3916140.0
2020-09-01,7.01,6.93,5064400.0
2020-09-02,,,
2020-09-03,7.11,7.01,4950930.0
2020-09-04,7.01,6.91,5064490.0
2020-09-05,,,
2020-09-06,,,
2020-09-07,7.03,6.86,7654310.0
2020-09-08,6.91,6.8,3480610.0
2020-09-09,6.89,6.82,3715080.0
2020-09-10,6.97,6.89,3129160.0
2020-09-11,6.93,6.84,2230940.0
2020-09-12,,,
2020-09-13,,,
2020-09-14,7.07,6.95,4580680.0
2020-09-15,7.07,6.99,3695340.0
2020-09-16,7.03,6.97,2613980.0
2020-09-17,7.15,6.99,7410540.0
