time,high,low,volume
2020-01-01,,,
2020-01-02,37.43,36.38,716290.0
2020-01-03,37.66,36.86,791020.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,36.92,36.47,389250.0
2020-01-07,36.99,36.25,648230.0
2020-01-08,36.79,36.09,742390.0
2020-01-09,36.79,36.28,318070.0
2020-01-10,36.99,36.57,412180.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,36.89,36.51,288240.0
2020-01-14,36.73,36.41,320810.0
2020-01-15,36.54,36.38,293160.0
2020-01-16,37.11,36.44,521080.0
2020-01-17,37.18,36.92,435030.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,37.95,36.95,1463940.0
2020-01-21,38.55,37.88,692200.0
2020-01-22,38.43,37.91,460240.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,37.47,36.15,1315710.0
2020-01-31,36.67,35.35,1434750.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,35.16,33.27,1949930.0
2020-02-04,35.35,34.04,905300.0
2020-02-05,35.1,34.55,805800.0
2020-02-06,35.29,34.55,785620.0
2020-02-07,34.97,34.49,628350.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,34.39,33.85,702790.0
2020-02-11,34.17,33.91,396130.0
2020-02-12,35.0,34.14,569230.0
2020-02-13,34.87,34.52,412040.0
2020-02-14,34.46,33.88,415290.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,34.39,33.98,384490.0
2020-02-18,34.91,34.23,568750.0
2020-02-19,35.35,34.84,672440.0
2020-02-20,35.64,35.26,451760.0
2020-02-21,35.83,35.13,901890.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,34.84,33.82,1556120.0
2020-02-25,34.23,33.66,692650.0
2020-02-26,34.52,33.75,1083030.0
2020-02-27,34.68,33.98,2144240.0
2020-02-28,34.3,33.43,1295250.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,34.3,33.88,474160.0
2020-03-03,34.49,34.01,679500.0
2020-03-04,33.91,33.47,680740.0
2020-03-05,34.11,33.43,673150.0
2020-03-06,33.53,32.44,827890.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,31.51,30.68,1051190.0
2020-03-10,30.39,28.86,1429660.0
2020-03-11,30.23,27.96,1584730.0
