time,high,low,volume
2020-01-01,,,
2020-01-02,47.26,45.86,380760.0
2020-01-03,48.09,46.85,586600.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,48.01,47.26,497990.0
2020-01-07,47.6,46.68,290780.0
2020-01-08,47.18,46.02,237220.0
2020-01-09,46.6,46.11,128140.0
2020-01-10,46.77,46.11,135340.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,46.52,46.02,166780.0
2020-01-14,46.19,45.69,94530.0
2020-01-15,45.94,45.28,176290.0
2020-01-16,46.44,45.69,176180.0
2020-01-17,47.02,46.35,128190.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,46.68,46.11,265570.0
2020-01-21,47.18,46.6,605240.0
2020-01-22,47.76,47.1,392620.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,47.02,45.86,314560.0
2020-01-31,46.11,43.87,672920.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,42.55,40.81,594560.0
2020-02-04,43.04,41.39,578180.0
2020-02-05,43.04,42.05,186410.0
2020-02-06,43.29,42.38,547380.0
2020-02-07,43.46,42.79,345610.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,42.88,41.97,357180.0
2020-02-11,43.71,42.63,427820.0
2020-02-12,43.95,43.71,637550.0
2020-02-13,44.53,43.71,506100.0
2020-02-14,44.45,44.04,612290.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,44.2,43.62,371440.0
2020-02-18,43.87,43.54,254370.0
2020-02-19,44.12,43.71,337410.0
2020-02-20,44.28,43.95,292760.0
2020-02-21,44.2,43.71,288010.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,43.04,41.64,441450.0
2020-02-25,42.22,41.47,282590.0
2020-02-26,41.97,41.47,290260.0
2020-02-27,42.38,41.47,238530.0
2020-02-28,43.13,41.55,290640.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,42.71,42.05,135280.0
2020-03-03,42.63,41.64,241940.0
2020-03-04,41.88,41.55,149030.0
2020-03-05,42.05,41.64,165440.0
2020-03-06,41.55,41.06,167080.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,39.73,38.28,262470.0
