time,high,low,volume
2020-01-01,,,
2020-01-02,95.18,93.51,28600.0
2020-01-03,94.77,93.51,17590.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,93.72,92.89,35850.0
2020-01-07,93.89,92.93,15580.0
2020-01-08,93.72,92.93,30610.0
2020-01-09,95.14,92.26,54030.0
2020-01-10,97.9,94.77,55770.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,98.23,97.48,22590.0
2020-01-14,97.65,96.85,9340.0
2020-01-15,97.9,97.27,22540.0
2020-01-16,98.06,97.27,9270.0
2020-01-17,97.9,97.27,12580.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,98.52,97.27,17170.0
2020-01-21,98.52,97.27,52160.0
2020-01-22,98.52,96.48,11510.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,96.6,91.01,38140.0
2020-01-31,94.18,85.16,24730.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,88.5,82.33,16880.0
2020-02-04,87.21,83.49,167140.0
2020-02-05,84.75,80.99,43870.0
2020-02-06,83.08,79.03,165080.0
2020-02-07,83.08,79.74,47950.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,83.08,81.41,69570.0
2020-02-11,81.41,80.99,26300.0
2020-02-12,81.78,79.74,57410.0
2020-02-13,81.56,79.95,76770.0
2020-02-14,82.07,80.42,38650.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,80.8,79.1,31460.0
2020-02-18,77.82,75.7,86320.0
2020-02-19,76.55,74.42,105560.0
2020-02-20,76.76,76.08,280190.0
2020-02-21,77.23,76.55,45380.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,76.63,75.31,43780.0
2020-02-25,76.55,75.01,16230.0
2020-02-26,76.29,74.93,79880.0
2020-02-27,75.35,73.65,46300.0
2020-02-28,73.27,68.89,76910.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,73.57,68.89,179490.0
2020-03-03,73.36,71.87,129270.0
2020-03-04,72.46,71.44,30310.0
2020-03-05,72.29,71.87,65380.0
2020-03-06,71.87,68.89,38170.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,67.62,64.34,107570.0
2020-03-10,68.0,64.21,39620.0
2020-03-11,68.04,64.64,73120.0
2020-03-12,68.0,60.43,38400.0
2020-03-13,65.06,58.69,54560.0
2020-03-14,,,
2020-03-15,,,
2020-03-16,63.79,59.11,46800.0
2020-03-17,63.79,59.96,25320.0
2020-03-18,62.04,57.83,49230.0
2020-03-19,58.69,54.01,40740.0
2020-03-20,55.71,51.07,51940.0
2020-03-21,,,
2020-03-22,,,
2020-03-23,53.37,49.84,38230.0
2020-03-24,50.95,47.42,24520.0
2020-03-25,52.31,49.29,137910.0
2020-03-26,53.84,51.03,188080.0
2020-03-27,56.26,53.16,145570.0
2020-03-28,,,
2020-03-29,,,
2020-03-30,55.28,51.29,24210.0
2020-03-31,54.82,51.5,19220.0
2020-04-01,54.39,51.29,33750.0
2020-04-02,,,
2020-04-03,55.24,53.16,67800.0
2020-04-04,,,
2020-04-05,,,
2020-04-06,56.77,54.01,85700.0
2020-04-07,59.11,56.13,67530.0
2020-04-08,60.6,57.83,86700.0
2020-04-09,62.77,59.54,236310.0
2020-04-10,62.47,59.54,33310.0
2020-04-11,,,
2020-04-12,,,
2020-04-13,61.87,59.96,40030.0
2020-04-14,62.0,60.09,54340.0
2020-04-15,65.23,61.02,210030.0
2020-04-16,69.4,65.06,158280.0
2020-04-17,71.44,70.17,128300.0
2020-04-18,,,
2020-04-19,,,
2020-04-20,75.23,71.49,108760.0
2020-04-21,80.46,72.29,204650.0
2020-04-22,74.42,67.96,103890.0
2020-04-23,79.48,75.99,119240.0
2020-04-24,78.67,74.5,77880.0
2020-04-25,,,
2020-04-26,,,
2020-04-27,76.55,74.42,81050.0
2020-04-28,76.5,72.29,73210.0
2020-04-29,74.42,69.32,146240.0
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,69.53,65.91,198030.0
2020-05-05,65.91,64.17,117620.0
2020-05-06,68.81,64.64,86530.0
2020-05-07,71.87,68.04,63680.0
2020-05-08,76.55,72.29,245530.0
2020-05-09,,,
2020-05-10,,,
2020-05-11,74.84,71.87,111670.0
2020-05-12,74.46,73.57,59110.0
2020-05-13,73.99,70.59,115740.0
2020-05-14,73.57,72.72,45790.0
2020-05-15,74.42,73.23,58620.0
2020-05-16,,,
2020-05-17,,,
2020-05-18,73.99,73.27,111480.0
2020-05-19,75.27,73.14,181100.0
2020-05-20,74.42,73.36,60740.0
2020-05-21,75.7,73.57,128710.0
2020-05-22,74.84,73.57,45220.0
2020-05-23,,,
2020-05-24,,,
2020-05-25,74.89,73.57,59220.0
2020-05-26,76.12,74.21,97860.0
2020-05-27,74.84,74.42,72140.0
2020-05-28,75.35,73.57,73990.0
2020-05-29,75.27,73.99,61380.0
2020-05-30,,,
2020-05-31,,,
2020-06-01,77.4,74.55,86810.0
2020-06-02,80.37,75.57,144460.0
2020-06-03,78.67,76.55,54700.0
2020-06-04,77.82,76.12,51660.0
2020-06-05,77.35,76.12,26270.0
2020-06-06,,,
2020-06-07,,,
2020-06-08,78.03,76.12,98910.0
2020-06-09,77.69,75.7,54360.0
2020-06-10,76.55,75.48,44990.0
2020-06-11,76.76,75.27,61230.0
2020-06-12,75.61,72.76,95400.0
2020-06-13,,,
2020-06-14,,,
2020-06-15,74.42,70.38,39640.0
2020-06-16,73.53,70.59,62570.0
2020-06-17,73.91,70.63,37500.0
2020-06-18,72.04,70.59,24530.0
2020-06-19,71.87,70.72,26650.0
2020-06-20,,,
2020-06-21,,,
2020-06-22,71.87,70.59,52660.0
2020-06-23,71.06,69.74,38700.0
2020-06-24,70.59,68.04,82380.0
2020-06-25,69.74,67.62,56510.0
2020-06-26,70.29,68.04,78810.0
2020-06-27,,,
2020-06-28,,,
2020-06-29,69.74,68.25,59040.0
2020-06-30,69.74,66.76,62530.0
2020-07-01,70.17,66.34,58620.0
2020-07-02,71.02,69.1,46960.0
2020-07-03,74.8,70.17,200340.0
2020-07-04,,,
2020-07-05,,,
2020-07-06,77.4,75.61,146350.0
2020-07-07,80.2,77.82,244640.0
2020-07-08,82.37,77.14,357430.0
2020-07-09,87.81,82.88,285960.0
2020-07-10,91.85,86.75,190990.0
2020-07-11,,,
2020-07-12,,,
2020-07-13,89.22,85.05,150810.0
2020-07-14,84.84,81.22,180690.0
2020-07-15,85.9,81.44,258700.0
2020-07-16,82.07,80.8,358550.0
2020-07-17,83.77,81.44,89590.0
2020-07-18,,,
2020-07-19,,,
2020-07-20,82.5,81.01,129850.0
2020-07-21,82.67,80.8,73700.0
2020-07-22,82.03,80.84,106850.0
2020-07-23,80.8,79.61,137160.0
2020-07-24,79.52,76.16,235580.0
2020-07-25,,,
2020-07-26,,,
2020-07-27,74.84,71.66,236260.0
2020-07-28,78.67,71.44,237000.0
2020-07-29,77.78,72.72,219800.0
2020-07-30,74.21,71.87,81480.0
2020-07-31,73.14,70.59,201570.0
2020-08-01,,,
2020-08-02,,,
2020-08-03,73.1,71.44,163920.0
2020-08-04,73.53,71.87,242370.0
2020-08-05,76.97,72.97,298550.0
2020-08-06,78.03,75.27,213840.0
2020-08-07,78.46,76.55,160550.0
2020-08-08,,,
2020-08-09,,,
2020-08-10,79.1,76.5,151620.0
2020-08-11,76.93,75.31,147070.0
2020-08-12,76.76,75.91,138750.0
2020-08-13,78.25,76.84,72580.0
2020-08-14,80.33,77.4,242070.0
2020-08-15,,,
2020-08-16,,,
2020-08-17,78.46,76.8,91080.0
2020-08-18,78.25,76.55,67930.0
2020-08-19,77.52,76.72,76720.0
2020-08-20,77.4,76.38,117630.0
2020-08-21,77.35,76.38,110610.0
2020-08-22,,,
2020-08-23,,,
2020-08-24,78.25,76.59,96690.0
2020-08-25,79.99,77.82,134910.0
2020-08-26,79.95,78.33,88320.0
2020-08-27,79.1,77.82,76590.0
2020-08-28,79.1,77.4,97130.0
2020-08-29,,,
2020-08-30,,,
2020-08-31,82.03,77.86,271460.0
2020-09-01,82.5,80.8,131710.0
2020-09-02,,,
2020-09-03,82.8,81.35,148770.0
2020-09-04,83.14,81.48,140040.0
2020-09-05,,,
2020-09-06,,,
2020-09-07,83.35,81.73,188280.0
2020-09-08,82.07,80.8,106590.0
2020-09-09,81.27,79.95,123070.0
2020-09-10,81.65,80.37,79060.0
2020-09-11,81.18,79.95,62980.0
2020-09-12,,,
2020-09-13,,,
2020-09-14,80.59,79.52,49050.0
2020-09-15,81.22,80.03,36360.0
2020-09-16,81.22,80.03,43570.0
2020-09-17,80.76,80.03,101220.0
2020-09-18,81.01,80.03,45640.0
2020-09-19,,,
2020-09-20,,,
2020-09-21,81.56,80.5,99530.0
2020-09-22,81.82,80.37,149610.0
2020-09-23,81.52,80.59,35640.0
2020-09-24,80.97,79.52,70830.0
2020-09-25,80.16,79.52,143900.0
2020-09-26,,,
2020-09-27,,,
2020-09-28,79.95,79.52,80960.0
2020-09-29,80.03,78.67,132450.0
2020-09-30,78.88,77.44,149060.0
2020-10-01,78.71,77.95,22330.0
2020-10-02,78.63,78.03,45510.0
2020-10-03,,,
2020-10-04,,,
2020-10-05,79.1,78.46,74270.0
2020-10-06,79.44,78.5,55370.0
2020-10-07,80.8,79.1,64920.0
2020-10-08,80.8,79.95,46140.0
