time,high,low,volume
2020-01-01,,,
2020-01-02,11.56,11.4,1387610.0
2020-01-03,11.61,11.47,756700.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,11.35,11.18,1162990.0
2020-01-07,11.25,11.15,1043300.0
2020-01-08,11.18,10.96,1710390.0
2020-01-09,11.2,11.08,2009840.0
2020-01-10,11.4,11.15,3679110.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,11.23,11.03,892360.0
2020-01-14,11.18,11.1,1804950.0
2020-01-15,11.15,11.06,1929280.0
2020-01-16,11.32,11.1,4383720.0
2020-01-17,11.44,11.3,1875160.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,11.37,11.25,2019730.0
2020-01-21,11.66,11.35,7458340.0
2020-01-22,11.76,11.61,2309150.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,11.54,11.03,4013510.0
2020-01-31,11.1,10.47,6118460.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,10.72,9.87,4258750.0
2020-02-04,10.62,10.28,2196570.0
2020-02-05,10.74,10.45,2433210.0
2020-02-06,10.89,10.43,2677150.0
2020-02-07,10.84,10.62,1965440.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,10.67,10.5,1304360.0
2020-02-11,10.81,10.6,1353360.0
2020-02-12,11.13,10.76,3157240.0
2020-02-13,10.98,10.86,1823230.0
2020-02-14,11.35,11.1,4375740.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,11.59,11.27,6393370.0
2020-02-18,11.69,11.42,4268770.0
2020-02-19,11.49,11.37,1980690.0
2020-02-20,11.59,11.3,2950950.0
2020-02-21,11.49,11.2,2959980.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,11.03,10.43,7508070.0
2020-02-25,10.79,10.09,3236900.0
2020-02-26,10.91,10.47,2243500.0
2020-02-27,11.03,10.76,2324050.0
2020-02-28,10.86,10.6,2433150.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,10.98,10.72,2567350.0
2020-03-03,11.15,10.91,2162150.0
2020-03-04,10.96,10.76,1936620.0
2020-03-05,11.08,10.81,2022250.0
2020-03-06,10.76,10.57,2247920.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,10.18,9.96,4584600.0
2020-03-10,10.18,9.75,3161970.0
2020-03-11,10.16,9.36,5626550.0
2020-03-12,8.97,8.7,4054760.0
2020-03-13,8.99,8.1,4332700.0
2020-03-14,,,
2020-03-15,,,
2020-03-16,8.85,8.34,3645430.0
2020-03-17,8.7,8.17,3112070.0
2020-03-18,8.83,8.58,1908520.0
2020-03-19,8.63,8.32,2214980.0
2020-03-20,8.49,8.32,1878140.0
2020-03-21,,,
2020-03-22,,,
2020-03-23,8.24,7.83,3265510.0
2020-03-24,8.0,7.76,3209920.0
2020-03-25,8.1,7.9,2952270.0
2020-03-26,8.05,7.81,1487540.0
2020-03-27,7.86,7.56,2746330.0
2020-03-28,,,
2020-03-29,,,
2020-03-30,7.52,7.23,3360230.0
2020-03-31,7.52,6.79,1578850.0
2020-04-01,7.56,6.96,1316380.0
2020-04-02,,,
2020-04-03,7.73,7.52,1433510.0
2020-04-04,,,
2020-04-05,,,
2020-04-06,8.22,7.81,2966040.0
2020-04-07,8.34,8.15,2424610.0
2020-04-08,8.15,7.9,1408000.0
2020-04-09,8.32,8.17,2199830.0
2020-04-10,8.22,8.07,1495400.0
2020-04-11,,,
2020-04-12,,,
2020-04-13,8.53,8.12,2564400.0
2020-04-14,8.41,8.19,1446850.0
2020-04-15,8.51,8.34,2536130.0
2020-04-16,8.51,8.34,1858330.0
2020-04-17,8.66,8.49,2252420.0
