time,high,low,volume
2020-01-01,,,
2020-01-02,7.13,6.68,130120.0
2020-01-03,6.94,6.78,99170.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,6.81,6.68,112640.0
2020-01-07,6.76,6.7,65060.0
2020-01-08,6.75,6.65,102880.0
2020-01-09,6.78,6.65,189800.0
2020-01-10,6.86,6.71,133980.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,6.89,6.81,98460.0
2020-01-14,6.91,6.86,226240.0
2020-01-15,6.92,6.71,46350.0
2020-01-16,7.03,6.92,383350.0
2020-01-17,7.05,6.86,37830.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,6.92,6.38,78000.0
2020-01-21,6.87,6.65,122920.0
2020-01-22,6.86,6.75,45070.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,6.81,6.71,103000.0
2020-01-31,6.81,6.36,89490.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,6.6,6.21,173210.0
2020-02-04,6.7,6.52,14600.0
2020-02-05,6.71,6.64,28510.0
2020-02-06,6.84,6.65,77450.0
2020-02-07,6.79,6.62,78430.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,6.71,6.59,71850.0
2020-02-11,6.7,6.62,43150.0
2020-02-12,6.75,6.68,90120.0
2020-02-13,6.75,6.67,113750.0
2020-02-14,6.97,6.7,294880.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,6.99,6.84,207270.0
2020-02-18,6.95,6.84,111000.0
2020-02-19,6.91,6.78,124780.0
2020-02-20,6.83,6.79,145520.0
2020-02-21,6.83,6.75,90300.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,6.68,6.44,161490.0
2020-02-25,6.67,6.27,27270.0
2020-02-26,6.65,6.52,41910.0
2020-02-27,6.91,6.52,271110.0
2020-02-28,6.83,6.68,156510.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,6.84,6.71,99240.0
2020-03-03,6.92,6.79,254330.0
2020-03-04,7.05,6.79,671700.0
2020-03-05,7.1,6.97,310620.0
2020-03-06,7.0,6.89,233160.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,6.68,6.52,438780.0
2020-03-10,6.68,6.16,242330.0
2020-03-11,6.68,6.27,154120.0
2020-03-12,6.49,6.22,610480.0
2020-03-13,6.49,6.01,281610.0
2020-03-14,,,
2020-03-15,,,
2020-03-16,6.51,6.25,563900.0
2020-03-17,6.68,6.25,269620.0
2020-03-18,6.78,6.64,558100.0
2020-03-19,6.78,6.62,503440.0
2020-03-20,6.97,6.64,1064230.0
2020-03-21,,,
2020-03-22,,,
2020-03-23,6.97,6.52,763990.0
2020-03-24,6.99,6.68,1415010.0
2020-03-25,6.99,6.86,249770.0
2020-03-26,6.97,6.52,117490.0
2020-03-27,6.52,6.29,98820.0
2020-03-28,,,
2020-03-29,,,
2020-03-30,6.21,5.86,166320.0
2020-03-31,5.86,5.46,122410.0
2020-04-01,5.57,5.08,286720.0
2020-04-02,,,
2020-04-03,5.38,5.16,101430.0
2020-04-04,,,
2020-04-05,,,
2020-04-06,5.57,5.33,395510.0
2020-04-07,5.57,5.38,200320.0
2020-04-08,5.52,5.25,52310.0
2020-04-09,5.6,5.47,167930.0
2020-04-10,5.54,5.41,86670.0
2020-04-11,,,
2020-04-12,,,
2020-04-13,5.57,5.47,204450.0
2020-04-14,5.59,5.47,119710.0
2020-04-15,5.82,5.52,197400.0
2020-04-16,5.82,5.66,73710.0
2020-04-17,5.92,5.76,135520.0
2020-04-18,,,
2020-04-19,,,
2020-04-20,5.95,5.82,126480.0
2020-04-21,5.81,5.44,156100.0
2020-04-22,5.63,5.41,33200.0
2020-04-23,5.79,5.57,31680.0
2020-04-24,5.74,5.63,34280.0
2020-04-25,,,
2020-04-26,,,
2020-04-27,5.66,5.54,29160.0
2020-04-28,5.63,5.47,34610.0
2020-04-29,5.62,5.47,88040.0
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,5.59,5.47,74680.0
2020-05-05,5.6,5.54,33750.0
2020-05-06,5.73,5.6,101950.0
2020-05-07,5.79,5.71,85730.0
2020-05-08,5.89,5.74,168160.0
2020-05-09,,,
2020-05-10,,,
2020-05-11,6.05,5.76,137630.0
2020-05-12,6.38,5.9,353420.0
2020-05-13,6.83,6.32,346820.0
2020-05-14,7.16,6.83,652330.0
2020-05-15,6.95,6.62,338510.0
2020-05-16,,,
2020-05-17,,,
2020-05-18,6.94,6.65,102210.0
2020-05-19,7.03,6.84,310870.0
2020-05-20,7.0,6.87,136380.0
2020-05-21,7.0,6.87,161530.0
2020-05-22,7.0,6.68,166670.0
2020-05-23,,,
2020-05-24,,,
2020-05-25,6.78,6.62,77950.0
2020-05-26,6.71,6.59,238050.0
2020-05-27,6.84,6.65,74930.0
2020-05-28,6.83,6.56,88230.0
2020-05-29,6.62,6.52,123320.0
2020-05-30,,,
2020-05-31,,,
2020-06-01,6.81,6.62,150440.0
2020-06-02,6.84,6.68,125520.0
2020-06-03,7.03,6.68,546590.0
2020-06-04,7.03,6.97,313230.0
2020-06-05,7.03,6.94,323580.0
2020-06-06,,,
2020-06-07,,,
2020-06-08,7.0,6.91,132990.0
2020-06-09,6.94,6.84,42790.0
2020-06-10,7.0,6.89,126730.0
2020-06-11,7.05,6.56,126510.0
2020-06-12,6.68,6.14,149330.0
2020-06-13,,,
2020-06-14,,,
2020-06-15,6.68,6.46,82650.0
2020-06-16,6.68,6.46,67860.0
2020-06-17,6.68,6.54,19700.0
2020-06-18,6.59,6.49,20140.0
2020-06-19,6.68,6.51,82100.0
2020-06-20,,,
2020-06-21,,,
2020-06-22,6.78,6.52,122470.0
2020-06-23,6.81,6.6,145090.0
2020-06-24,6.78,6.65,148580.0
2020-06-25,6.71,6.56,75010.0
2020-06-26,6.73,6.59,59750.0
2020-06-27,,,
2020-06-28,,,
2020-06-29,6.68,6.46,90490.0
2020-06-30,6.64,6.56,35420.0
2020-07-01,6.65,6.52,23010.0
2020-07-02,6.64,6.52,33440.0
2020-07-03,6.62,6.56,22730.0
2020-07-04,,,
2020-07-05,,,
2020-07-06,6.65,6.57,55120.0
2020-07-07,6.78,6.67,85360.0
2020-07-08,6.91,6.67,79230.0
2020-07-09,7.1,6.84,214960.0
2020-07-10,6.99,6.84,67580.0
2020-07-11,,,
2020-07-12,,,
2020-07-13,7.13,6.84,83070.0
2020-07-14,6.94,6.83,34430.0
2020-07-15,6.95,6.87,22780.0
2020-07-16,7.07,6.83,116430.0
2020-07-17,7.03,6.95,63130.0
2020-07-18,,,
2020-07-19,,,
2020-07-20,7.0,6.95,30750.0
2020-07-21,6.95,6.79,71650.0
2020-07-22,6.94,6.71,59360.0
2020-07-23,6.87,6.68,67290.0
2020-07-24,6.94,6.52,155090.0
2020-07-25,,,
2020-07-26,,,
2020-07-27,6.49,6.17,101280.0
2020-07-28,6.64,6.21,211440.0
2020-07-29,6.52,6.27,65230.0
2020-07-30,6.52,6.36,16870.0
2020-07-31,6.56,6.3,35190.0
2020-08-01,,,
2020-08-02,,,
2020-08-03,6.59,6.56,23300.0
2020-08-04,6.84,6.57,75210.0
2020-08-05,6.84,6.62,26400.0
2020-08-06,6.68,6.6,51960.0
2020-08-07,6.75,6.62,22300.0
2020-08-08,,,
2020-08-09,,,
2020-08-10,6.71,6.65,63600.0
2020-08-11,6.71,6.65,38000.0
2020-08-12,6.75,6.68,41650.0
2020-08-13,6.79,6.73,12850.0
2020-08-14,6.81,6.7,26190.0
2020-08-15,,,
2020-08-16,,,
2020-08-17,6.71,6.62,31080.0
2020-08-18,6.78,6.64,70860.0
2020-08-19,6.78,6.65,25160.0
2020-08-20,6.81,6.65,150390.0
2020-08-21,7.03,6.87,219380.0
2020-08-22,,,
2020-08-23,,,
2020-08-24,7.24,7.1,457370.0
2020-08-25,7.14,7.07,281750.0
2020-08-26,7.16,7.1,150080.0
2020-08-27,7.13,7.0,128510.0
2020-08-28,7.13,7.05,266980.0
2020-08-29,,,
2020-08-30,,,
2020-08-31,7.19,7.1,214630.0
2020-09-01,7.54,7.19,565870.0
2020-09-02,,,
2020-09-03,7.51,7.32,375140.0
2020-09-04,7.45,7.32,378370.0
2020-09-05,,,
2020-09-06,,,
2020-09-07,7.45,7.26,1393600.0
2020-09-08,7.35,7.26,1094670.0
2020-09-09,7.34,7.21,1336480.0
2020-09-10,7.42,7.32,1455720.0
2020-09-11,7.38,7.32,1144310.0
2020-09-12,,,
2020-09-13,,,
2020-09-14,7.42,7.32,1036980.0
2020-09-15,7.35,7.27,1276570.0
2020-09-16,7.34,7.27,1310010.0
2020-09-17,7.34,7.27,1330110.0
2020-09-18,7.62,7.27,2844100.0
2020-09-19,,,
2020-09-20,,,
2020-09-21,7.65,7.53,1445490.0
2020-09-22,7.8,7.51,2864060.0
2020-09-23,7.7,7.54,1634160.0
2020-09-24,7.61,7.53,1428130.0
2020-09-25,7.59,7.48,1447080.0
2020-09-26,,,
2020-09-27,,,
2020-09-28,7.64,7.48,1006930.0
2020-09-29,7.61,7.42,1121300.0
2020-09-30,7.53,7.43,2843160.0
2020-10-01,7.91,7.48,4408980.0
2020-10-02,7.99,7.67,3339580.0
2020-10-03,,,
2020-10-04,,,
2020-10-05,8.05,7.94,3570750.0
2020-10-06,8.12,7.91,3513190.0
2020-10-07,7.99,7.86,2744360.0
2020-10-08,7.96,7.78,1913730.0
2020-10-09,7.97,7.8,3478130.0
2020-10-10,,,
2020-10-11,,,
2020-10-12,8.02,7.89,2026030.0
2020-10-13,7.97,7.81,1935520.0
2020-10-14,8.0,7.89,3276270.0
2020-10-15,7.99,7.89,2932680.0
2020-10-16,8.12,7.86,3618880.0
2020-10-17,,,
2020-10-18,,,
2020-10-19,8.18,7.92,3684050.0
2020-10-20,8.24,8.08,3335700.0
2020-10-21,8.21,7.96,4031080.0
2020-10-22,8.02,7.8,2022830.0
2020-10-23,8.02,7.84,2178010.0
2020-10-24,,,
2020-10-25,,,
2020-10-26,7.91,7.64,1951470.0
2020-10-27,7.64,7.45,2688920.0
2020-10-28,7.51,7.03,1990850.0
2020-10-29,7.32,7.1,1949300.0
2020-10-30,7.35,7.13,915230.0
2020-10-31,,,
2020-11-01,,,
2020-11-02,7.37,7.29,1070100.0
2020-11-03,7.48,7.32,1578820.0
2020-11-04,7.54,7.43,1800080.0
2020-11-05,7.56,7.45,1206860.0
2020-11-06,7.49,7.42,921120.0
2020-11-07,,,
2020-11-08,,,
2020-11-09,7.8,7.49,3670230.0
2020-11-10,7.89,7.64,1607900.0
2020-11-11,7.8,7.64,1884080.0
2020-11-12,7.72,7.64,1254330.0
