time,high,low,volume
2020-01-01,,,
2020-01-02,39.75,39.01,386290.0
2020-01-03,39.93,39.1,536130.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,38.93,38.06,880110.0
2020-01-07,38.23,37.14,1013270.0
2020-01-08,38.23,37.49,722280.0
2020-01-09,38.66,38.14,722670.0
2020-01-10,39.32,38.23,1526920.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,39.06,38.71,1044640.0
2020-01-14,39.14,38.75,1001130.0
2020-01-15,38.97,38.62,1471860.0
2020-01-16,39.27,38.66,1171580.0
2020-01-17,41.1,38.93,2219790.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,41.23,40.67,832190.0
2020-01-21,41.14,40.71,749590.0
2020-01-22,41.32,40.49,877710.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,40.19,37.84,3541560.0
2020-01-31,39.06,38.14,1270160.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,39.23,36.1,1457070.0
2020-02-04,39.06,38.14,1118410.0
2020-02-05,39.32,38.62,731310.0
2020-02-06,39.53,38.62,889570.0
2020-02-07,39.49,38.71,1170540.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,38.93,38.49,607060.0
2020-02-11,38.93,38.66,520210.0
2020-02-12,39.06,38.75,609750.0
2020-02-13,38.93,38.62,633270.0
2020-02-14,39.06,38.71,432800.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,39.1,38.75,343900.0
2020-02-18,38.97,38.71,432880.0
2020-02-19,38.93,38.71,208280.0
2020-02-20,39.32,38.8,541120.0
2020-02-21,38.93,38.71,898350.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,38.27,37.4,995910.0
2020-02-25,37.84,37.32,1229530.0
2020-02-26,37.4,36.53,1163030.0
2020-02-27,36.79,36.06,1227980.0
2020-02-28,36.27,34.84,1710080.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,35.75,35.36,668980.0
2020-03-03,36.32,35.75,848270.0
2020-03-04,35.66,35.23,581530.0
2020-03-05,36.36,35.75,833710.0
2020-03-06,37.27,35.66,884750.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,35.19,34.18,1209500.0
2020-03-10,34.75,32.79,1433230.0
2020-03-11,34.97,32.36,1806190.0
2020-03-12,31.75,31.18,1582400.0
2020-03-13,31.75,29.01,1859750.0
2020-03-14,,,
2020-03-15,,,
2020-03-16,30.88,28.92,1022550.0
2020-03-17,29.36,27.66,1364590.0
2020-03-18,30.75,29.57,1099800.0
2020-03-19,29.88,28.7,1191150.0
2020-03-20,28.84,26.75,2763360.0
2020-03-21,,,
2020-03-22,,,
2020-03-23,25.44,24.88,1875070.0
2020-03-24,25.4,24.62,1498070.0
2020-03-25,26.97,25.96,1835730.0
2020-03-26,28.14,26.75,1484590.0
2020-03-27,28.66,27.18,1569620.0
2020-03-28,,,
2020-03-29,,,
2020-03-30,26.7,26.01,1637330.0
2020-03-31,27.88,26.1,957500.0
2020-04-01,28.66,26.75,1229320.0
2020-04-02,,,
2020-04-03,28.84,27.84,1726690.0
2020-04-04,,,
2020-04-05,,,
2020-04-06,29.71,28.7,2111200.0
2020-04-07,30.01,29.05,1773570.0
2020-04-08,29.66,29.05,1778380.0
2020-04-09,31.31,29.57,1795170.0
2020-04-10,31.27,30.27,1599380.0
2020-04-11,,,
2020-04-12,,,
2020-04-13,31.23,30.44,1046830.0
2020-04-14,30.79,29.49,1944570.0
2020-04-15,31.01,30.31,1017740.0
2020-04-16,30.97,30.36,1057050.0
2020-04-17,31.23,30.84,1473140.0
2020-04-18,,,
2020-04-19,,,
2020-04-20,31.49,30.79,1026030.0
2020-04-21,31.1,29.49,2159110.0
2020-04-22,30.92,30.01,1612290.0
2020-04-23,30.88,29.92,1201610.0
2020-04-24,30.27,29.36,972170.0
2020-04-25,,,
2020-04-26,,,
2020-04-27,30.4,29.05,2547060.0
2020-04-28,29.79,28.36,2052860.0
2020-04-29,29.62,29.14,1523750.0
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,29.62,29.05,852260.0
2020-05-05,29.44,29.05,1007640.0
2020-05-06,29.44,28.92,855770.0
2020-05-07,30.31,29.44,1936540.0
2020-05-08,32.27,30.36,3865590.0
2020-05-09,,,
2020-05-10,,,
2020-05-11,32.4,31.53,1696160.0
2020-05-12,33.05,32.36,2199500.0
2020-05-13,33.27,31.31,1851970.0
2020-05-14,33.23,32.58,2121750.0
2020-05-15,33.27,32.88,1596240.0
2020-05-16,,,
2020-05-17,,,
2020-05-18,34.36,32.97,1002690.0
2020-05-19,34.84,34.27,1129270.0
2020-05-20,34.66,34.1,710200.0
2020-05-21,35.32,34.62,1425500.0
2020-05-22,35.36,34.79,805710.0
2020-05-23,,,
2020-05-24,,,
2020-05-25,35.36,35.14,708710.0
2020-05-26,35.92,35.23,740930.0
2020-05-27,36.71,36.06,817770.0
2020-05-28,37.01,36.1,1849310.0
2020-05-29,37.4,36.75,1161180.0
2020-05-30,,,
2020-05-31,,,
2020-06-01,37.71,37.19,725310.0
2020-06-02,37.79,37.53,1009040.0
2020-06-03,38.23,37.79,462750.0
2020-06-04,38.71,38.27,450240.0
2020-06-05,38.84,37.84,810570.0
2020-06-06,,,
2020-06-07,,,
2020-06-08,39.23,38.45,802240.0
2020-06-09,39.14,38.88,417690.0
2020-06-10,39.06,38.84,793590.0
2020-06-11,38.97,37.84,1163900.0
2020-06-12,37.62,35.88,1612920.0
2020-06-13,,,
2020-06-14,,,
2020-06-15,37.32,35.58,1218540.0
2020-06-16,36.53,35.84,802980.0
2020-06-17,37.06,36.45,737830.0
2020-06-18,37.62,36.49,1809780.0
2020-06-19,37.4,36.97,723970.0
2020-06-20,,,
2020-06-21,,,
2020-06-22,37.23,36.97,1308600.0
2020-06-23,37.84,37.1,917230.0
2020-06-24,37.4,36.58,710160.0
2020-06-25,36.71,35.97,506650.0
2020-06-26,36.84,36.1,355930.0
2020-06-27,,,
2020-06-28,,,
2020-06-29,36.23,35.27,594140.0
2020-06-30,35.88,34.79,709990.0
2020-07-01,35.97,34.79,404440.0
2020-07-02,36.19,35.23,469040.0
2020-07-03,36.23,35.75,370340.0
2020-07-04,,,
2020-07-05,,,
2020-07-06,36.27,35.84,1218830.0
2020-07-07,36.62,36.23,1336830.0
2020-07-08,36.27,36.01,485190.0
2020-07-09,36.49,36.23,962170.0
2020-07-10,36.36,35.71,918560.0
2020-07-11,,,
2020-07-12,,,
2020-07-13,36.32,35.84,371630.0
2020-07-14,36.1,35.75,427110.0
2020-07-15,36.45,36.19,1198530.0
2020-07-16,36.49,36.06,1091190.0
2020-07-17,36.36,36.01,628000.0
2020-07-18,,,
2020-07-19,,,
2020-07-20,35.97,35.53,696830.0
2020-07-21,36.01,35.53,681740.0
2020-07-22,35.88,35.75,625320.0
2020-07-23,36.01,35.71,1350870.0
2020-07-24,35.79,34.14,1341540.0
2020-07-25,,,
2020-07-26,,,
2020-07-27,34.79,33.05,1274570.0
2020-07-28,34.27,33.27,910690.0
2020-07-29,33.92,32.66,833570.0
2020-07-30,34.14,33.62,937680.0
2020-07-31,33.66,33.05,672940.0
2020-08-01,,,
2020-08-02,,,
2020-08-03,34.27,33.05,422820.0
2020-08-04,35.62,34.53,616840.0
2020-08-05,36.1,34.97,778840.0
2020-08-06,36.14,35.62,802350.0
