time,high,low,volume
2020-01-01,,,
2020-01-02,4.91,4.82,371400.0
2020-01-03,4.91,4.82,391030.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,4.85,4.77,359794.0
2020-01-07,4.82,4.77,114862.0
2020-01-08,4.77,4.68,516075.0
2020-01-09,4.8,4.68,559354.0
2020-01-10,4.77,4.68,720409.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,4.82,4.71,527921.0
2020-01-14,4.85,4.77,359137.0
2020-01-15,4.85,4.8,379187.0
2020-01-16,4.91,4.8,690910.0
2020-01-17,4.93,4.8,805973.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,4.93,4.8,1253362.0
2020-01-21,4.96,4.88,1106015.0
2020-01-22,4.96,4.88,584350.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,4.91,4.77,848096.0
2020-01-31,4.8,4.71,988717.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,4.74,4.57,1299169.0
2020-02-04,4.77,4.66,712734.0
2020-02-05,4.85,4.77,742628.0
2020-02-06,4.91,4.77,760378.0
2020-02-07,4.88,4.82,360258.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,4.85,4.71,743200.0
2020-02-11,4.8,4.74,491576.0
2020-02-12,4.91,4.77,653767.0
2020-02-13,5.13,4.82,3715862.0
2020-02-14,5.18,4.99,1963866.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,5.16,5.04,973460.0
2020-02-18,5.1,4.96,1518563.0
2020-02-19,5.02,4.96,992359.0
2020-02-20,5.1,4.99,597245.0
2020-02-21,5.32,5.04,4777915.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,5.21,4.91,2291673.0
2020-02-25,5.04,4.82,1761731.0
2020-02-26,4.99,4.8,1730855.0
2020-02-27,5.13,4.91,1355949.0
2020-02-28,5.07,4.96,1909126.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,5.1,4.93,1282104.0
2020-03-03,5.18,5.07,1753520.0
2020-03-04,5.1,5.04,717445.0
2020-03-05,5.18,5.02,1430847.0
2020-03-06,5.1,4.96,878862.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,4.96,4.24,5896152.0
2020-03-10,4.77,4.41,2161508.0
2020-03-11,4.77,4.41,2299550.0
2020-03-12,4.52,4.21,2366087.0
2020-03-13,4.41,3.99,2739933.0
2020-03-14,,,
2020-03-15,,,
2020-03-16,4.32,4.13,1053796.0
2020-03-17,4.21,3.99,1369993.0
2020-03-18,4.24,4.13,609580.0
2020-03-19,4.19,4.02,764288.0
2020-03-20,4.13,4.05,324349.0
2020-03-21,,,
2020-03-22,,,
2020-03-23,4.07,3.58,1989844.0
2020-03-24,3.77,3.63,807017.0
2020-03-25,4.05,3.8,1192400.0
2020-03-26,4.05,3.8,648007.0
2020-03-27,3.91,3.77,310649.0
2020-03-28,,,
2020-03-29,,,
2020-03-30,3.77,3.44,900039.0
2020-03-31,3.69,3.46,925612.0
2020-04-01,3.69,3.55,294770.0
2020-04-02,,,
2020-04-03,3.77,3.63,795050.0
2020-04-04,,,
2020-04-05,,,
2020-04-06,3.99,3.74,1020978.0
2020-04-07,4.07,3.88,650240.0
2020-04-08,3.96,3.85,592808.0
2020-04-09,3.99,3.91,1074312.0
2020-04-10,3.99,3.91,612012.0
2020-04-11,,,
2020-04-12,,,
2020-04-13,4.02,3.88,551333.0
2020-04-14,4.02,3.91,576043.0
2020-04-15,4.16,3.96,2079760.0
2020-04-16,4.1,3.99,488261.0
2020-04-17,4.19,4.07,1244355.0
2020-04-18,,,
2020-04-19,,,
2020-04-20,4.24,4.07,1312060.0
2020-04-21,4.21,3.94,1196775.0
2020-04-22,4.07,3.85,928810.0
2020-04-23,4.13,4.02,353550.0
2020-04-24,4.05,3.99,363171.0
2020-04-25,,,
2020-04-26,,,
2020-04-27,4.05,3.94,466516.0
2020-04-28,4.02,3.94,385960.0
2020-04-29,4.05,3.99,418833.0
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,4.02,3.96,350874.0
2020-05-05,3.99,3.94,207333.0
2020-05-06,4.05,3.96,527580.0
2020-05-07,4.05,3.96,339828.0
2020-05-08,4.19,4.02,1165615.0
2020-05-09,,,
2020-05-10,,,
2020-05-11,4.24,4.07,1287559.0
2020-05-12,4.27,4.16,980524.0
2020-05-13,4.3,4.19,619390.0
2020-05-14,4.24,4.19,822910.0
2020-05-15,4.24,4.13,572365.0
2020-05-16,,,
2020-05-17,,,
2020-05-18,4.19,4.13,501442.0
2020-05-19,4.3,4.21,1086727.0
2020-05-20,4.24,4.19,783043.0
2020-05-21,4.3,4.19,887025.0
2020-05-22,4.43,4.24,1648500.0
2020-05-23,,,
