time,high,low,volume
2020-01-01,,,
2020-01-02,102.22,101.33,440280.0
2020-01-03,102.49,101.6,248940.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,102.22,101.69,301910.0
2020-01-07,102.22,101.6,183910.0
2020-01-08,101.96,100.98,468910.0
2020-01-09,102.31,101.51,273870.0
2020-01-10,102.22,101.96,159120.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,102.31,101.78,146680.0
2020-01-14,102.31,101.6,101150.0
2020-01-15,102.22,101.6,205600.0
2020-01-16,102.31,101.6,186740.0
2020-01-17,102.31,101.69,169100.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,102.13,101.6,370670.0
2020-01-21,102.22,101.6,181510.0
2020-01-22,102.13,101.51,371780.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,102.13,99.65,682720.0
2020-01-31,102.13,100.98,831740.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,102.05,99.82,760420.0
2020-02-04,102.05,99.38,1485500.0
2020-02-05,102.05,100.45,468420.0
2020-02-06,101.96,100.27,676290.0
2020-02-07,101.69,99.56,1295520.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,101.42,100.45,192700.0
2020-02-11,101.51,100.45,290630.0
2020-02-12,100.8,99.56,452790.0
2020-02-13,100.18,99.02,285340.0
2020-02-14,100.09,97.78,252390.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,97.78,93.33,742220.0
2020-02-18,95.11,92.45,791870.0
2020-02-19,95.11,92.0,832580.0
2020-02-20,97.78,93.33,353570.0
2020-02-21,97.78,95.82,309060.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,96.0,93.78,1428650.0
2020-02-25,95.38,94.13,543820.0
2020-02-26,94.76,92.45,625410.0
2020-02-27,94.22,92.53,740420.0
2020-02-28,93.69,91.56,870840.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,93.69,91.29,742130.0
2020-03-03,93.87,92.89,557950.0
2020-03-04,93.78,92.0,443810.0
2020-03-05,94.13,92.27,352300.0
2020-03-06,93.33,91.65,750830.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,90.67,86.85,966890.0
2020-03-10,88.18,81.07,825490.0
2020-03-11,87.11,80.98,1049580.0
2020-03-12,82.05,80.27,1896270.0
2020-03-13,82.22,75.91,1226880.0
2020-03-14,,,
2020-03-15,,,
2020-03-16,82.22,76.98,971340.0
2020-03-17,82.05,77.87,681330.0
2020-03-18,80.0,76.89,785390.0
2020-03-19,78.85,73.87,1103680.0
2020-03-20,78.85,73.33,1083480.0
2020-03-21,,,
2020-03-22,,,
2020-03-23,69.6,68.27,678160.0
2020-03-24,66.67,63.56,1474050.0
2020-03-25,68.0,60.45,1401570.0
2020-03-26,72.71,67.2,1242250.0
2020-03-27,77.69,70.67,1149310.0
2020-03-28,,,
2020-03-29,,,
2020-03-30,72.89,71.82,881240.0
2020-03-31,77.33,71.47,1296450.0
2020-04-01,77.33,72.0,437820.0
2020-04-02,,,
2020-04-03,80.89,76.45,1184500.0
2020-04-04,,,
2020-04-05,,,
2020-04-06,86.49,81.16,2698260.0
2020-04-07,89.69,82.67,2855700.0
2020-04-08,86.22,83.56,760120.0
2020-04-09,86.49,83.38,1560610.0
2020-04-10,86.05,83.29,983120.0
2020-04-11,,,
2020-04-12,,,
2020-04-13,85.33,84.36,1411550.0
2020-04-14,85.78,84.0,631630.0
2020-04-15,85.33,84.36,1176850.0
2020-04-16,85.33,84.18,845580.0
2020-04-17,85.42,79.29,1191510.0
2020-04-18,,,
2020-04-19,,,
2020-04-20,85.69,84.36,1055020.0
2020-04-21,84.89,82.22,892270.0
2020-04-22,82.49,80.45,884070.0
2020-04-23,84.36,82.4,347420.0
2020-04-24,83.47,82.13,300240.0
2020-04-25,,,
2020-04-26,,,
2020-04-27,84.45,81.78,453720.0
2020-04-28,82.58,81.33,222920.0
2020-04-29,83.02,80.45,314400.0
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,82.22,80.0,259550.0
2020-05-05,82.67,81.6,274700.0
2020-05-06,84.45,82.22,773570.0
2020-05-07,85.33,83.56,617800.0
2020-05-08,88.89,85.42,1683960.0
2020-05-09,,,
2020-05-10,,,
2020-05-11,87.11,85.25,1358920.0
2020-05-12,86.58,84.45,770030.0
2020-05-13,85.33,81.33,2652530.0
2020-05-14,85.96,83.47,1002810.0
2020-05-15,86.67,85.16,327650.0
2020-05-16,,,
2020-05-17,,,
2020-05-18,86.22,84.89,229440.0
2020-05-19,86.58,85.33,729850.0
2020-05-20,86.22,85.42,254730.0
2020-05-21,87.11,86.13,674380.0
2020-05-22,87.11,85.69,292930.0
2020-05-23,,,
2020-05-24,,,
2020-05-25,86.31,85.33,216400.0
2020-05-26,86.67,85.69,360000.0
2020-05-27,87.02,85.78,591440.0
2020-05-28,86.67,85.6,314790.0
2020-05-29,86.67,85.87,493500.0
2020-05-30,,,
2020-05-31,,,
2020-06-01,86.4,85.78,481490.0
2020-06-02,86.4,85.78,501700.0
2020-06-03,86.05,84.89,466430.0
2020-06-04,86.05,85.33,550740.0
2020-06-05,85.51,84.45,525870.0
2020-06-06,,,
2020-06-07,,,
2020-06-08,86.76,84.62,482180.0
2020-06-09,86.22,85.42,318400.0
2020-06-10,85.51,84.8,488490.0
2020-06-11,85.51,82.67,761540.0
2020-06-12,82.22,79.91,875940.0
2020-06-13,,,
2020-06-14,,,
2020-06-15,82.67,79.11,791710.0
