time,high,low,volume
2020-01-01,,,
2020-01-02,78.2,77.07,352700.0
2020-01-03,78.73,78.2,625390.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,78.2,77.27,495910.0
2020-01-07,78.59,77.73,459520.0
2020-01-08,78.59,77.73,837710.0
2020-01-09,79.06,78.33,624130.0
2020-01-10,78.86,78.33,596280.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,78.73,77.67,412880.0
2020-01-14,78.13,77.47,335180.0
2020-01-15,78.0,77.54,681740.0
2020-01-16,78.4,77.54,545090.0
2020-01-17,78.46,77.93,375030.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,78.86,78.33,493600.0
2020-01-21,80.64,78.46,853940.0
2020-01-22,80.64,80.05,794440.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,79.26,76.87,1533720.0
2020-01-31,77.14,71.78,1915820.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,73.1,66.82,2289150.0
2020-02-04,72.77,68.87,1869040.0
2020-02-05,71.25,68.34,1545750.0
2020-02-06,71.85,70.06,2137020.0
2020-02-07,73.1,71.18,1523380.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,72.38,70.99,910510.0
2020-02-11,72.11,70.79,885960.0
2020-02-12,71.45,70.92,838170.0
2020-02-13,71.12,70.52,713560.0
2020-02-14,71.05,70.52,708080.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,71.18,70.66,623350.0
2020-02-18,71.32,69.66,1078500.0
2020-02-19,70.59,69.46,747510.0
2020-02-20,71.12,70.32,624620.0
2020-02-21,72.38,71.12,1484500.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,71.32,70.13,954600.0
2020-02-25,71.78,70.13,1200220.0
2020-02-26,70.59,69.46,1346630.0
2020-02-27,71.05,68.67,863890.0
2020-02-28,70.19,68.14,1437350.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,69.8,68.67,909240.0
2020-03-03,70.26,69.2,741380.0
2020-03-04,70.13,69.13,612800.0
2020-03-05,70.06,69.13,438020.0
2020-03-06,69.33,68.54,664920.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,67.81,64.17,2356790.0
2020-03-10,67.35,63.51,1761300.0
2020-03-11,69.46,65.63,2292410.0
2020-03-12,67.15,64.17,2431600.0
2020-03-13,66.55,62.98,2159130.0
2020-03-14,,,
2020-03-15,,,
2020-03-16,65.63,63.84,1087080.0
2020-03-17,63.77,62.85,1788240.0
2020-03-18,64.7,62.85,1322150.0
2020-03-19,62.19,58.88,2774560.0
2020-03-20,60.4,58.88,2316660.0
2020-03-21,,,
2020-03-22,,,
2020-03-23,58.95,55.37,2187710.0
2020-03-24,58.42,55.37,1739530.0
2020-03-25,60.93,59.61,2993020.0
2020-03-26,62.85,58.75,2556450.0
2020-03-27,63.05,60.86,2755950.0
2020-03-28,,,
2020-03-29,,,
2020-03-30,61.19,58.88,1559900.0
2020-03-31,61.79,59.54,1293290.0
2020-04-01,62.19,60.2,1155730.0
2020-04-02,,,
2020-04-03,63.18,62.19,1934430.0
2020-04-04,,,
2020-04-05,,,
2020-04-06,63.91,62.85,1840550.0
2020-04-07,65.49,63.38,2273090.0
2020-04-08,65.49,63.84,904920.0
2020-04-09,66.75,65.63,1220550.0
2020-04-10,66.16,64.9,1111470.0
2020-04-11,,,
2020-04-12,,,
2020-04-13,66.02,65.03,1127670.0
2020-04-14,65.96,65.3,1059560.0
2020-04-15,65.96,65.63,886130.0
2020-04-16,65.83,65.43,1155660.0
2020-04-17,66.22,65.49,1767310.0
2020-04-18,,,
2020-04-19,,,
2020-04-20,66.95,66.16,1471680.0
2020-04-21,66.16,63.38,2129360.0
2020-04-22,64.57,63.38,1085950.0
2020-04-23,65.23,63.44,1443180.0
2020-04-24,68.01,64.5,3624460.0
2020-04-25,,,
2020-04-26,,,
2020-04-27,70.46,68.01,1950560.0
2020-04-28,68.14,65.96,1401520.0
2020-04-29,66.09,65.49,1769090.0
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,65.49,64.17,1235970.0
2020-05-05,66.75,64.83,1163800.0
2020-05-06,67.15,65.96,1105020.0
2020-05-07,68.67,67.15,1583260.0
2020-05-08,71.18,68.8,3184170.0
2020-05-09,,,
2020-05-10,,,
2020-05-11,71.78,69.27,1792200.0
2020-05-12,75.68,71.05,2944650.0
2020-05-13,76.08,72.77,2507730.0
2020-05-14,75.35,74.43,1397750.0
2020-05-15,75.09,72.38,2320230.0
2020-05-16,,,
2020-05-17,,,
2020-05-18,73.96,72.11,898370.0
2020-05-19,75.68,74.29,1432400.0
2020-05-20,75.68,74.43,1199680.0
2020-05-21,76.08,75.09,1582090.0
2020-05-22,75.95,75.09,1083060.0
2020-05-23,,,
2020-05-24,,,
2020-05-25,77.8,75.48,1581860.0
2020-05-26,78.06,76.21,983170.0
2020-05-27,77.93,76.08,1108350.0
2020-05-28,76.74,75.95,1004500.0
2020-05-29,76.21,75.09,1203680.0
2020-05-30,,,
2020-05-31,,,
2020-06-01,77.4,76.15,1047020.0
2020-06-02,77.4,76.54,891910.0
2020-06-03,78.13,76.48,1322080.0
2020-06-04,78.0,77.4,735420.0
2020-06-05,78.86,77.2,1076470.0
2020-06-06,,,
2020-06-07,,,
2020-06-08,81.64,78.79,1419750.0
2020-06-09,83.36,81.44,1704320.0
2020-06-10,83.36,81.24,1242180.0
2020-06-11,82.7,80.05,1098260.0
2020-06-12,79.26,75.82,2394330.0
2020-06-13,,,
2020-06-14,,,
2020-06-15,79.98,74.1,2058870.0
2020-06-16,77.73,75.42,844740.0
2020-06-17,77.54,76.34,513570.0
2020-06-18,77.14,75.48,523160.0
2020-06-19,77.07,76.08,1251600.0
2020-06-20,,,
2020-06-21,,,
2020-06-22,76.68,75.95,867620.0
2020-06-23,77.01,76.48,1063470.0
2020-06-24,78.33,77.01,750960.0
2020-06-25,77.07,76.28,572770.0
2020-06-26,77.47,76.34,495750.0
2020-06-27,,,
2020-06-28,,,
2020-06-29,76.61,73.79,1519040.0
2020-06-30,76.07,75.0,797960.0
2020-07-01,77.07,75.06,450020.0
2020-07-02,77.01,75.73,720480.0
2020-07-03,76.54,75.6,729290.0
2020-07-04,,,
2020-07-05,,,
2020-07-06,78.15,76.61,1319980.0
2020-07-07,78.48,77.74,1024960.0
2020-07-08,77.74,77.41,551310.0
2020-07-09,78.21,77.41,1560410.0
2020-07-10,78.01,77.28,677180.0
2020-07-11,,,
2020-07-12,,,
2020-07-13,77.61,76.61,943850.0
2020-07-14,77.21,76.34,731170.0
2020-07-15,78.41,77.74,1015000.0
2020-07-16,78.75,77.88,1112460.0
2020-07-17,78.68,78.08,583510.0
