time,high,low,volume
2020-01-01,,,
2020-01-02,6.94,6.72,1721220.0
2020-01-03,7.02,6.82,1416280.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,6.82,6.69,1655410.0
2020-01-07,6.82,6.71,1298520.0
2020-01-08,6.82,6.67,2417600.0
2020-01-09,6.97,6.79,3379270.0
2020-01-10,7.14,6.96,3102860.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,7.09,6.91,1278670.0
2020-01-14,7.14,6.92,2049630.0
2020-01-15,7.27,7.09,2024320.0
2020-01-16,7.36,7.26,2814400.0
2020-01-17,7.43,7.27,2388200.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,7.54,7.29,2478120.0
2020-01-21,7.91,7.58,5349510.0
2020-01-22,7.98,7.74,2728060.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,7.84,7.49,4277050.0
2020-01-31,7.74,7.53,4664680.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,7.86,7.12,4531780.0
2020-02-04,7.86,7.54,4567030.0
2020-02-05,8.25,7.96,6401650.0
2020-02-06,8.55,7.9,8466820.0
2020-02-07,8.6,8.35,5941140.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,8.48,8.25,4827980.0
2020-02-11,8.52,8.23,4954840.0
2020-02-12,9.0,8.62,6169610.0
2020-02-13,8.92,8.5,3721290.0
2020-02-14,9.22,8.92,5754040.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,9.15,8.97,2799180.0
2020-02-18,9.25,9.02,2659640.0
2020-02-19,9.35,9.22,2916270.0
2020-02-20,9.57,9.37,3989640.0
2020-02-21,9.82,9.45,4755490.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,9.49,8.98,8083080.0
2020-02-25,9.49,8.78,6045630.0
2020-02-26,9.69,9.29,4144870.0
2020-02-27,9.57,9.34,2905090.0
2020-02-28,9.37,8.98,4992410.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,9.15,8.98,3124310.0
2020-03-03,9.25,9.09,2436430.0
2020-03-04,9.15,8.9,2990200.0
2020-03-05,9.54,9.12,4983410.0
2020-03-06,9.29,9.12,2153680.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,8.8,8.58,3853010.0
2020-03-10,8.88,8.23,4663130.0
2020-03-11,8.85,8.11,6458650.0
2020-03-12,7.81,7.56,3085820.0
2020-03-13,7.73,7.04,5358840.0
2020-03-14,,,
2020-03-15,,,
2020-03-16,7.46,7.02,5035890.0
2020-03-17,7.27,6.54,6240600.0
2020-03-18,7.33,7.01,3264600.0
2020-03-19,7.04,6.74,3825580.0
2020-03-20,7.16,6.91,2835760.0
2020-03-21,,,
2020-03-22,,,
2020-03-23,6.77,6.57,3494590.0
2020-03-24,6.76,6.24,5084480.0
2020-03-25,6.87,6.6,2774030.0
2020-03-26,6.76,6.5,3019180.0
2020-03-27,6.59,6.3,4778990.0
2020-03-28,,,
2020-03-29,,,
2020-03-30,6.17,6.1,853200.0
2020-03-31,6.19,5.68,4500760.0
2020-04-01,5.87,5.36,3686810.0
2020-04-02,,,
2020-04-03,5.98,5.77,3237360.0
2020-04-04,,,
2020-04-05,,,
2020-04-06,6.29,6.0,5262310.0
2020-04-07,6.52,6.25,4306110.0
2020-04-08,6.42,6.24,3738500.0
2020-04-09,6.47,6.29,5977360.0
2020-04-10,6.3,6.1,3400010.0
2020-04-11,,,
2020-04-12,,,
2020-04-13,6.69,6.37,4611900.0
2020-04-14,7.14,6.77,8107960.0
2020-04-15,7.58,7.21,4994760.0
2020-04-16,7.29,7.04,3778190.0
2020-04-17,7.44,7.09,5009510.0
2020-04-18,,,
2020-04-19,,,
2020-04-20,7.27,6.97,3363240.0
2020-04-21,7.01,6.55,5653730.0
2020-04-22,6.99,6.37,5779550.0
2020-04-23,6.94,6.67,3739790.0
2020-04-24,6.87,6.55,3362450.0
2020-04-25,,,
2020-04-26,,,
2020-04-27,7.34,7.02,8928000.0
2020-04-28,7.17,6.87,2453910.0
2020-04-29,7.07,6.87,4670320.0
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,6.84,6.54,3624730.0
2020-05-05,6.86,6.71,2323990.0
2020-05-06,6.99,6.81,2650480.0
2020-05-07,7.17,6.97,3376550.0
2020-05-08,7.66,7.21,14723540.0
2020-05-09,,,
2020-05-10,,,
2020-05-11,8.1,7.78,8508370.0
2020-05-12,8.11,7.83,6834010.0
2020-05-13,8.11,7.73,7305760.0
2020-05-14,8.01,7.83,5055950.0
2020-05-15,8.03,7.86,5062250.0
2020-05-16,,,
2020-05-17,,,
2020-05-18,8.41,7.93,11745840.0
2020-05-19,8.72,8.36,7262590.0
2020-05-20,8.35,8.2,4798130.0
2020-05-21,8.3,8.1,6693720.0
2020-05-22,8.3,8.08,4840870.0
2020-05-23,,,
2020-05-24,,,
2020-05-25,8.13,7.91,5174030.0
2020-05-26,8.3,8.06,5056700.0
2020-05-27,8.2,7.71,7919070.0
2020-05-28,7.88,7.63,6455000.0
2020-05-29,7.84,7.69,3696450.0
2020-05-30,,,
2020-05-31,,,
2020-06-01,8.23,7.84,8948760.0
2020-06-02,8.33,8.03,5977010.0
2020-06-03,8.18,8.03,3922100.0
2020-06-04,8.25,8.03,5967540.0
2020-06-05,8.21,7.98,5507250.0
2020-06-06,,,
2020-06-07,,,
2020-06-08,8.38,8.18,8059810.0
2020-06-09,8.2,8.05,4906760.0
2020-06-10,8.21,7.88,5601590.0
2020-06-11,8.15,7.74,7897200.0
2020-06-12,7.81,7.41,6053520.0
2020-06-13,,,
2020-06-14,,,
2020-06-15,7.74,7.24,5816080.0
2020-06-16,7.54,7.34,3095910.0
2020-06-17,7.56,7.38,2786240.0
2020-06-18,7.56,7.41,1526680.0
2020-06-19,7.66,7.49,2450770.0
2020-06-20,,,
2020-06-21,,,
2020-06-22,7.71,7.54,2070530.0
2020-06-23,7.66,7.51,2034230.0
2020-06-24,7.64,7.44,2522610.0
2020-06-25,7.48,7.31,2302810.0
2020-06-26,7.51,7.31,1451880.0
2020-06-27,,,
2020-06-28,,,
2020-06-29,7.27,6.99,4380250.0
2020-06-30,7.17,6.79,2998040.0
2020-07-01,7.24,6.81,2251530.0
2020-07-02,7.27,7.11,1662300.0
2020-07-03,7.21,7.12,938470.0
2020-07-04,,,
2020-07-05,,,
2020-07-06,7.41,7.14,2037820.0
2020-07-07,7.48,7.26,2029580.0
2020-07-08,7.36,7.21,1670440.0
2020-07-09,7.69,7.39,4798980.0
2020-07-10,7.73,7.56,2240110.0
2020-07-11,,,
2020-07-12,,,
2020-07-13,7.69,7.44,2564770.0
2020-07-14,7.51,7.34,3437110.0
2020-07-15,7.64,7.54,2201940.0
2020-07-16,7.58,7.51,1943770.0
2020-07-17,7.78,7.53,5084760.0
2020-07-18,,,
2020-07-19,,,
2020-07-20,7.81,7.61,2940660.0
2020-07-21,7.66,7.54,1824020.0
2020-07-22,7.68,7.49,2218260.0
2020-07-23,7.54,7.41,2381770.0
2020-07-24,7.51,7.02,6808310.0
2020-07-25,,,
2020-07-26,,,
2020-07-27,7.02,6.62,6466340.0
2020-07-28,6.94,6.62,4735520.0
2020-07-29,6.79,6.5,3449970.0
2020-07-30,6.94,6.71,2303200.0
2020-07-31,6.86,6.6,2482510.0
2020-08-01,,,
2020-08-02,,,
2020-08-03,7.02,6.74,2830540.0
2020-08-04,7.24,7.02,3447430.0
2020-08-05,7.21,7.01,3364040.0
2020-08-06,7.27,7.11,3045480.0
2020-08-07,7.21,7.09,2371520.0
2020-08-08,,,
2020-08-09,,,
2020-08-10,7.27,7.16,3389710.0
2020-08-11,7.24,7.14,2037520.0
2020-08-12,7.29,7.19,3717070.0
2020-08-13,7.36,7.27,2332480.0
2020-08-14,7.34,7.14,3519020.0
2020-08-15,,,
2020-08-16,,,
2020-08-17,7.21,7.06,2622220.0
2020-08-18,7.22,7.14,1946050.0
2020-08-19,7.22,7.14,1674410.0
2020-08-20,7.26,7.14,3565530.0
2020-08-21,7.36,7.17,6115290.0
2020-08-22,,,
2020-08-23,,,
2020-08-24,7.78,7.48,7218650.0
2020-08-25,7.9,7.66,6281220.0
2020-08-26,7.78,7.64,4447250.0
2020-08-27,7.76,7.64,3895810.0
2020-08-28,8.03,7.74,7066080.0
2020-08-29,,,
2020-08-30,,,
2020-08-31,8.03,7.79,3366690.0
2020-09-01,7.88,7.64,5219730.0
2020-09-02,,,
2020-09-03,8.01,7.83,4243550.0
2020-09-04,7.95,7.76,4108490.0
2020-09-05,,,
2020-09-06,,,
2020-09-07,7.93,7.54,5894450.0
2020-09-08,7.71,7.54,4753470.0
2020-09-09,7.71,7.53,4942330.0
2020-09-10,7.73,7.64,3480600.0
2020-09-11,7.69,7.58,2477680.0
2020-09-12,,,
2020-09-13,,,
2020-09-14,7.84,7.68,3269680.0
2020-09-15,7.79,7.71,4132960.0
2020-09-16,7.74,7.68,2661850.0
2020-09-17,7.81,7.66,3498770.0
2020-09-18,7.79,7.68,3514770.0
2020-09-19,,,
2020-09-20,,,
2020-09-21,7.91,7.79,4397490.0
2020-09-22,7.88,7.74,3202400.0
2020-09-23,8.01,7.83,8698840.0
2020-09-24,7.98,7.83,4039760.0
2020-09-25,7.88,7.76,3183400.0
2020-09-26,,,
2020-09-27,,,
2020-09-28,8.01,7.81,8487830.0
2020-09-29,8.21,7.95,11580400.0
2020-09-30,7.98,7.86,5209330.0
2020-10-01,8.15,7.96,5282040.0
2020-10-02,8.11,7.79,7817380.0
2020-10-03,,,
2020-10-04,,,
2020-10-05,8.16,8.01,7056130.0
2020-10-06,8.18,8.03,6138720.0
2020-10-07,8.11,7.96,6265650.0
2020-10-08,8.01,7.78,7614850.0
2020-10-09,7.91,7.78,3496030.0
2020-10-10,,,
2020-10-11,,,
2020-10-12,8.0,7.78,3568850.0
2020-10-13,7.9,7.79,2640580.0
2020-10-14,8.1,7.84,10165900.0
2020-10-15,8.11,7.98,8354960.0
2020-10-16,8.4,8.01,11567220.0
2020-10-17,,,
2020-10-18,,,
2020-10-19,8.33,8.16,7119110.0
2020-10-20,8.36,8.08,12978810.0
2020-10-21,8.82,8.3,16059760.0
2020-10-22,8.58,8.38,8544500.0
2020-10-23,8.62,8.47,7225270.0
2020-10-24,,,
