time,high,low,volume
2020-01-01,,,
2020-01-02,34.45,33.8,581190.0
2020-01-03,34.65,34.1,1272890.0
2020-01-04,,,
2020-01-05,,,
2020-01-06,34.5,33.5,682790.0
2020-01-07,33.95,33.6,356780.0
2020-01-08,33.5,32.6,919210.0
2020-01-09,34.0,33.3,1054800.0
2020-01-10,34.1,33.55,543040.0
2020-01-11,,,
2020-01-12,,,
2020-01-13,34.0,33.6,417280.0
2020-01-14,34.0,33.75,562730.0
2020-01-15,33.8,33.2,549700.0
2020-01-16,33.7,32.75,979630.0
2020-01-17,33.15,32.5,872560.0
2020-01-18,,,
2020-01-19,,,
2020-01-20,32.45,31.85,1070940.0
2020-01-21,32.7,32.0,908080.0
2020-01-22,32.8,32.3,932500.0
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,32.1,30.7,2002220.0
2020-01-31,31.3,30.05,2322570.0
2020-02-01,,,
2020-02-02,,,
2020-02-03,30.3,27.95,1977600.0
2020-02-04,30.15,28.7,2239180.0
2020-02-05,30.2,28.8,2036300.0
2020-02-06,30.95,28.8,3660600.0
2020-02-07,32.25,30.8,2423940.0
2020-02-08,,,
2020-02-09,,,
2020-02-10,31.5,31.0,611640.0
2020-02-11,31.65,30.5,2573890.0
2020-02-12,31.85,31.25,982950.0
2020-02-13,31.45,31.0,862410.0
2020-02-14,32.2,31.3,1388080.0
2020-02-15,,,
2020-02-16,,,
2020-02-17,31.8,31.2,562430.0
2020-02-18,31.5,30.5,1019810.0
2020-02-19,30.55,29.8,1404440.0
2020-02-20,30.9,30.3,1626950.0
2020-02-21,30.9,30.7,697440.0
2020-02-22,,,
2020-02-23,,,
2020-02-24,30.4,29.1,1391850.0
2020-02-25,29.45,28.8,1014900.0
2020-02-26,29.5,28.75,1028780.0
2020-02-27,29.1,28.75,1254940.0
2020-02-28,28.8,28.05,1824830.0
2020-02-29,,,
2020-03-01,,,
2020-03-02,28.95,28.2,929150.0
2020-03-03,29.05,28.45,1767430.0
2020-03-04,28.5,28.1,966120.0
2020-03-05,29.0,28.6,859920.0
2020-03-06,28.7,28.2,805500.0
2020-03-07,,,
2020-03-08,,,
2020-03-09,27.5,26.55,2164550.0
2020-03-10,26.95,25.15,3031510.0
2020-03-11,26.4,24.6,4211430.0
2020-03-12,24.95,24.2,2976280.0
2020-03-13,24.3,22.55,4742820.0
2020-03-14,,,
2020-03-15,,,
2020-03-16,24.5,22.55,1752440.0
2020-03-17,22.7,22.05,2066890.0
2020-03-18,22.3,21.25,1935850.0
2020-03-19,22.0,20.7,2175340.0
2020-03-20,21.9,20.4,2758320.0
2020-03-21,,,
2020-03-22,,,
2020-03-23,19.45,19.0,401880.0
2020-03-24,18.0,17.7,6890560.0
2020-03-25,18.9,16.9,4747820.0
2020-03-26,20.2,18.0,4553180.0
2020-03-27,20.4,18.6,5480540.0
2020-03-28,,,
2020-03-29,,,
2020-03-30,19.25,19.0,2275750.0
2020-03-31,20.3,18.55,3565970.0
2020-04-01,19.7,18.1,930870.0
2020-04-02,,,
2020-04-03,19.7,18.9,2522290.0
2020-04-04,,,
2020-04-05,,,
2020-04-06,20.85,19.85,4515950.0
2020-04-07,22.3,21.1,3715760.0
2020-04-08,22.5,21.3,3361700.0
2020-04-09,24.05,22.3,4761190.0
2020-04-10,24.0,23.0,2027970.0
2020-04-11,,,
2020-04-12,,,
2020-04-13,25.45,23.7,2382640.0
2020-04-14,27.2,24.8,3054710.0
2020-04-15,26.7,25.65,2686900.0
2020-04-16,26.5,25.35,2924260.0
2020-04-17,27.2,26.2,4348970.0
2020-04-18,,,
2020-04-19,,,
2020-04-20,26.5,25.8,2326300.0
2020-04-21,25.9,24.4,2804830.0
2020-04-22,25.0,22.8,5280770.0
2020-04-23,24.65,23.6,3095130.0
2020-04-24,24.4,23.5,1639110.0
2020-04-25,,,
2020-04-26,,,
2020-04-27,24.2,23.45,3418720.0
2020-04-28,23.75,22.3,3988030.0
2020-04-29,23.35,22.6,2661700.0
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,23.75,22.8,1757720.0
2020-05-05,23.85,23.5,2480820.0
2020-05-06,25.0,23.55,5201410.0
