time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02,20.79,62.15,36.03,38.99,27.25,83.11,69.43,21.25,16.21,25.59,13.96,16.17,69.3,42.96,33.35,58.61,9.58,21.22,25.92,28.15,15.64,14.19,55.92,43.75,16.06,44.95,108.3,64.84,18.23,23.55
2024-01-03,21.0,60.77,36.44,38.89,27.6,82.76,69.16,21.7,16.01,25.27,13.91,16.34,68.9,43.11,33.59,58.06,9.71,21.08,25.72,28.5,15.81,14.15,56.52,43.4,16.22,44.15,107.7,65.31,18.14,23.3
2024-01-04,21.55,60.68,37.19,39.47,29.5,84.39,70.43,21.55,16.45,25.55,14.43,17.4,69.1,43.45,33.97,58.44,10.14,21.04,26.7,29.55,16.32,14.76,57.66,43.7,16.86,44.4,108.0,65.79,18.66,23.6
2024-01-05,21.38,60.08,37.15,39.28,29.15,83.62,70.43,21.75,16.41,25.36,14.38,17.44,68.3,43.75,34.07,58.25,10.01,21.04,26.66,29.45,16.2,14.72,57.66,43.55,16.7,44.2,108.0,65.6,18.47,23.55
2024-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-08,21.63,59.89,38.43,39.43,29.8,84.31,70.8,21.8,16.61,25.68,14.47,17.74,68.0,43.95,34.21,58.16,10.14,20.86,26.93,29.65,16.56,14.76,58.06,43.85,16.94,44.75,107.8,65.41,18.42,24.1
2024-01-09,21.29,59.3,38.84,39.52,30.15,83.45,70.07,21.45,16.49,25.41,14.3,17.78,67.4,42.86,34.07,58.16,10.14,20.69,26.82,29.5,16.73,14.63,58.8,43.3,16.94,44.4,106.7,64.84,18.37,23.8
2024-01-10,21.42,58.71,39.5,40.01,31.15,83.11,69.52,21.4,16.57,25.23,14.3,17.99,67.5,42.56,33.64,57.51,10.53,20.69,26.58,29.8,16.83,15.08,59.87,43.0,17.06,44.05,106.7,64.46,18.75,23.5
