time,high,low
2024-01-01,,
2024-01-02,62.15,60.97
2024-01-03,60.77,59.69
2024-01-04,60.68,59.89
2024-01-05,60.08,59.1
2024-01-06,,
2024-01-07,,
2024-01-08,59.89,59.1
2024-01-09,59.3,58.51
2024-01-10,58.71,58.02
2024-01-11,60.68,57.92
2024-01-12,59.49,58.21
2024-01-13,,
2024-01-14,,
2024-01-15,59.59,58.31
2024-01-16,58.71,58.02
2024-01-17,59.1,58.31
2024-01-18,59.4,58.51
2024-01-19,60.28,59.4
2024-01-20,,
2024-01-21,,
2024-01-22,60.77,59.59
2024-01-23,61.86,60.38
2024-01-24,62.06,60.58
2024-01-25,60.77,59.89
2024-01-26,61.07,60.28
2024-01-27,,
2024-01-28,,
2024-01-29,61.86,60.77
2024-01-30,64.52,60.77
2024-01-31,64.52,62.84
2024-02-01,65.5,63.34
2024-02-02,65.01,63.53
2024-02-03,,
2024-02-04,,
2024-02-05,63.83,62.55
2024-02-06,64.03,62.25
2024-02-07,63.73,62.55
2024-02-08,,
2024-02-09,,
2024-02-10,,
2024-02-11,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,63.53,62.25
2024-02-16,63.73,62.55
2024-02-17,,
2024-02-18,,
2024-02-19,64.03,62.06
2024-02-20,63.83,62.74
2024-02-21,65.01,62.55
2024-02-22,66.29,64.12
2024-02-23,64.62,62.35
2024-02-24,,
2024-02-25,,
2024-02-26,62.84,61.76
2024-02-27,62.84,61.96
2024-02-28,63.34,61.96
2024-02-29,63.63,62.25
2024-03-01,63.04,62.15
2024-03-02,,
2024-03-03,,
2024-03-04,65.4,62.84
2024-03-05,65.4,63.63
2024-03-06,66.68,64.03
2024-03-07,67.96,65.21
2024-03-08,69.94,68.26
2024-03-09,,
2024-03-10,,
2024-03-11,68.85,65.7
2024-03-12,67.87,65.21
2024-03-13,68.65,66.98
2024-03-14,69.64,66.78
2024-03-15,67.87,66.29
2024-03-16,,
2024-03-17,,
2024-03-18,67.08,62.06
2024-03-19,64.32,63.34
2024-03-20,64.32,62.84
2024-03-21,65.11,64.22
2024-03-22,65.11,64.12
2024-03-23,,
2024-03-24,,
2024-03-25,65.21,63.83
2024-03-26,64.42,63.83
2024-03-27,64.71,63.93
2024-03-28,65.01,64.12
2024-03-29,64.52,63.93
2024-03-30,,
2024-03-31,,
2024-04-01,64.42,63.14
2024-04-02,64.42,62.74
2024-04-03,64.32,63.34
2024-04-04,63.43,62.55
2024-04-05,62.35,61.66
2024-04-06,,
2024-04-07,,
2024-04-08,61.76,61.07
2024-04-09,60.97,60.08
2024-04-10,61.37,60.28
2024-04-11,60.08,59.4
2024-04-12,60.08,58.8
2024-04-13,,
2024-04-14,,
2024-04-15,60.28,55.95
2024-04-16,56.14,53.98
2024-04-17,55.36,53.49
2024-04-18,,
2024-04-19,52.5,49.94
2024-04-20,,
2024-04-21,,
2024-04-22,52.11,50.92
2024-04-23,52.2,49.64
2024-04-24,51.81,50.14
2024-04-25,52.5,51.42
2024-04-26,52.01,51.22
2024-04-27,,
2024-04-28,,
2024-04-29,,
2024-04-30,,
2024-05-01,,
2024-05-02,53.19,51.71
2024-05-03,53.68,52.7
2024-05-04,,
2024-05-05,,
2024-05-06,54.37,53.09
2024-05-07,54.77,53.78
2024-05-08,53.98,52.8
2024-05-09,57.13,53.58
2024-05-10,57.72,55.65
2024-05-11,,
2024-05-12,,
2024-05-13,57.13,54.96
2024-05-14,57.82,55.46
2024-05-15,58.12,57.33
2024-05-16,58.02,57.23
2024-05-17,58.61,57.23
2024-05-18,,
2024-05-19,,
2024-05-20,61.96,59.69
2024-05-21,64.12,62.15
2024-05-22,63.93,61.66
2024-05-23,63.43,61.56
2024-05-24,63.43,59.89
2024-05-25,,
2024-05-26,,
2024-05-27,62.06,59.59
2024-05-28,61.96,61.07
2024-05-29,61.86,60.58
2024-05-30,61.27,59.2
2024-05-31,60.87,59.69
2024-06-01,,
2024-06-02,,
2024-06-03,62.55,60.48
2024-06-04,62.25,61.27
2024-06-05,64.32,61.27
