time,high,low
2024-01-01,,
2024-01-02,27.25,27.05
2024-01-03,27.6,27.05
2024-01-04,29.5,27.55
2024-01-05,29.15,28.7
2024-01-06,,
2024-01-07,,
2024-01-08,29.8,29.05
2024-01-09,30.15,29.3
2024-01-10,31.15,29.85
2024-01-11,31.5,30.4
2024-01-12,31.85,30.6
2024-01-13,,
2024-01-14,,
2024-01-15,31.7,31.0
2024-01-16,31.4,30.8
2024-01-17,31.5,31.0
2024-01-18,31.6,30.9
2024-01-19,32.6,31.45
2024-01-20,,
2024-01-21,,
2024-01-22,32.65,31.95
2024-01-23,32.8,31.9
2024-01-24,32.4,31.9
2024-01-25,32.1,31.6
2024-01-26,32.25,31.95
2024-01-27,,
2024-01-28,,
2024-01-29,32.75,32.0
2024-01-30,32.45,32.05
2024-01-31,32.5,31.3
2024-02-01,32.1,31.45
2024-02-02,32.15,31.55
2024-02-03,,
2024-02-04,,
2024-02-05,33.9,31.75
2024-02-06,34.45,33.85
2024-02-07,36.3,34.4
2024-02-08,,
2024-02-09,,
2024-02-10,,
2024-02-11,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,35.8,35.0
2024-02-16,35.3,34.65
2024-02-17,,
2024-02-18,,
2024-02-19,35.5,34.5
2024-02-20,35.6,34.7
2024-02-21,36.2,35.05
2024-02-22,35.75,35.25
2024-02-23,37.15,35.0
2024-02-24,,
2024-02-25,,
2024-02-26,35.85,35.1
2024-02-27,36.3,35.45
2024-02-28,36.45,35.65
2024-02-29,36.3,35.2
2024-03-01,35.7,35.0
2024-03-02,,
2024-03-03,,
2024-03-04,36.9,35.15
2024-03-05,36.45,35.75
2024-03-06,36.95,35.65
2024-03-07,36.05,35.45
2024-03-08,35.85,34.5
2024-03-09,,
2024-03-10,,
2024-03-11,34.75,33.9
2024-03-12,34.6,33.95
2024-03-13,35.15,34.2
2024-03-14,35.2,34.2
2024-03-15,35.4,33.95
2024-03-16,,
2024-03-17,,
2024-03-18,35.0,32.35
2024-03-19,33.8,32.95
2024-03-20,34.5,33.0
2024-03-21,34.9,34.05
2024-03-22,36.4,35.0
2024-03-23,,
2024-03-24,,
2024-03-25,35.7,34.5
2024-03-26,35.4,34.65
2024-03-27,35.5,34.8
2024-03-28,35.9,35.3
2024-03-29,35.75,35.15
2024-03-30,,
2024-03-31,,
2024-04-01,35.4,34.75
2024-04-02,35.2,34.1
2024-04-03,35.0,33.9
2024-04-04,34.3,33.5
2024-04-05,33.6,33.1
2024-04-06,,
2024-04-07,,
2024-04-08,34.25,32.95
2024-04-09,34.25,33.55
2024-04-10,34.35,33.65
2024-04-11,33.7,33.25
2024-04-12,36.05,33.65
2024-04-13,,
2024-04-14,,
2024-04-15,36.3,33.4
2024-04-16,34.05,32.8
2024-04-17,34.25,32.65
2024-04-18,,
2024-04-19,32.75,31.25
2024-04-20,,
2024-04-21,,
2024-04-22,32.4,31.7
2024-04-23,32.5,31.15
2024-04-24,32.95,31.7
2024-04-25,33.0,32.25
2024-04-26,33.15,32.15
2024-04-27,,
2024-04-28,,
2024-04-29,,
2024-04-30,,
2024-05-01,,
2024-05-02,32.8,32.0
2024-05-03,32.85,32.15
2024-05-04,,
2024-05-05,,
2024-05-06,33.25,32.35
2024-05-07,33.25,32.8
2024-05-08,33.0,32.35
2024-05-09,33.4,32.45
2024-05-10,33.15,32.55
2024-05-11,,
2024-05-12,,
2024-05-13,32.85,32.25
2024-05-14,32.7,32.25
2024-05-15,33.0,32.25
2024-05-16,33.7,32.55
2024-05-17,33.4,32.9
2024-05-18,,
2024-05-19,,
2024-05-20,33.9,33.05
2024-05-21,34.1,33.35
2024-05-22,33.9,32.7
2024-05-23,33.25,32.6
2024-05-24,33.9,32.3
2024-05-25,,
2024-05-26,,
2024-05-27,32.7,32.1
2024-05-28,32.5,31.7
2024-05-29,32.2,31.65
2024-05-30,32.1,31.35
2024-05-31,32.2,31.8
2024-06-01,,
2024-06-02,,
2024-06-03,32.8,32.05
2024-06-04,32.95,32.45
2024-06-05,32.95,32.4
2024-06-06,32.7,32.35
2024-06-07,32.9,32.65
2024-06-08,,
2024-06-09,,
2024-06-10,33.95,32.9
2024-06-11,33.95,33.15
2024-06-12,33.65,32.85
2024-06-13,34.15,33.5
2024-06-14,33.95,32.8
2024-06-15,,
2024-06-16,,
2024-06-17,32.95,32.3
2024-06-18,32.85,32.35
2024-06-19,32.55,31.95
2024-06-20,32.55,32.0
2024-06-21,32.45,32.15
2024-06-22,,
2024-06-23,,
2024-06-24,32.35,31.55
2024-06-25,31.9,31.45
2024-06-26,31.65,31.05
2024-06-27,31.4,31.15
2024-06-28,31.45,31.0
2024-06-29,,
2024-06-30,,
2024-07-01,32.0,30.85
2024-07-02,32.35,31.9
2024-07-03,32.5,32.05
2024-07-04,32.5,32.05
2024-07-05,32.85,32.1
2024-07-06,,
2024-07-07,,
2024-07-08,32.75,32.3
2024-07-09,32.8,32.4
2024-07-10,32.85,32.4
2024-07-11,32.6,32.2
2024-07-12,32.3,31.9
2024-07-13,,
2024-07-14,,
2024-07-15,32.2,32.0
2024-07-16,32.85,32.1
2024-07-17,33.8,32.55
2024-07-18,33.45,32.75
2024-07-19,33.8,32.75
2024-07-20,,
2024-07-21,,
2024-07-22,34.1,33.15
2024-07-23,33.7,32.05
2024-07-24,32.5,31.7
2024-07-25,32.0,31.4
2024-07-26,32.15,31.55
2024-07-27,,
2024-07-28,,
2024-07-29,32.35,32.1
2024-07-30,32.1,31.8
2024-07-31,32.3,31.8
2024-08-01,32.45,31.3
2024-08-02,31.55,30.25
2024-08-03,,
2024-08-04,,
2024-08-05,30.95,30.0
2024-08-06,30.6,29.95
2024-08-07,30.65,30.05
2024-08-08,30.45,30.05
2024-08-09,31.5,30.35
2024-08-10,,
2024-08-11,,
2024-08-12,31.75,31.2
2024-08-13,31.85,31.35
2024-08-14,32.0,31.6
2024-08-15,31.95,31.45
2024-08-16,32.5,31.8
2024-08-17,,
2024-08-18,,
2024-08-19,32.7,32.35
2024-08-20,33.35,32.6
2024-08-21,34.2,33.0
2024-08-22,35.0,34.3
2024-08-23,34.95,34.15
2024-08-24,,
2024-08-25,,
2024-08-26,35.0,34.4
2024-08-27,35.0,34.25
2024-08-28,34.95,34.5
2024-08-29,35.35,34.5
2024-08-30,35.1,34.65
2024-08-31,,
2024-09-01,,
2024-09-02,,
2024-09-03,,
2024-09-04,35.3,34.45
2024-09-05,35.5,34.6
2024-09-06,35.5,34.6
2024-09-07,,
2024-09-08,,
2024-09-09,35.45,35.0
2024-09-10,35.55,34.8
2024-09-11,35.1,34.45
2024-09-12,35.25,34.7
2024-09-13,35.0,34.65
2024-09-14,,
2024-09-15,,
2024-09-16,34.95,34.5
2024-09-17,34.95,34.35
2024-09-18,36.3,34.8
2024-09-19,36.2,35.6
2024-09-20,36.65,35.95
2024-09-21,,
2024-09-22,,
2024-09-23,36.3,35.65
2024-09-24,36.2,35.65
2024-09-25,36.6,36.0
2024-09-26,36.45,35.45
2024-09-27,37.55,36.45
2024-09-28,,
2024-09-29,,
2024-09-30,37.2,36.65
2024-10-01,37.1,36.35
2024-10-02,36.45,35.95
2024-10-03,36.75,35.9
2024-10-04,36.15,35.6
2024-10-05,,
2024-10-06,,
2024-10-07,35.95,35.5
2024-10-08,36.15,35.55
2024-10-09,36.6,35.7
2024-10-10,36.65,36.05
2024-10-11,36.3,35.8
2024-10-12,,
2024-10-13,,
2024-10-14,36.45,36.05
2024-10-15,36.8,36.1
2024-10-16,36.45,35.9
2024-10-17,36.55,36.05
2024-10-18,36.9,36.25
2024-10-19,,
2024-10-20,,
2024-10-21,36.35,35.5
2024-10-22,35.65,34.8
2024-10-23,35.15,34.75
2024-10-24,35.15,34.05
2024-10-25,34.8,34.5
2024-10-26,,
2024-10-27,,
2024-10-28,34.8,34.55
2024-10-29,34.95,34.7
2024-10-30,35.0,34.5
2024-10-31,35.75,34.8
2024-11-01,35.95,35.5
2024-11-02,,
2024-11-03,,
2024-11-04,35.95,35.35
2024-11-05,35.7,35.05
2024-11-06,35.9,35.1
2024-11-07,36.15,35.6
2024-11-08,36.0,34.8
2024-11-09,,
2024-11-10,,
2024-11-11,35.0,33.85
2024-11-12,34.85,34.2
2024-11-13,34.5,33.95
2024-11-14,34.3,33.6
2024-11-15,33.6,32.8
2024-11-16,,
2024-11-17,,
2024-11-18,33.65,32.7
2024-11-19,33.6,33.0
2024-11-20,34.0,33.05
2024-11-21,35.0,33.6
2024-11-22,35.2,34.7
2024-11-23,,
2024-11-24,,
2024-11-25,35.1,34.7
2024-11-26,35.35,34.9
2024-11-27,35.3,34.95
2024-11-28,35.4,34.95
2024-11-29,35.85,35.25
2024-11-30,,
2024-12-01,,
2024-12-02,36.0,35.7
2024-12-03,35.95,35.45
2024-12-04,35.7,35.3
2024-12-05,36.5,35.05
2024-12-06,36.65,36.25
2024-12-07,,
2024-12-08,,
2024-12-09,36.5,36.05
2024-12-10,36.5,36.1
2024-12-11,36.6,36.2
2024-12-12,36.8,36.2
2024-12-13,36.5,36.1
2024-12-14,,
2024-12-15,,
2024-12-16,36.7,36.2
2024-12-17,36.35,36.05
2024-12-18,36.4,35.8
2024-12-19,36.2,35.6
2024-12-20,36.15,35.7
2024-12-21,,
2024-12-22,,
2024-12-23,36.3,36.1
2024-12-24,36.2,35.9
2024-12-25,38.7,36.2
2024-12-26,38.4,38.0
2024-12-27,38.8,38.0
2024-12-28,,
2024-12-29,,
2024-12-30,38.9,38.35
2024-12-31,38.7,37.8
