time,high,low
2024-01-01,,
2024-01-02,69.43,68.7
2024-01-03,69.16,68.61
2024-01-04,70.43,69.16
2024-01-05,70.43,70.07
2024-01-06,,
2024-01-07,,
2024-01-08,70.8,69.61
2024-01-09,70.07,69.07
2024-01-10,69.52,68.7
2024-01-11,69.25,68.7
2024-01-12,69.25,68.25
2024-01-13,,
2024-01-14,,
2024-01-15,69.07,68.7
2024-01-16,68.89,68.25
2024-01-17,69.16,68.34
2024-01-18,68.8,68.43
2024-01-19,69.8,68.61
2024-01-20,,
2024-01-21,,
2024-01-22,69.98,69.34
2024-01-23,69.8,69.16
2024-01-24,69.52,68.89
2024-01-25,69.25,68.61
2024-01-26,69.61,68.43
2024-01-27,,
2024-01-28,,
2024-01-29,69.8,68.52
2024-01-30,69.71,69.25
2024-01-31,69.61,68.61
2024-02-01,68.89,68.52
2024-02-02,69.07,68.43
2024-02-03,,
2024-02-04,,
2024-02-05,68.98,68.34
2024-02-06,69.07,68.61
2024-02-07,68.98,68.7
2024-02-08,,
2024-02-09,,
2024-02-10,,
2024-02-11,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,69.16,68.89
2024-02-16,70.07,68.89
2024-02-17,,
2024-02-18,,
2024-02-19,72.34,70.07
2024-02-20,72.53,71.16
2024-02-21,71.53,70.53
2024-02-22,71.62,70.53
2024-02-23,71.25,69.52
2024-02-24,,
2024-02-25,,
2024-02-26,69.89,68.98
2024-02-27,70.8,69.34
2024-02-28,72.07,70.71
2024-02-29,71.44,70.25
2024-03-01,70.8,70.34
2024-03-02,,
2024-03-03,,
2024-03-04,71.44,70.71
2024-03-05,72.07,70.8
2024-03-06,74.26,72.25
2024-03-07,73.44,72.44
2024-03-08,74.26,72.34
2024-03-09,,
2024-03-10,,
2024-03-11,72.34,70.8
2024-03-12,71.44,70.71
2024-03-13,72.07,70.98
2024-03-14,74.07,72.25
2024-03-15,75.44,73.44
2024-03-16,,
2024-03-17,,
2024-03-18,75.44,72.71
2024-03-19,73.71,72.53
2024-03-20,73.89,72.44
2024-03-21,74.53,73.26
2024-03-22,74.17,73.16
2024-03-23,,
2024-03-24,,
2024-03-25,74.07,72.89
2024-03-26,73.62,72.8
2024-03-27,74.35,72.89
2024-03-28,73.44,72.71
2024-03-29,73.89,72.98
2024-03-30,,
2024-03-31,,
2024-04-01,73.44,72.62
2024-04-02,75.17,72.71
2024-04-03,75.89,74.44
2024-04-04,74.98,73.8
2024-04-05,75.71,73.16
2024-04-06,,
2024-04-07,,
2024-04-08,73.71,72.62
2024-04-09,73.26,72.34
2024-04-10,73.26,72.07
2024-04-11,72.16,71.53
2024-04-12,72.62,71.71
2024-04-13,,
2024-04-14,,
2024-04-15,73.35,67.52
2024-04-16,69.98,68.25
2024-04-17,69.61,68.34
2024-04-18,,
2024-04-19,69.34,67.98
2024-04-20,,
2024-04-21,,
2024-04-22,68.8,68.16
2024-04-23,68.7,67.34
2024-04-24,68.25,67.61
2024-04-25,68.16,67.34
2024-04-26,67.52,66.89
2024-04-27,,
2024-04-28,,
2024-04-29,,
2024-04-30,,
2024-05-01,,
2024-05-02,67.61,66.43
2024-05-03,67.89,67.25
2024-05-04,,
2024-05-05,,
2024-05-06,68.43,67.8
