time,high,low
2024-01-01,,
2024-01-02,21.25,20.71
2024-01-03,21.7,20.61
2024-01-04,21.55,21.2
2024-01-05,21.75,21.25
2024-01-06,,
2024-01-07,,
2024-01-08,21.8,21.3
2024-01-09,21.45,20.81
2024-01-10,21.4,20.91
2024-01-11,21.45,20.96
2024-01-12,21.0,20.11
2024-01-13,,
2024-01-14,,
2024-01-15,20.71,20.21
2024-01-16,20.76,20.31
2024-01-17,21.25,20.71
2024-01-18,21.2,20.76
2024-01-19,21.45,20.91
2024-01-20,,
2024-01-21,,
2024-01-22,21.25,20.66
2024-01-23,20.86,20.61
2024-01-24,21.1,20.66
2024-01-25,20.81,20.61
2024-01-26,21.25,20.76
2024-01-27,,
2024-01-28,,
2024-01-29,22.49,21.4
2024-01-30,23.09,22.05
2024-01-31,22.89,21.8
2024-02-01,23.73,22.24
2024-02-02,24.67,24.03
2024-02-03,,
2024-02-04,,
2024-02-05,25.12,24.08
2024-02-06,25.31,24.57
2024-02-07,25.17,24.72
2024-02-08,,
2024-02-09,,
2024-02-10,,
2024-02-11,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,25.31,24.52
2024-02-16,26.4,24.62
2024-02-17,,
2024-02-18,,
2024-02-19,27.94,26.55
2024-02-20,27.94,26.11
2024-02-21,28.24,27.45
2024-02-22,28.04,27.49
2024-02-23,28.04,26.55
2024-02-24,,
2024-02-25,,
2024-02-26,28.83,27.05
2024-02-27,29.13,28.39
2024-02-28,29.62,28.19
2024-02-29,28.63,27.89
2024-03-01,28.98,27.74
2024-03-02,,
2024-03-03,,
2024-03-04,30.47,29.18
2024-03-05,29.67,29.08
2024-03-06,29.38,28.54
2024-03-07,28.93,28.39
2024-03-08,29.53,28.24
2024-03-09,,
2024-03-10,,
2024-03-11,30.07,28.73
2024-03-12,31.31,29.23
2024-03-13,32.7,31.51
2024-03-14,32.85,31.51
2024-03-15,34.28,32.1
2024-03-16,,
2024-03-17,,
2024-03-18,35.47,31.9
2024-03-19,33.59,31.61
2024-03-20,32.7,31.9
2024-03-21,33.09,32.3
2024-03-22,33.39,32.45
2024-03-23,,
2024-03-24,,
2024-03-25,32.89,31.31
2024-03-26,33.74,31.56
2024-03-27,33.59,32.7
2024-03-28,33.29,32.7
2024-03-29,33.39,32.6
2024-03-30,,
2024-03-31,,
2024-04-01,33.04,32.35
2024-04-02,34.93,32.45
2024-04-03,34.88,33.93
2024-04-04,34.08,32.8
2024-04-05,32.7,31.21
2024-04-06,,
2024-04-07,,
2024-04-08,32.1,31.01
2024-04-09,32.05,31.31
2024-04-10,32.2,31.31
2024-04-11,32.0,30.86
2024-04-12,31.95,31.36
2024-04-13,,
2024-04-14,,
2024-04-15,32.94,29.53
2024-04-16,30.07,29.03
2024-04-17,30.42,28.39
2024-04-18,,
2024-04-19,29.13,27.25
2024-04-20,,
2024-04-21,,
2024-04-22,28.78,27.94
2024-04-23,28.63,26.8
2024-04-24,29.23,27.59
2024-04-25,29.72,28.88
2024-04-26,30.17,28.78
2024-04-27,,
2024-04-28,,
2024-04-29,,
2024-04-30,,
2024-05-01,,
2024-05-02,30.07,28.98
2024-05-03,30.02,29.08
2024-05-04,,
2024-05-05,,
2024-05-06,30.96,29.23
2024-05-07,31.46,30.52
2024-05-08,31.85,30.22
2024-05-09,32.4,31.31
2024-05-10,31.61,30.91
2024-05-11,,
2024-05-12,,
2024-05-13,31.95,31.01
2024-05-14,32.55,31.8
2024-05-15,32.55,32.0
2024-05-16,33.09,32.2
2024-05-17,33.84,32.0
2024-05-18,,
2024-05-19,,
2024-05-20,34.18,33.19
2024-05-21,33.44,32.6
2024-05-22,33.64,32.3
2024-05-23,33.14,32.1
2024-05-24,34.68,32.5
2024-05-25,,
2024-05-26,,
2024-05-27,35.62,33.24
2024-05-28,35.27,34.63
2024-05-29,36.56,34.48
2024-05-30,35.92,33.74
2024-05-31,35.87,34.83
2024-06-01,,
2024-06-02,,
2024-06-03,35.37,34.68
2024-06-04,35.42,34.63
2024-06-05,35.97,34.78
2024-06-06,35.12,34.28
2024-06-07,34.88,34.48
2024-06-08,,
2024-06-09,,
2024-06-10,36.41,34.93
2024-06-11,36.11,34.93
2024-06-12,35.47,34.73
2024-06-13,35.62,34.98
2024-06-14,35.37,32.7
2024-06-15,,
2024-06-16,,
2024-06-17,33.59,32.7
2024-06-18,33.98,33.19
2024-06-19,33.69,33.09
2024-06-20,33.69,33.09
2024-06-21,34.53,33.69
2024-06-22,,
2024-06-23,,
2024-06-24,34.08,32.7
2024-06-25,33.39,32.7
2024-06-26,35.62,33.29
2024-06-27,36.46,34.98
2024-06-28,35.72,33.19
2024-06-29,,
2024-06-30,,
2024-07-01,34.13,33.29
2024-07-02,34.48,33.84
2024-07-03,34.78,34.08
2024-07-04,35.22,33.84
2024-07-05,35.12,34.28
2024-07-06,,
2024-07-07,,
2024-07-08,36.16,34.78
2024-07-09,38.15,36.81
2024-07-10,37.95,36.66
2024-07-11,37.45,36.31
2024-07-12,37.85,36.36
2024-07-13,,
2024-07-14,,
2024-07-15,38.64,37.25
2024-07-16,38.39,37.45
2024-07-17,37.85,35.22
2024-07-18,36.11,34.48
2024-07-19,35.72,34.13
2024-07-20,,
2024-07-21,,
2024-07-22,33.79,32.3
2024-07-23,33.14,30.32
2024-07-24,32.4,29.82
2024-07-25,32.75,31.76
2024-07-26,33.54,32.6
2024-07-27,,
2024-07-28,,
2024-07-29,33.19,32.8
2024-07-30,33.49,32.2
2024-07-31,33.44,32.55
2024-08-01,32.94,30.67
2024-08-02,32.1,30.42
2024-08-03,,
2024-08-04,,
2024-08-05,32.0,29.82
2024-08-06,31.46,30.12
2024-08-07,32.35,31.01
2024-08-08,32.5,31.36
2024-08-09,32.5,31.95
2024-08-10,,
2024-08-11,,
2024-08-12,33.14,32.1
2024-08-13,32.94,32.45
2024-08-14,33.49,32.6
2024-08-15,32.99,32.3
2024-08-16,34.53,32.65
2024-08-17,,
2024-08-18,,
2024-08-19,34.63,34.18
2024-08-20,35.27,34.13
2024-08-21,34.98,34.28
2024-08-22,35.27,34.38
2024-08-23,35.12,34.28
2024-08-24,,
2024-08-25,,
2024-08-26,35.87,34.73
2024-08-27,34.78,34.38
2024-08-28,35.77,34.73
2024-08-29,35.57,34.98
2024-08-30,35.47,34.93
2024-08-31,,
2024-09-01,,
2024-09-02,,
2024-09-03,,
2024-09-04,34.63,33.09
2024-09-05,34.58,33.54
2024-09-06,34.28,33.34
2024-09-07,,
2024-09-08,,
2024-09-09,34.38,33.69
2024-09-10,34.53,33.59
2024-09-11,34.23,33.29
2024-09-12,34.83,33.98
2024-09-13,34.48,34.08
2024-09-14,,
2024-09-15,,
2024-09-16,34.88,34.28
2024-09-17,35.27,34.43
2024-09-18,36.02,35.22
2024-09-19,35.47,34.88
2024-09-20,35.97,35.17
2024-09-21,,
2024-09-22,,
2024-09-23,35.37,34.98
2024-09-24,35.97,35.07
2024-09-25,36.11,35.62
2024-09-26,36.56,35.77
2024-09-27,36.31,35.57
2024-09-28,,
2024-09-29,,
2024-09-30,35.77,35.27
2024-10-01,36.31,35.57
2024-10-02,36.26,35.57
2024-10-03,36.11,34.83
2024-10-04,35.42,34.58
2024-10-05,,
2024-10-06,,
2024-10-07,34.88,34.23
2024-10-08,35.02,34.48
2024-10-09,35.32,34.93
2024-10-10,35.82,35.32
2024-10-11,35.57,34.93
2024-10-12,,
2024-10-13,,
2024-10-14,36.11,35.27
2024-10-15,36.11,35.27
2024-10-16,35.77,35.27
2024-10-17,35.77,35.02
2024-10-18,36.41,35.47
2024-10-19,,
2024-10-20,,
2024-10-21,35.67,34.88
2024-10-22,35.02,32.45
2024-10-23,33.54,32.75
2024-10-24,33.49,32.4
2024-10-25,32.8,31.9
2024-10-26,,
2024-10-27,,
2024-10-28,32.4,31.8
2024-10-29,32.75,32.35
2024-10-30,32.89,32.3
2024-10-31,32.7,32.35
2024-11-01,32.4,31.76
2024-11-02,,
2024-11-03,,
2024-11-04,32.2,31.16
2024-11-05,32.05,31.36
2024-11-06,33.54,32.1
2024-11-07,33.69,32.8
2024-11-08,33.29,32.55
2024-11-09,,
2024-11-10,,
2024-11-11,33.09,32.4
2024-11-12,33.39,32.6
2024-11-13,32.65,32.05
2024-11-14,32.5,31.35
2024-11-15,31.8,30.8
2024-11-16,,
