time,high,low
2024-01-01,,
2024-01-02,13.96,13.53
2024-01-03,13.91,13.7
2024-01-04,14.43,13.87
2024-01-05,14.38,14.08
2024-01-06,,
2024-01-07,,
2024-01-08,14.47,14.17
2024-01-09,14.3,13.96
2024-01-10,14.3,14.04
2024-01-11,14.56,14.08
2024-01-12,14.26,13.83
2024-01-13,,
2024-01-14,,
2024-01-15,14.6,14.21
2024-01-16,14.51,14.17
2024-01-17,14.9,14.3
2024-01-18,15.07,14.51
2024-01-19,15.07,14.81
2024-01-20,,
2024-01-21,,
2024-01-22,15.03,14.64
2024-01-23,14.9,14.73
2024-01-24,14.9,14.68
2024-01-25,14.94,14.77
2024-01-26,15.03,14.9
2024-01-27,,
2024-01-28,,
2024-01-29,15.41,14.86
2024-01-30,15.5,15.11
2024-01-31,15.33,15.07
2024-02-01,15.71,15.11
2024-02-02,15.58,15.24
2024-02-03,,
2024-02-04,,
2024-02-05,15.71,15.15
2024-02-06,15.8,15.41
2024-02-07,15.63,15.33
2024-02-08,,
2024-02-09,,
2024-02-10,,
2024-02-11,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,15.75,15.54
2024-02-16,15.63,15.24
2024-02-17,,
2024-02-18,,
2024-02-19,15.37,15.11
2024-02-20,15.28,15.15
2024-02-21,15.37,15.15
2024-02-22,15.33,15.11
2024-02-23,15.45,14.64
2024-02-24,,
2024-02-25,,
2024-02-26,14.86,14.68
2024-02-27,14.98,14.73
2024-02-28,14.94,14.81
2024-02-29,14.94,14.64
2024-03-01,14.77,14.56
2024-03-02,,
2024-03-03,,
2024-03-04,14.86,14.6
2024-03-05,15.11,14.77
2024-03-06,15.84,15.24
2024-03-07,15.33,15.15
2024-03-08,15.24,14.6
2024-03-09,,
2024-03-10,,
2024-03-11,14.73,14.13
2024-03-12,14.47,14.13
2024-03-13,14.6,14.38
2024-03-14,14.64,14.34
2024-03-15,14.34,14.13
2024-03-16,,
2024-03-17,,
2024-03-18,14.26,13.53
2024-03-19,13.91,13.7
2024-03-20,14.56,13.83
2024-03-21,14.64,14.34
2024-03-22,14.64,14.38
2024-03-23,,
2024-03-24,,
2024-03-25,14.47,14.17
2024-03-26,14.47,14.13
2024-03-27,14.56,14.34
2024-03-28,14.51,14.38
2024-03-29,15.03,14.47
2024-03-30,,
2024-03-31,,
2024-04-01,15.03,14.73
2024-04-02,14.98,14.6
2024-04-03,15.03,14.77
2024-04-04,14.86,14.6
2024-04-05,14.77,14.43
2024-04-06,,
2024-04-07,,
2024-04-08,14.98,14.64
2024-04-09,15.88,14.86
2024-04-10,16.27,16.01
2024-04-11,16.27,15.67
2024-04-12,16.74,15.75
2024-04-13,,
2024-04-14,,
2024-04-15,17.42,15.58
2024-04-16,16.74,16.01
2024-04-17,17.21,16.4
2024-04-18,,
2024-04-19,17.21,16.01
2024-04-20,,
2024-04-21,,
2024-04-22,17.42,16.87
2024-04-23,17.64,17.25
2024-04-24,18.02,17.55
2024-04-25,18.19,17.64
2024-04-26,17.89,17.08
2024-04-27,,
2024-04-28,,
2024-04-29,,
2024-04-30,,
2024-05-01,,
2024-05-02,17.98,17.55
2024-05-03,17.81,17.12
2024-05-04,,
2024-05-05,,
2024-05-06,17.59,17.3
2024-05-07,17.85,17.3
2024-05-08,17.89,17.38
2024-05-09,17.55,17.04
2024-05-10,17.38,17.12
2024-05-11,,
2024-05-12,,
2024-05-13,17.25,17.0
2024-05-14,17.25,17.0
2024-05-15,17.94,17.21
2024-05-16,18.84,17.77
2024-05-17,19.95,19.01
2024-05-18,,
2024-05-19,,
2024-05-20,20.38,19.52
2024-05-21,19.86,19.35
2024-05-22,20.38,19.48
2024-05-23,20.08,19.61
2024-05-24,20.51,19.01
2024-05-25,,
2024-05-26,,
2024-05-27,20.12,19.82
2024-05-28,21.45,20.16
2024-05-29,22.6,21.4
2024-05-30,22.69,21.83
2024-05-31,22.52,21.96
2024-06-01,,
2024-06-02,,
2024-06-03,22.43,22.0
2024-06-04,22.22,21.88
2024-06-05,22.18,21.53
2024-06-06,22.95,21.92
2024-06-07,22.77,22.18
2024-06-08,,
2024-06-09,,
2024-06-10,22.73,22.3
2024-06-11,22.69,22.0
2024-06-12,22.65,21.75
2024-06-13,22.77,22.35
2024-06-14,23.85,22.82
2024-06-15,,
2024-06-16,,
2024-06-17,23.63,23.03
2024-06-18,23.37,22.86
2024-06-19,23.25,22.77
2024-06-20,23.8,23.07
2024-06-21,24.66,23.2
2024-06-22,,
2024-06-23,,
2024-06-24,25.09,23.55
