time,high,low
2024-01-01,,
2024-01-02,16.17,15.87
2024-01-03,16.34,15.91
2024-01-04,17.4,16.29
2024-01-05,17.44,17.1
2024-01-06,,
2024-01-07,,
2024-01-08,17.74,17.36
2024-01-09,17.78,17.44
2024-01-10,17.99,17.57
2024-01-11,17.95,17.44
2024-01-12,18.34,17.36
2024-01-13,,
2024-01-14,,
2024-01-15,18.63,18.21
2024-01-16,18.29,17.99
2024-01-17,18.55,18.12
2024-01-18,18.51,18.12
2024-01-19,18.85,18.46
2024-01-20,,
2024-01-21,,
2024-01-22,19.19,18.72
2024-01-23,19.02,18.63
2024-01-24,18.85,18.55
2024-01-25,18.68,18.46
2024-01-26,18.85,18.63
2024-01-27,,
2024-01-28,,
2024-01-29,19.1,18.72
2024-01-30,18.93,18.59
2024-01-31,18.93,18.42
2024-02-01,18.68,18.38
2024-02-02,18.72,18.51
2024-02-03,,
2024-02-04,,
2024-02-05,19.7,18.51
2024-02-06,19.7,19.53
2024-02-07,20.16,19.65
2024-02-08,,
2024-02-09,,
2024-02-10,,
2024-02-11,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,20.59,20.04
2024-02-16,20.5,20.16
2024-02-17,,
2024-02-18,,
2024-02-19,20.5,20.08
2024-02-20,20.5,20.12
2024-02-21,20.59,20.16
2024-02-22,20.5,20.29
2024-02-23,21.02,20.21
2024-02-24,,
2024-02-25,,
2024-02-26,20.46,20.12
2024-02-27,20.8,20.29
2024-02-28,20.89,20.55
2024-02-29,20.89,20.38
2024-03-01,20.55,20.25
2024-03-02,,
2024-03-03,,
2024-03-04,20.8,20.21
2024-03-05,20.97,20.5
2024-03-06,21.4,20.72
2024-03-07,21.1,20.72
2024-03-08,20.85,20.08
2024-03-09,,
2024-03-10,,
2024-03-11,20.08,19.4
2024-03-12,19.78,19.36
2024-03-13,20.29,19.65
2024-03-14,20.38,19.91
2024-03-15,20.29,19.7
2024-03-16,,
2024-03-17,,
2024-03-18,20.25,19.06
2024-03-19,19.87,19.53
2024-03-20,20.76,19.65
2024-03-21,21.06,20.5
2024-03-22,21.87,21.14
2024-03-23,,
2024-03-24,,
2024-03-25,21.57,20.93
2024-03-26,21.48,20.93
2024-03-27,21.61,21.27
2024-03-28,21.87,21.44
2024-03-29,21.74,21.4
2024-03-30,,
2024-03-31,,
2024-04-01,21.48,21.02
2024-04-02,21.1,20.59
2024-04-03,21.1,20.59
2024-04-04,20.63,20.25
2024-04-05,20.21,19.82
2024-04-06,,
2024-04-07,,
2024-04-08,20.25,19.7
2024-04-09,20.42,19.91
2024-04-10,20.72,20.25
2024-04-11,20.29,19.91
2024-04-12,21.02,20.21
2024-04-13,,
2024-04-14,,
2024-04-15,21.31,19.57
2024-04-16,20.33,19.61
2024-04-17,20.46,19.65
2024-04-18,,
2024-04-19,19.82,19.23
2024-04-20,,
2024-04-21,,
2024-04-22,19.61,19.19
2024-04-23,19.31,18.51
2024-04-24,19.27,18.68
2024-04-25,19.23,18.85
2024-04-26,19.1,18.72
2024-04-27,,
2024-04-28,,
2024-04-29,,
2024-04-30,,
2024-05-01,,
2024-05-02,19.19,18.89
2024-05-03,19.4,18.97
2024-05-04,,
2024-05-05,,
2024-05-06,19.53,19.19
2024-05-07,19.61,19.27
2024-05-08,19.31,18.97
2024-05-09,19.4,19.02
2024-05-10,19.48,19.14
2024-05-11,,
2024-05-12,,
2024-05-13,19.57,19.23
2024-05-14,19.74,19.31
2024-05-15,19.61,19.4
2024-05-16,20.04,19.57
2024-05-17,19.95,19.7
2024-05-18,,
2024-05-19,,
2024-05-20,20.08,19.91
2024-05-21,20.08,19.78
2024-05-22,20.12,19.74
2024-05-23,19.87,19.57
2024-05-24,20.26,19.26
2024-05-25,,
2024-05-26,,
2024-05-27,19.65,19.44
2024-05-28,19.78,19.44
2024-05-29,19.7,19.39
2024-05-30,19.26,18.87
2024-05-31,19.13,18.91
2024-06-01,,
2024-06-02,,
2024-06-03,19.83,19.09
2024-06-04,19.83,19.57
2024-06-05,19.74,19.31
2024-06-06,19.65,19.39
2024-06-07,19.7,19.39
2024-06-08,,
2024-06-09,,
2024-06-10,19.91,19.57
2024-06-11,19.74,19.52
2024-06-12,20.09,19.48
2024-06-13,20.61,20.13
2024-06-14,20.87,20.09
2024-06-15,,
2024-06-16,,
2024-06-17,20.35,19.96
2024-06-18,20.48,20.22
2024-06-19,20.39,20.04
2024-06-20,20.39,20.13
2024-06-21,20.31,20.09
2024-06-22,,
2024-06-23,,
2024-06-24,20.17,19.61
2024-06-25,19.87,19.57
2024-06-26,19.7,19.44
2024-06-27,19.65,19.48
2024-06-28,19.61,19.31
2024-06-29,,
2024-06-30,,
2024-07-01,19.52,19.26
2024-07-02,19.87,19.52
2024-07-03,19.96,19.65
2024-07-04,20.0,19.65
2024-07-05,19.87,19.65
2024-07-06,,
2024-07-07,,
2024-07-08,19.96,19.65
2024-07-09,20.13,19.7
2024-07-10,20.52,20.13
2024-07-11,20.44,20.09
2024-07-12,20.17,19.91
2024-07-13,,
2024-07-14,,
2024-07-15,20.17,19.96
2024-07-16,20.83,20.04
2024-07-17,21.87,20.48
2024-07-18,21.74,20.96
2024-07-19,22.31,21.57
2024-07-20,,
2024-07-21,,
2024-07-22,22.39,21.44
2024-07-23,22.04,20.7
2024-07-24,21.09,20.57
2024-07-25,20.96,20.44
2024-07-26,21.17,20.74
2024-07-27,,
2024-07-28,,
2024-07-29,21.26,20.96
2024-07-30,21.31,20.74
2024-07-31,21.65,21.04
2024-08-01,21.35,20.22
2024-08-02,20.7,20.0
2024-08-03,,
2024-08-04,,
2024-08-05,20.48,19.83
2024-08-06,20.44,20.0
2024-08-07,20.44,20.17
2024-08-08,20.44,20.0
2024-08-09,20.44,20.17
2024-08-10,,
2024-08-11,,
2024-08-12,20.61,20.31
2024-08-13,20.65,20.35
2024-08-14,20.65,20.35
2024-08-15,20.48,20.22
2024-08-16,20.96,20.31
2024-08-17,,
2024-08-18,,
2024-08-19,21.09,20.83
2024-08-20,21.31,20.91
2024-08-21,21.57,20.91
2024-08-22,21.65,21.22
2024-08-23,21.44,21.13
