time,high,low
2024-01-01,,
2024-01-02,25.92,25.37
2024-01-03,25.72,25.22
2024-01-04,26.7,25.76
2024-01-05,26.66,26.23
2024-01-06,,
2024-01-07,,
2024-01-08,26.93,26.54
2024-01-09,26.82,26.47
2024-01-10,26.58,26.04
2024-01-11,26.86,26.23
2024-01-12,26.54,26.04
2024-01-13,,
2024-01-14,,
2024-01-15,26.62,25.76
2024-01-16,26.15,25.57
2024-01-17,26.93,26.11
2024-01-18,26.58,26.27
2024-01-19,26.62,26.08
2024-01-20,,
2024-01-21,,
2024-01-22,26.54,26.08
2024-01-23,26.62,26.27
2024-01-24,26.86,26.31
2024-01-25,26.7,26.43
2024-01-26,26.82,26.5
2024-01-27,,
2024-01-28,,
2024-01-29,26.86,26.43
2024-01-30,26.66,26.39
2024-01-31,27.44,26.7
2024-02-01,27.21,26.86
2024-02-02,27.68,27.17
2024-02-03,,
2024-02-04,,
2024-02-05,27.44,26.93
2024-02-06,27.68,27.25
2024-02-07,27.6,27.25
2024-02-08,,
2024-02-09,,
2024-02-10,,
2024-02-11,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,27.71,27.32
2024-02-16,27.64,27.25
2024-02-17,,
2024-02-18,,
2024-02-19,27.48,26.86
2024-02-20,27.95,27.52
2024-02-21,27.56,27.09
2024-02-22,27.29,26.97
2024-02-23,27.25,26.58
2024-02-24,,
2024-02-25,,
2024-02-26,27.6,26.58
2024-02-27,28.46,27.4
2024-02-28,28.3,27.83
2024-02-29,29.43,28.34
2024-03-01,29.43,28.89
2024-03-02,,
2024-03-03,,
2024-03-04,29.55,28.89
2024-03-05,29.24,28.61
2024-03-06,29.51,28.65
2024-03-07,29.63,28.77
2024-03-08,29.74,28.73
2024-03-09,,
2024-03-10,,
2024-03-11,29.0,28.26
2024-03-12,28.57,28.14
2024-03-13,29.74,28.34
2024-03-14,30.45,29.51
2024-03-15,29.59,28.96
2024-03-16,,
2024-03-17,,
2024-03-18,29.67,27.79
2024-03-19,28.89,28.22
2024-03-20,29.04,28.3
2024-03-21,29.67,29.28
2024-03-22,30.02,29.35
2024-03-23,,
2024-03-24,,
2024-03-25,29.9,29.12
2024-03-26,29.82,29.0
2024-03-27,30.06,29.59
2024-03-28,30.64,30.29
2024-03-29,30.53,30.06
2024-03-30,,
2024-03-31,,
2024-04-01,30.6,29.55
2024-04-02,30.45,29.67
2024-04-03,30.6,29.67
2024-04-04,29.82,29.39
2024-04-05,29.12,28.73
2024-04-06,,
2024-04-07,,
2024-04-08,28.89,28.61
2024-04-09,29.28,28.65
2024-04-10,29.35,28.85
2024-04-11,29.2,28.53
2024-04-12,29.51,28.92
2024-04-13,,
2024-04-14,,
2024-04-15,29.39,27.29
2024-04-16,27.56,26.62
2024-04-17,27.71,26.86
2024-04-18,,
2024-04-19,27.17,25.8
2024-04-20,,
2024-04-21,,
2024-04-22,27.71,26.5
2024-04-23,27.56,26.78
2024-04-24,28.07,27.25
2024-04-25,27.83,27.4
2024-04-26,27.6,27.09
2024-04-27,,
2024-04-28,,
2024-04-29,,
2024-04-30,,
2024-05-01,,
2024-05-02,27.56,26.78
2024-05-03,27.56,27.01
2024-05-04,,
2024-05-05,,
2024-05-06,28.14,27.29
2024-05-07,28.11,27.64
2024-05-08,28.03,27.4
2024-05-09,28.03,27.36
2024-05-10,27.71,27.32
2024-05-11,,
2024-05-12,,
2024-05-13,28.03,27.52
2024-05-14,28.03,27.6
2024-05-15,28.34,27.71
2024-05-16,28.42,28.14
2024-05-17,28.57,28.07
2024-05-18,,
2024-05-19,,
2024-05-20,28.96,28.5
2024-05-21,28.73,28.34
2024-05-22,29.16,28.42
2024-05-23,28.65,27.99
2024-05-24,28.46,27.17
2024-05-25,,
2024-05-26,,
2024-05-27,27.71,27.17
2024-05-28,27.79,27.44
2024-05-29,28.03,27.4
2024-05-30,27.36,26.78
2024-05-31,27.32,27.01
2024-06-01,,
2024-06-02,,
2024-06-03,27.79,27.32
2024-06-04,28.03,27.6
2024-06-05,27.95,27.64
2024-06-06,27.83,27.48
2024-06-07,27.83,27.56
2024-06-08,,
2024-06-09,,
2024-06-10,27.95,27.6
2024-06-11,27.95,27.52
2024-06-12,28.57,27.95
2024-06-13,28.81,28.38
2024-06-14,29.04,28.18
2024-06-15,,
2024-06-16,,
2024-06-17,28.3,27.91
2024-06-18,28.34,27.99
2024-06-19,28.34,27.95
2024-06-20,28.34,27.64
2024-06-21,28.11,27.71
2024-06-22,,
2024-06-23,,
2024-06-24,27.71,26.7
2024-06-25,27.21,26.86
2024-06-26,27.05,26.23
2024-06-27,26.97,26.62
2024-06-28,26.9,26.35
2024-06-29,,
2024-06-30,,
2024-07-01,26.62,26.11
2024-07-02,26.82,26.47
2024-07-03,27.01,26.82
2024-07-04,27.17,26.78
2024-07-05,27.05,26.66
2024-07-06,,
2024-07-07,,
2024-07-08,27.36,26.86
2024-07-09,27.25,26.78
2024-07-10,27.13,26.82
2024-07-11,27.44,26.9
2024-07-12,27.25,26.9
2024-07-13,,
2024-07-14,,
2024-07-15,27.09,26.78
2024-07-16,27.32,26.82
2024-07-17,27.29,26.5
2024-07-18,26.86,26.39
2024-07-19,27.48,26.93
2024-07-20,,
2024-07-21,,
2024-07-22,27.36,26.66
2024-07-23,27.13,26.43
2024-07-24,26.47,24.94
2024-07-25,25.49,24.83
2024-07-26,25.22,24.9
2024-07-27,,
2024-07-28,,
2024-07-29,25.41,25.14
2024-07-30,25.29,24.9
2024-07-31,25.22,24.75
2024-08-01,25.06,23.42
2024-08-02,24.47,23.23
2024-08-03,,
2024-08-04,,
2024-08-05,24.05,23.11
2024-08-06,24.2,23.15
2024-08-07,24.12,23.62
2024-08-08,23.97,23.34
2024-08-09,24.67,23.66
2024-08-10,,
2024-08-11,,
2024-08-12,24.98,24.36
2024-08-13,24.94,24.4
2024-08-14,24.87,24.44
2024-08-15,24.63,24.05
2024-08-16,25.53,24.32
2024-08-17,,
2024-08-18,,
2024-08-19,25.76,25.29
2024-08-20,25.72,25.22
2024-08-21,25.8,25.33
2024-08-22,25.96,25.53
2024-08-23,26.47,25.57
2024-08-24,,
2024-08-25,,
2024-08-26,26.78,26.23
2024-08-27,26.47,26.08
2024-08-28,26.74,25.88
2024-08-29,26.7,26.35
2024-08-30,26.54,26.27
2024-08-31,,
2024-09-01,,
2024-09-02,,
2024-09-03,,
2024-09-04,26.11,25.76
2024-09-05,26.35,25.69
2024-09-06,26.08,25.61
2024-09-07,,
2024-09-08,,
2024-09-09,26.04,25.65
2024-09-10,26.04,24.98
2024-09-11,25.45,24.87
2024-09-12,25.57,25.18
2024-09-13,25.53,25.06
2024-09-14,,
2024-09-15,,
2024-09-16,25.49,25.02
2024-09-17,25.53,25.02
2024-09-18,26.35,25.61
2024-09-19,26.47,26.19
2024-09-20,26.43,26.08
2024-09-21,,
2024-09-22,,
2024-09-23,26.95,26.45
2024-09-24,26.65,26.4
2024-09-25,27.6,26.7
2024-09-26,27.7,27.35
2024-09-27,27.75,27.4
2024-09-28,,
2024-09-29,,
2024-09-30,28.15,27.25
2024-10-01,28.35,27.8
2024-10-02,27.8,27.5
2024-10-03,27.95,27.35
2024-10-04,27.8,27.3
2024-10-05,,
2024-10-06,,
2024-10-07,27.6,27.25
2024-10-08,27.9,27.35
2024-10-09,27.6,27.1
2024-10-10,27.8,27.35
2024-10-11,27.65,27.35
2024-10-12,,
2024-10-13,,
2024-10-14,28.0,27.5
2024-10-15,27.9,27.25
2024-10-16,27.45,27.05
2024-10-17,27.45,26.95
2024-10-18,27.75,27.35
2024-10-19,,
2024-10-20,,
2024-10-21,27.4,26.9
2024-10-22,27.2,26.7
2024-10-23,27.0,26.7
2024-10-24,27.1,26.8
2024-10-25,26.9,26.7
2024-10-26,,
2024-10-27,,
2024-10-28,27.0,26.65
2024-10-29,27.0,26.7
2024-10-30,26.85,26.2
2024-10-31,26.6,26.3
2024-11-01,26.5,26.05
2024-11-02,,
2024-11-03,,
2024-11-04,26.55,25.9
2024-11-05,26.45,26.15
2024-11-06,26.6,26.2
2024-11-07,26.7,26.35
2024-11-08,26.45,26.05
2024-11-09,,
2024-11-10,,
2024-11-11,26.1,25.55
2024-11-12,26.15,25.55
2024-11-13,25.7,25.25
2024-11-14,25.45,24.65
2024-11-15,24.7,23.8
2024-11-16,,
2024-11-17,,
2024-11-18,24.6,23.8
2024-11-19,24.5,23.8
2024-11-20,24.7,23.75
2024-11-21,24.65,24.05
2024-11-22,24.6,24.25
2024-11-23,,
2024-11-24,,
2024-11-25,24.5,24.2
2024-11-26,24.9,24.5
2024-11-27,24.7,24.25
2024-11-28,24.55,24.25
2024-11-29,24.65,24.2
2024-11-30,,
2024-12-01,,
2024-12-02,24.75,24.3
2024-12-03,24.5,24.25
2024-12-04,24.3,24.0
2024-12-05,25.7,23.65
2024-12-06,26.45,25.8
2024-12-07,,
2024-12-08,,
2024-12-09,26.4,26.0
2024-12-10,26.4,26.0
2024-12-11,26.4,25.95
2024-12-12,26.45,26.0
2024-12-13,26.0,25.7
2024-12-14,,
2024-12-15,,
2024-12-16,26.2,25.75
2024-12-17,26.15,25.85
2024-12-18,26.2,25.8
2024-12-19,26.2,25.45
2024-12-20,26.25,25.9
2024-12-21,,
2024-12-22,,
2024-12-23,26.3,25.85
2024-12-24,25.95,25.5
2024-12-25,26.75,25.9
2024-12-26,26.6,26.35
2024-12-27,26.7,26.3
2024-12-28,,
2024-12-29,,
2024-12-30,26.9,26.45
2024-12-31,26.45,26.05
