time,high,low
2024-01-01,,
2024-01-02,28.15,27.75
2024-01-03,28.5,27.6
2024-01-04,29.55,28.5
2024-01-05,29.45,28.85
2024-01-06,,
2024-01-07,,
2024-01-08,29.65,29.0
2024-01-09,29.5,29.1
2024-01-10,29.8,29.1
2024-01-11,29.95,29.2
2024-01-12,30.15,29.1
2024-01-13,,
2024-01-14,,
2024-01-15,30.25,29.7
2024-01-16,29.9,29.6
2024-01-17,30.05,29.7
2024-01-18,30.25,29.65
2024-01-19,30.3,29.95
2024-01-20,,
2024-01-21,,
2024-01-22,30.6,30.15
2024-01-23,30.7,30.25
2024-01-24,31.25,30.4
2024-01-25,31.0,30.3
2024-01-26,30.7,30.2
2024-01-27,,
2024-01-28,,
2024-01-29,30.65,30.3
2024-01-30,30.7,30.3
2024-01-31,30.9,29.8
2024-02-01,30.15,29.7
2024-02-02,30.15,29.75
2024-02-03,,
2024-02-04,,
2024-02-05,30.85,29.85
2024-02-06,31.1,30.7
2024-02-07,31.2,30.75
2024-02-08,,
2024-02-09,,
2024-02-10,,
2024-02-11,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,31.7,31.0
2024-02-16,31.4,30.75
2024-02-17,,
2024-02-18,,
2024-02-19,30.95,30.45
2024-02-20,31.05,30.55
2024-02-21,32.0,30.85
2024-02-22,31.5,31.0
2024-02-23,31.55,30.65
2024-02-24,,
2024-02-25,,
2024-02-26,30.75,30.15
2024-02-27,30.85,30.35
2024-02-28,31.5,30.75
2024-02-29,31.8,31.1
2024-03-01,32.2,31.7
2024-03-02,,
2024-03-03,,
2024-03-04,32.2,31.65
2024-03-05,31.95,31.55
2024-03-06,32.15,31.35
2024-03-07,31.6,31.15
2024-03-08,31.5,30.6
2024-03-09,,
2024-03-10,,
2024-03-11,30.7,30.1
2024-03-12,30.55,30.1
2024-03-13,30.85,30.15
2024-03-14,30.95,30.4
2024-03-15,30.75,30.2
2024-03-16,,
2024-03-17,,
2024-03-18,30.7,29.7
2024-03-19,30.55,29.9
2024-03-20,31.25,30.15
2024-03-21,31.5,31.1
2024-03-22,32.4,31.55
2024-03-23,,
2024-03-24,,
2024-03-25,31.7,30.8
2024-03-26,31.0,30.75
2024-03-27,31.2,30.65
2024-03-28,32.0,30.8
2024-03-29,32.6,31.6
