time,high,low
2024-01-01,,
2024-01-02,55.92,54.98
2024-01-03,56.52,55.38
2024-01-04,57.66,56.19
2024-01-05,57.66,57.32
2024-01-06,,
2024-01-07,,
2024-01-08,58.06,57.73
2024-01-09,58.8,58.06
2024-01-10,59.87,58.33
2024-01-11,60.2,59.26
2024-01-12,59.87,58.46
2024-01-13,,
2024-01-14,,
2024-01-15,60.27,59.47
2024-01-16,60.27,59.47
2024-01-17,60.87,59.53
2024-01-18,61.0,60.2
2024-01-19,62.21,60.47
2024-01-20,,
2024-01-21,,
2024-01-22,62.54,61.54
2024-01-23,61.81,60.47
2024-01-24,61.54,60.8
2024-01-25,61.27,60.67
2024-01-26,61.54,61.14
2024-01-27,,
2024-01-28,,
2024-01-29,61.54,60.8
2024-01-30,61.0,60.27
2024-01-31,60.6,59.2
2024-02-01,60.33,58.86
2024-02-02,60.54,59.6
2024-02-03,,
2024-02-04,,
2024-02-05,60.6,59.8
2024-02-06,60.6,59.6
2024-02-07,60.74,59.73
2024-02-08,,
2024-02-09,,
2024-02-10,,
2024-02-11,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,60.67,59.6
2024-02-16,60.33,59.87
2024-02-17,,
2024-02-18,,
2024-02-19,60.54,59.73
2024-02-20,61.14,59.8
2024-02-21,61.34,60.54
2024-02-22,60.87,59.87
2024-02-23,61.14,59.47
2024-02-24,,
2024-02-25,,
2024-02-26,60.2,59.47
2024-02-27,61.0,59.6
2024-02-28,65.15,60.47
2024-02-29,67.22,65.08
2024-03-01,65.69,63.48
2024-03-02,,
2024-03-03,,
2024-03-04,65.55,63.95
2024-03-05,64.62,63.68
2024-03-06,64.75,63.61
2024-03-07,65.15,63.88
2024-03-08,64.55,63.61
2024-03-09,,
2024-03-10,,
2024-03-11,64.21,62.94
2024-03-12,63.48,62.88
2024-03-13,64.55,63.08
2024-03-14,64.28,63.28
2024-03-15,63.55,62.81
2024-03-16,,
2024-03-17,,
2024-03-18,63.21,61.87
2024-03-19,62.54,61.87
2024-03-20,62.94,61.87
2024-03-21,63.88,62.88
2024-03-22,64.75,63.68
2024-03-23,,
2024-03-24,,
2024-03-25,64.82,62.94
2024-03-26,64.62,64.08
2024-03-27,64.35,63.95
2024-03-28,64.48,63.95
2024-03-29,64.15,63.48
2024-03-30,,
2024-03-31,,
2024-04-01,64.21,63.34
2024-04-02,63.68,62.81
2024-04-03,63.41,62.74
2024-04-04,64.21,63.14
2024-04-05,63.95,63.01
2024-04-06,,
2024-04-07,,
2024-04-08,63.75,63.01
2024-04-09,63.81,63.01
2024-04-10,63.28,62.94
2024-04-11,63.28,62.54
2024-04-12,63.88,62.74
2024-04-13,,
2024-04-14,,
2024-04-15,64.55,61.54
2024-04-16,62.74,60.54
2024-04-17,61.61,59.87
2024-04-18,,
2024-04-19,60.8,60.0
2024-04-20,,
2024-04-21,,
2024-04-22,61.14,60.33
2024-04-23,61.0,59.67
2024-04-24,60.94,60.27
2024-04-25,62.14,60.54
2024-04-26,62.41,61.0
2024-04-27,,
2024-04-28,,
2024-04-29,,
2024-04-30,,
2024-05-01,,
2024-05-02,61.87,60.94
2024-05-03,62.48,61.41
2024-05-04,,
2024-05-05,,
2024-05-06,62.41,62.01
2024-05-07,62.94,62.14
2024-05-08,62.34,61.61
2024-05-09,62.48,61.74
2024-05-10,62.01,61.34
2024-05-11,,
2024-05-12,,
2024-05-13,61.81,60.54
2024-05-14,61.27,60.54
2024-05-15,61.07,60.74
2024-05-16,62.01,61.2
2024-05-17,61.94,61.34
2024-05-18,,
2024-05-19,,
2024-05-20,62.21,61.41
2024-05-21,61.54,60.67
2024-05-22,61.34,60.67
2024-05-23,61.2,60.54
2024-05-24,60.87,60.2
2024-05-25,,
2024-05-26,,
2024-05-27,60.6,60.0
2024-05-28,60.67,60.07
2024-05-29,60.87,60.07
2024-05-30,60.0,59.2
2024-05-31,59.53,58.33
2024-06-01,,
2024-06-02,,
2024-06-03,59.73,58.86
2024-06-04,59.67,59.06
2024-06-05,59.87,59.26
2024-06-06,60.0,59.4
2024-06-07,60.0,59.2
2024-06-08,,
2024-06-09,,
2024-06-10,59.67,58.8
2024-06-11,59.13,58.26
2024-06-12,59.67,58.19
2024-06-13,59.6,59.13
2024-06-14,59.6,58.53
2024-06-15,,
2024-06-16,,
2024-06-17,58.73,58.26
2024-06-18,59.2,58.26
2024-06-19,58.53,57.86
2024-06-20,57.93,57.26
2024-06-21,57.99,57.19
2024-06-22,,
2024-06-23,,
2024-06-24,58.46,57.19
2024-06-25,57.99,57.19
2024-06-26,57.73,56.99
2024-06-27,57.53,56.99
2024-06-28,57.53,56.86
2024-06-29,,
2024-06-30,,
2024-07-01,57.66,56.99
2024-07-02,59.4,57.66
2024-07-03,59.33,58.73
2024-07-04,60.0,58.86
2024-07-05,59.67,58.86
2024-07-06,,
2024-07-07,,
2024-07-08,59.33,58.33
2024-07-09,59.13,57.99
