time,high,low
2024-01-01,,
2024-01-02,16.06,15.85
2024-01-03,16.22,15.89
2024-01-04,16.86,16.18
2024-01-05,16.7,16.46
2024-01-06,,
2024-01-07,,
2024-01-08,16.94,16.7
2024-01-09,16.94,16.78
2024-01-10,17.06,16.78
2024-01-11,17.19,16.9
2024-01-12,17.11,16.78
2024-01-13,,
2024-01-14,,
2024-01-15,17.39,17.02
2024-01-16,17.35,16.98
2024-01-17,17.47,17.27
2024-01-18,17.31,17.11
2024-01-19,17.56,17.35
2024-01-20,,
2024-01-21,,
2024-01-22,17.68,17.35
2024-01-23,17.64,17.35
2024-01-24,17.47,17.27
2024-01-25,17.35,17.06
2024-01-26,17.31,17.14
2024-01-27,,
2024-01-28,,
2024-01-29,17.35,17.18
2024-01-30,17.35,17.1
2024-01-31,17.47,17.06
2024-02-01,17.27,16.98
2024-02-02,17.14,16.81
2024-02-03,,
2024-02-04,,
2024-02-05,17.68,16.85
2024-02-06,18.18,17.68
2024-02-07,18.01,17.76
2024-02-08,,
2024-02-09,,
2024-02-10,,
2024-02-11,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,18.55,18.18
2024-02-16,18.51,18.14
2024-02-17,,
2024-02-18,,
2024-02-19,18.43,18.05
2024-02-20,18.72,18.18
2024-02-21,18.72,18.43
2024-02-22,18.68,18.43
2024-02-23,18.88,18.18
2024-02-24,,
2024-02-25,,
2024-02-26,18.26,17.97
2024-02-27,18.26,18.05
2024-02-28,18.39,18.14
2024-02-29,18.59,18.1
2024-03-01,18.18,17.89
2024-03-02,,
2024-03-03,,
2024-03-04,18.39,17.93
2024-03-05,18.34,18.1
2024-03-06,18.55,18.14
2024-03-07,18.22,18.05
2024-03-08,18.26,17.89
2024-03-09,,
2024-03-10,,
2024-03-11,17.97,17.68
2024-03-12,17.76,17.6
2024-03-13,18.34,17.64
2024-03-14,18.39,17.93
2024-03-15,18.76,18.01
2024-03-16,,
2024-03-17,,
2024-03-18,18.88,18.05
2024-03-19,18.55,18.18
2024-03-20,19.59,18.26
2024-03-21,20.25,19.63
2024-03-22,20.46,19.76
2024-03-23,,
2024-03-24,,
2024-03-25,20.54,19.63
2024-03-26,20.25,19.8
2024-03-27,20.21,19.88
2024-03-28,20.54,19.88
2024-03-29,20.75,19.92
2024-03-30,,
2024-03-31,,
2024-04-01,20.42,19.88
2024-04-02,20.17,19.55
2024-04-03,20.01,19.51
2024-04-04,19.67,19.26
2024-04-05,19.13,18.76
2024-04-06,,
2024-04-07,,
2024-04-08,18.97,18.72
2024-04-09,19.17,18.8
2024-04-10,19.3,19.01
2024-04-11,19.01,18.76
2024-04-12,19.59,18.97
2024-04-13,,
2024-04-14,,
2024-04-15,19.76,18.64
2024-04-16,19.09,18.26
2024-04-17,19.1,18.38
2024-04-18,,
2024-04-19,18.38,17.91
2024-04-20,,
2024-04-21,,
2024-04-22,18.29,18.03
2024-04-23,18.42,17.78
2024-04-24,18.46,18.03
2024-04-25,18.38,17.99
2024-04-26,18.21,17.86
2024-04-27,,
2024-04-28,,
2024-04-29,,
2024-04-30,,
2024-05-01,,
2024-05-02,18.33,17.95
2024-05-03,18.59,18.12
2024-05-04,,
2024-05-05,,
2024-05-06,18.59,18.25
2024-05-07,18.72,18.42
2024-05-08,18.5,18.25
2024-05-09,18.59,18.29
2024-05-10,18.46,18.33
2024-05-11,,
2024-05-12,,
2024-05-13,18.5,18.21
2024-05-14,18.97,18.29
2024-05-15,18.85,18.59
2024-05-16,19.1,18.89
2024-05-17,19.15,18.97
2024-05-18,,
2024-05-19,,
2024-05-20,19.36,19.15
2024-05-21,19.36,18.97
2024-05-22,19.44,18.97
2024-05-23,19.02,18.8
2024-05-24,19.4,18.63
2024-05-25,,
2024-05-26,,
2024-05-27,18.93,18.68
2024-05-28,19.06,18.8
2024-05-29,19.19,18.72
2024-05-30,18.8,18.46
2024-05-31,18.8,18.59
2024-06-01,,
2024-06-02,,
2024-06-03,19.19,18.68
2024-06-04,19.23,19.02
2024-06-05,19.49,19.15
2024-06-06,19.32,19.06
2024-06-07,19.36,19.06
2024-06-08,,
2024-06-09,,
2024-06-10,19.27,18.97
2024-06-11,19.79,19.32
2024-06-12,19.66,19.36
2024-06-13,19.74,19.49
2024-06-14,19.7,19.23
2024-06-15,,
2024-06-16,,
2024-06-17,19.23,18.85
2024-06-18,19.06,18.85
2024-06-19,19.02,18.72
2024-06-20,18.89,18.68
2024-06-21,18.8,18.63
2024-06-22,,
2024-06-23,,
2024-06-24,18.63,18.21
2024-06-25,18.38,18.08
2024-06-26,18.33,18.08
2024-06-27,18.25,18.03
2024-06-28,18.16,17.95
2024-06-29,,
2024-06-30,,
2024-07-01,18.12,17.86
2024-07-02,18.38,18.12
2024-07-03,18.38,18.21
2024-07-04,18.38,18.08
2024-07-05,18.16,17.95
2024-07-06,,
2024-07-07,,
2024-07-08,18.29,18.08
2024-07-09,18.38,18.16
2024-07-10,18.5,18.25
2024-07-11,18.42,18.21
2024-07-12,18.33,18.16
2024-07-13,,
2024-07-14,,
2024-07-15,18.33,18.12
2024-07-16,18.5,18.21
2024-07-17,18.97,18.29
2024-07-18,18.68,18.33
2024-07-19,18.68,18.29
2024-07-20,,
2024-07-21,,
2024-07-22,18.63,18.16
2024-07-23,18.38,18.03
2024-07-24,18.12,17.82
2024-07-25,17.99,17.78
2024-07-26,17.95,17.78
2024-07-27,,
2024-07-28,,
2024-07-29,18.03,17.86
2024-07-30,17.91,17.52
2024-07-31,18.12,17.56
2024-08-01,18.25,17.65
2024-08-02,18.03,17.48
2024-08-03,,
2024-08-04,,
2024-08-05,17.86,17.26
2024-08-06,17.78,17.39
2024-08-07,17.86,17.52
2024-08-08,17.95,17.56
2024-08-09,17.86,17.69
2024-08-10,,
2024-08-11,,
2024-08-12,17.86,17.65
2024-08-13,17.95,17.56
2024-08-14,17.74,17.61
2024-08-15,17.78,17.61
2024-08-16,18.12,17.74
2024-08-17,,
2024-08-18,,
2024-08-19,18.5,18.12
2024-08-20,18.42,18.21
2024-08-21,18.33,18.12
2024-08-22,18.7,18.4
2024-08-23,18.45,18.3
2024-08-24,,
2024-08-25,,
2024-08-26,18.5,18.35
2024-08-27,18.4,18.3
2024-08-28,18.4,18.2
2024-08-29,18.45,18.3
2024-08-30,18.4,18.3
2024-08-31,,
2024-09-01,,
2024-09-02,,
2024-09-03,,
2024-09-04,18.25,18.0
2024-09-05,18.4,18.15
2024-09-06,18.25,18.1
2024-09-07,,
2024-09-08,,
2024-09-09,18.1,17.85
2024-09-10,18.1,17.85
2024-09-11,17.95,17.8
2024-09-12,18.15,17.9
2024-09-13,18.15,18.0
2024-09-14,,
2024-09-15,,
2024-09-16,18.1,17.9
2024-09-17,18.15,17.9
2024-09-18,18.3,18.1
2024-09-19,18.35,18.25
2024-09-20,18.6,18.35
2024-09-21,,
2024-09-22,,
2024-09-23,18.65,18.45
2024-09-24,19.1,18.25
2024-09-25,19.45,18.95
2024-09-26,19.65,19.25
2024-09-27,19.55,19.2
2024-09-28,,
2024-09-29,,
2024-09-30,19.45,19.2
2024-10-01,20.0,19.25
2024-10-02,19.75,19.55
2024-10-03,19.95,19.25
2024-10-04,19.4,19.15
2024-10-05,,
2024-10-06,,
2024-10-07,19.45,19.2
2024-10-08,19.5,19.2
2024-10-09,19.35,19.15
2024-10-10,19.45,19.1
2024-10-11,19.2,19.0
2024-10-12,,
2024-10-13,,
2024-10-14,19.25,19.0
2024-10-15,19.35,19.05
2024-10-16,19.25,19.05
2024-10-17,19.4,18.95
2024-10-18,19.85,19.4
2024-10-19,,
2024-10-20,,
2024-10-21,19.5,19.15
2024-10-22,19.2,18.6
2024-10-23,18.9,18.4
2024-10-24,18.9,18.5
2024-10-25,18.7,18.25
2024-10-26,,
2024-10-27,,
2024-10-28,18.5,18.2
2024-10-29,18.75,18.3
2024-10-30,19.15,18.8
2024-10-31,19.0,18.8
2024-11-01,18.95,18.7
2024-11-02,,
2024-11-03,,
2024-11-04,18.75,18.45
2024-11-05,18.65,18.45
2024-11-06,18.7,18.55
2024-11-07,18.7,18.5
2024-11-08,18.6,18.25
2024-11-09,,
2024-11-10,,
2024-11-11,18.4,18.05
2024-11-12,18.4,18.15
2024-11-13,18.35,18.15
2024-11-14,18.35,18.1
2024-11-15,18.25,18.1
2024-11-16,,
2024-11-17,,
2024-11-18,18.35,17.95
2024-11-19,18.3,18.05
2024-11-20,18.25,18.0
2024-11-21,18.3,18.1
2024-11-22,18.4,18.2
2024-11-23,,
2024-11-24,,
2024-11-25,18.6,18.2
2024-11-26,18.7,18.5
2024-11-27,18.65,18.45
2024-11-28,19.0,18.55
2024-11-29,19.0,18.75
2024-11-30,,
2024-12-01,,
2024-12-02,19.05,18.85
2024-12-03,19.05,18.7
2024-12-04,19.0,18.75
2024-12-05,19.35,18.8
2024-12-06,19.4,19.2
2024-12-07,,
2024-12-08,,
2024-12-09,19.35,19.2
2024-12-10,19.35,19.25
2024-12-11,19.4,19.1
2024-12-12,19.25,19.1
2024-12-13,19.25,19.05
2024-12-14,,
2024-12-15,,
2024-12-16,19.35,19.2
2024-12-17,19.35,19.2
2024-12-18,19.25,19.05
2024-12-19,19.1,18.9
2024-12-20,19.0,18.85
2024-12-21,,
2024-12-22,,
2024-12-23,19.1,18.9
2024-12-24,19.05,18.85
2024-12-25,19.6,19.0
2024-12-26,19.8,19.3
2024-12-27,20.25,19.75
2024-12-28,,
2024-12-29,,
2024-12-30,20.15,19.75
2024-12-31,19.85,19.7
