time,high,low
2024-01-01,,
2024-01-02,18.23,17.9
2024-01-03,18.14,17.71
2024-01-04,18.66,17.99
2024-01-05,18.47,18.14
2024-01-06,,
2024-01-07,,
2024-01-08,18.42,18.18
2024-01-09,18.37,18.14
2024-01-10,18.75,18.14
2024-01-11,18.85,18.56
2024-01-12,18.75,18.33
2024-01-13,,
2024-01-14,,
2024-01-15,18.8,18.37
2024-01-16,18.47,18.23
2024-01-17,18.56,18.28
2024-01-18,18.56,18.33
2024-01-19,18.75,18.56
2024-01-20,,
2024-01-21,,
2024-01-22,18.94,18.71
2024-01-23,18.9,18.66
2024-01-24,18.8,18.56
2024-01-25,18.71,18.56
2024-01-26,18.75,18.66
2024-01-27,,
2024-01-28,,
2024-01-29,18.75,18.56
2024-01-30,18.85,18.66
2024-01-31,18.71,18.18
2024-02-01,18.37,18.14
2024-02-02,18.23,17.85
2024-02-03,,
2024-02-04,,
2024-02-05,18.47,17.9
2024-02-06,18.42,18.23
2024-02-07,18.61,18.33
2024-02-08,,
2024-02-09,,
2024-02-10,,
2024-02-11,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,19.13,18.61
2024-02-16,18.94,18.71
2024-02-17,,
2024-02-18,,
2024-02-19,18.94,18.66
2024-02-20,18.75,18.52
2024-02-21,18.99,18.61
2024-02-22,18.9,18.61
2024-02-23,19.23,18.52
2024-02-24,,
2024-02-25,,
2024-02-26,18.56,18.23
2024-02-27,18.52,18.23
2024-02-28,18.9,18.42
2024-02-29,19.18,18.66
2024-03-01,18.9,18.66
2024-03-02,,
2024-03-03,,
2024-03-04,18.8,18.61
2024-03-05,18.75,18.56
2024-03-06,18.85,18.33
2024-03-07,18.61,18.42
2024-03-08,18.52,17.99
2024-03-09,,
2024-03-10,,
2024-03-11,18.14,17.61
2024-03-12,17.8,17.57
2024-03-13,18.14,17.66
2024-03-14,18.14,17.71
2024-03-15,17.85,17.61
2024-03-16,,
2024-03-17,,
2024-03-18,17.76,17.04
2024-03-19,17.57,17.19
2024-03-20,17.71,17.28
2024-03-21,17.99,17.61
2024-03-22,18.04,17.71
2024-03-23,,
2024-03-24,,
2024-03-25,18.18,17.71
2024-03-26,18.61,17.95
2024-03-27,18.75,18.37
2024-03-28,18.8,18.52
2024-03-29,18.8,18.47
2024-03-30,,
2024-03-31,,
2024-04-01,18.75,18.47
2024-04-02,18.61,17.95
2024-04-03,18.52,18.28
2024-04-04,18.61,18.23
2024-04-05,18.47,18.04
2024-04-06,,
2024-04-07,,
2024-04-08,18.47,18.14
2024-04-09,18.42,18.18
2024-04-10,18.94,18.33
2024-04-11,18.61,18.33
2024-04-12,18.71,18.42
2024-04-13,,
2024-04-14,,
2024-04-15,18.8,17.47
2024-04-16,18.04,17.57
2024-04-17,18.09,17.23
2024-04-18,,
2024-04-19,17.57,17.04
2024-04-20,,
2024-04-21,,
2024-04-22,17.66,17.33
2024-04-23,17.66,17.09
2024-04-24,17.8,17.47
2024-04-25,17.8,17.42
2024-04-26,17.66,17.38
2024-04-27,,
2024-04-28,,
2024-04-29,,
2024-04-30,,
2024-05-01,,
2024-05-02,17.66,17.38
2024-05-03,17.57,17.42
2024-05-04,,
2024-05-05,,
2024-05-06,17.8,17.47
2024-05-07,17.9,17.61
2024-05-08,17.85,17.57
2024-05-09,17.9,17.57
2024-05-10,17.8,17.47
2024-05-11,,
2024-05-12,,
2024-05-13,17.95,17.52
2024-05-14,18.33,17.95
2024-05-15,18.28,18.09
2024-05-16,18.47,18.14
2024-05-17,18.47,18.28
2024-05-18,,
2024-05-19,,
2024-05-20,18.85,18.52
2024-05-21,18.85,18.61
2024-05-22,18.8,18.25
2024-05-23,18.5,18.15
2024-05-24,18.5,18.0
2024-05-25,,
2024-05-26,,
2024-05-27,18.15,17.95
2024-05-28,18.2,18.0
2024-05-29,18.1,17.95
2024-05-30,18.0,17.7
2024-05-31,18.05,17.9
2024-06-01,,
2024-06-02,,
2024-06-03,18.45,18.05
2024-06-04,18.4,18.15
2024-06-05,18.3,18.1
2024-06-06,18.25,17.95
2024-06-07,18.25,17.95
2024-06-08,,
2024-06-09,,
2024-06-10,18.2,18.0
2024-06-11,18.35,18.05
2024-06-12,19.4,18.15
2024-06-13,19.8,19.25
2024-06-14,19.5,18.7
2024-06-15,,
2024-06-16,,
2024-06-17,19.05,18.45
2024-06-18,19.1,18.6
2024-06-19,19.2,18.4
2024-06-20,19.8,19.0
2024-06-21,19.85,19.35
2024-06-22,,
2024-06-23,,
2024-06-24,19.6,18.85
2024-06-25,19.2,18.85
2024-06-26,19.1,18.55
2024-06-27,19.05,18.7
2024-06-28,19.3,18.6
2024-06-29,,
2024-06-30,,
2024-07-01,19.05,18.5
2024-07-02,19.2,18.8
2024-07-03,19.2,18.75
2024-07-04,19.45,19.05
2024-07-05,19.3,19.0
2024-07-06,,
2024-07-07,,
2024-07-08,19.3,19.0
2024-07-09,19.45,19.0
2024-07-10,19.55,19.2
2024-07-11,19.55,19.05
2024-07-12,19.2,18.95
2024-07-13,,
2024-07-14,,
2024-07-15,19.1,18.7
2024-07-16,19.1,18.8
2024-07-17,19.4,18.8
2024-07-18,19.1,18.65
2024-07-19,19.2,18.8
2024-07-20,,
2024-07-21,,
2024-07-22,19.05,18.65
2024-07-23,18.9,18.2
2024-07-24,18.6,18.2
2024-07-25,18.5,18.3
2024-07-26,18.5,18.3
2024-07-27,,
2024-07-28,,
2024-07-29,18.6,18.4
2024-07-30,18.7,18.3
2024-07-31,19.15,18.6
2024-08-01,19.15,18.45
2024-08-02,18.75,18.35
2024-08-03,,
2024-08-04,,
2024-08-05,18.6,17.95
2024-08-06,18.5,18.1
2024-08-07,18.4,18.0
2024-08-08,18.0,17.5
2024-08-09,18.1,17.8
2024-08-10,,
2024-08-11,,
2024-08-12,18.15,17.8
2024-08-13,18.2,17.95
2024-08-14,18.2,18.0
2024-08-15,18.1,17.95
2024-08-16,18.45,18.0
2024-08-17,,
2024-08-18,,
2024-08-19,18.6,18.4
2024-08-20,18.65,18.4
2024-08-21,18.85,18.45
2024-08-22,18.85,18.6
2024-08-23,19.0,18.7
2024-08-24,,
2024-08-25,,
2024-08-26,19.3,18.8
2024-08-27,19.15,18.95
2024-08-28,19.1,18.9
2024-08-29,19.35,18.9
2024-08-30,19.1,18.95
2024-08-31,,
2024-09-01,,
2024-09-02,,
2024-09-03,,
2024-09-04,18.8,18.5
2024-09-05,18.55,18.3
2024-09-06,18.45,18.2
2024-09-07,,
2024-09-08,,
2024-09-09,18.45,18.25
2024-09-10,18.45,18.1
2024-09-11,18.3,18.05
2024-09-12,18.6,18.25
2024-09-13,18.55,18.3
2024-09-14,,
2024-09-15,,
2024-09-16,18.55,18.25
2024-09-17,18.65,18.3
2024-09-18,18.8,18.5
2024-09-19,18.8,18.65
2024-09-20,19.1,18.8
2024-09-21,,
2024-09-22,,
2024-09-23,19.2,18.9
2024-09-24,19.2,18.95
2024-09-25,19.55,19.2
2024-09-26,19.85,19.35
2024-09-27,20.15,19.6
2024-09-28,,
2024-09-29,,
2024-09-30,20.15,19.65
2024-10-01,20.3,19.85
