time,high,low,volume
2024-01-01,,,
2024-01-02,36.03,35.29,1112938.0
2024-01-03,36.44,35.54,1561832.0
2024-01-04,37.19,36.03,3214754.0
2024-01-05,37.15,36.11,1331657.0
2024-01-06,,,
2024-01-07,,,
2024-01-08,38.43,36.9,1951306.0
2024-01-09,38.84,38.06,1743286.0
2024-01-10,39.5,38.01,2144305.0
2024-01-11,39.05,38.18,3399421.0
2024-01-12,39.01,37.23,3091109.0
2024-01-13,,,
2024-01-14,,,
2024-01-15,38.84,38.06,1345255.0
2024-01-16,38.8,38.06,1135791.0
2024-01-17,38.84,38.26,1469274.0
2024-01-18,39.54,38.55,2293041.0
2024-01-19,41.2,39.01,2971887.0
2024-01-20,,,
2024-01-21,,,
2024-01-22,41.49,40.25,2372235.0
2024-01-23,41.15,40.2,2186583.0
2024-01-24,40.66,40.04,1872754.0
2024-01-25,41.11,40.0,1353235.0
2024-01-26,40.45,40.0,814358.0
2024-01-27,,,
2024-01-28,,,
2024-01-29,40.66,40.08,986750.0
2024-01-30,40.41,39.83,1123666.0
2024-01-31,40.33,39.25,1676533.0
2024-02-01,39.63,38.96,1545088.0
2024-02-02,39.25,38.59,1955284.0
2024-02-03,,,
2024-02-04,,,
2024-02-05,40.82,38.88,2254701.0
2024-02-06,40.33,39.67,1529371.0
2024-02-07,40.53,40.16,1861415.0
2024-02-08,,,
2024-02-09,,,
2024-02-10,,,
2024-02-11,,,
2024-02-12,,,
2024-02-13,,,
2024-02-14,,,
2024-02-15,40.7,40.04,1628521.0
2024-02-16,40.49,39.92,1355591.0
2024-02-17,,,
2024-02-18,,,
2024-02-19,41.57,39.87,3288060.0
2024-02-20,41.49,40.82,1572592.0
2024-02-21,41.15,40.41,1854473.0
2024-02-22,41.24,40.91,1598960.0
2024-02-23,43.96,40.74,6948065.0
2024-02-24,,,
2024-02-25,,,
2024-02-26,45.04,42.97,1536698.0
2024-02-27,44.63,43.8,1744935.0
2024-02-28,45.29,43.22,2346478.0
2024-02-29,44.63,43.8,1340368.0
2024-03-01,44.87,43.3,1248808.0
2024-03-02,,,
2024-03-03,,,
2024-03-04,45.04,43.39,2334455.0
2024-03-05,44.96,43.72,1203171.0
2024-03-06,45.29,44.21,1587437.0
2024-03-07,44.96,43.96,2127394.0
2024-03-08,44.13,40.99,2743455.0
2024-03-09,,,
2024-03-10,,,
2024-03-11,43.3,41.73,1481676.0
2024-03-12,43.06,41.73,1212545.0
2024-03-13,43.47,42.81,1399923.0
2024-03-14,44.21,42.48,1484385.0
2024-03-15,43.63,42.15,1435031.0
2024-03-16,,,
2024-03-17,,,
2024-03-18,43.63,41.24,1483545.0
2024-03-19,43.06,42.15,766534.0
2024-03-20,43.88,41.73,3135459.0
2024-03-21,44.13,43.63,1859542.0
2024-03-22,46.86,44.05,4368960.0
2024-03-23,,,
2024-03-24,,,
2024-03-25,45.87,43.55,1264961.0
2024-03-26,44.54,43.8,1411023.0
2024-03-27,44.05,43.39,1609580.0
