time,high,low,volume
2024-01-01,,,
2024-01-02,16.21,15.77,6720342.0
2024-01-03,16.01,15.85,8194761.0
2024-01-04,16.45,15.97,11217405.0
2024-01-05,16.41,16.17,6539053.0
2024-01-06,,,
2024-01-07,,,
2024-01-08,16.61,16.37,5517166.0
2024-01-09,16.49,16.33,6280853.0
2024-01-10,16.57,16.33,6378347.0
2024-01-11,16.69,16.53,5501321.0
2024-01-12,16.73,16.41,5943128.0
2024-01-13,,,
2024-01-14,,,
2024-01-15,16.81,16.53,6598864.0
2024-01-16,16.85,16.65,6368585.0
2024-01-17,16.81,16.45,7113971.0
2024-01-18,16.73,16.57,5723534.0
2024-01-19,16.77,16.61,7104514.0
2024-01-20,,,
2024-01-21,,,
2024-01-22,16.97,16.65,7959343.0
2024-01-23,17.01,16.65,6416242.0
2024-01-24,16.93,16.69,7040485.0
2024-01-25,16.93,16.73,5421583.0
2024-01-26,17.09,16.85,6676863.0
2024-01-27,,,
2024-01-28,,,
2024-01-29,17.13,17.01,5917816.0
2024-01-30,17.57,17.13,6304035.0
2024-01-31,17.61,17.21,5778345.0
2024-02-01,17.53,17.37,6252733.0
2024-02-02,17.89,17.45,9318133.0
2024-02-03,,,
2024-02-04,,,
2024-02-05,18.17,17.77,9569479.0
2024-02-06,18.45,18.09,6050983.0
2024-02-07,18.85,18.37,5973355.0
2024-02-08,,,
2024-02-09,,,
2024-02-10,,,
2024-02-11,,,
2024-02-12,,,
2024-02-13,,,
2024-02-14,,,
2024-02-15,19.05,18.61,6882170.0
2024-02-16,18.93,18.57,6116225.0
2024-02-17,,,
2024-02-18,,,
2024-02-19,18.69,18.37,6621330.0
2024-02-20,18.93,18.41,6845279.0
2024-02-21,19.01,18.57,6165942.0
2024-02-22,18.81,18.33,7168640.0
2024-02-23,18.45,18.01,7481573.0
2024-02-24,,,
2024-02-25,,,
2024-02-26,18.33,17.97,5607504.0
2024-02-27,18.41,18.05,6316270.0
2024-02-28,18.57,18.17,6191898.0
2024-02-29,18.73,18.53,6026614.0
2024-03-01,18.69,18.37,6107711.0
2024-03-02,,,
2024-03-03,,,
2024-03-04,18.69,18.49,5919766.0
2024-03-05,18.81,18.41,6843383.0
