time,high,low,volume
2024-01-01,,,
2024-01-02,13.96,13.53,3860817.0
2024-01-03,13.91,13.7,2852496.0
2024-01-04,14.43,13.87,7479551.0
2024-01-05,14.38,14.08,2313500.0
2024-01-06,,,
2024-01-07,,,
2024-01-08,14.47,14.17,4508044.0
2024-01-09,14.3,13.96,2574778.0
2024-01-10,14.3,14.04,4069274.0
2024-01-11,14.56,14.08,6898475.0
2024-01-12,14.26,13.83,10246595.0
2024-01-13,,,
2024-01-14,,,
2024-01-15,14.6,14.21,6150491.0
2024-01-16,14.51,14.17,6532557.0
2024-01-17,14.9,14.3,16202477.0
2024-01-18,15.07,14.51,12970971.0
2024-01-19,15.07,14.81,4418220.0
2024-01-20,,,
2024-01-21,,,
2024-01-22,15.03,14.64,4692228.0
2024-01-23,14.9,14.73,3047775.0
2024-01-24,14.9,14.68,3447595.0
2024-01-25,14.94,14.77,4006286.0
2024-01-26,15.03,14.9,2119573.0
2024-01-27,,,
2024-01-28,,,
2024-01-29,15.41,14.86,9894493.0
2024-01-30,15.5,15.11,6967787.0
2024-01-31,15.33,15.07,7777179.0
2024-02-01,15.71,15.11,7873106.0
2024-02-02,15.58,15.24,5084235.0
2024-02-03,,,
2024-02-04,,,
2024-02-05,15.71,15.15,3816566.0
2024-02-06,15.8,15.41,1958763.0
2024-02-07,15.63,15.33,3171132.0
2024-02-08,,,
2024-02-09,,,
2024-02-10,,,
2024-02-11,,,
2024-02-12,,,
2024-02-13,,,
2024-02-14,,,
2024-02-15,15.75,15.54,2226711.0
2024-02-16,15.63,15.24,3627977.0
2024-02-17,,,
2024-02-18,,,
2024-02-19,15.37,15.11,3412092.0
2024-02-20,15.28,15.15,1848369.0
2024-02-21,15.37,15.15,2378139.0
2024-02-22,15.33,15.11,2328890.0
2024-02-23,15.45,14.64,5587480.0
2024-02-24,,,
2024-02-25,,,
2024-02-26,14.86,14.68,1660363.0
2024-02-27,14.98,14.73,2492177.0
2024-02-28,14.94,14.81,2817122.0
2024-02-29,14.94,14.64,3019678.0
2024-03-01,14.77,14.56,3423067.0
