time,high,low,volume
2024-01-01,,,
2024-01-02,69.3,67.3,3626960.0
2024-01-03,68.9,67.7,1721799.0
2024-01-04,69.1,68.1,2527800.0
2024-01-05,68.3,66.6,3407644.0
2024-01-06,,,
2024-01-07,,,
2024-01-08,68.0,66.6,2685209.0
2024-01-09,67.4,66.0,2178704.0
2024-01-10,67.5,66.1,1883741.0
2024-01-11,66.9,66.0,2174002.0
2024-01-12,66.0,64.8,2391360.0
2024-01-13,,,
2024-01-14,,,
2024-01-15,66.1,65.2,1312577.0
2024-01-16,67.3,65.3,1938805.0
2024-01-17,67.5,66.3,1905190.0
2024-01-18,67.0,66.4,1290565.0
2024-01-19,68.4,66.7,3306558.0
2024-01-20,,,
2024-01-21,,,
2024-01-22,68.5,67.0,1776839.0
2024-01-23,67.8,66.5,2446090.0
2024-01-24,67.5,66.2,2447886.0
2024-01-25,66.8,66.1,1161850.0
2024-01-26,67.0,65.8,1937403.0
2024-01-27,,,
2024-01-28,,,
2024-01-29,66.4,65.5,1429667.0
2024-01-30,66.6,65.6,1171206.0
2024-01-31,66.6,64.4,2590625.0
2024-02-01,65.5,64.4,1693204.0
2024-02-02,65.6,65.0,1607900.0
2024-02-03,,,
2024-02-04,,,
2024-02-05,65.7,64.7,1613945.0
2024-02-06,65.3,64.7,1607962.0
2024-02-07,65.3,64.6,1352794.0
2024-02-08,,,
2024-02-09,,,
2024-02-10,,,
2024-02-11,,,
2024-02-12,,,
2024-02-13,,,
2024-02-14,,,
2024-02-15,65.7,64.9,2031033.0
2024-02-16,66.4,65.1,2715348.0
2024-02-17,,,
2024-02-18,,,
2024-02-19,69.4,66.5,7836163.0
2024-02-20,69.7,68.2,3378102.0
2024-02-21,68.9,67.7,3338632.0
2024-02-22,69.3,67.8,4151646.0
2024-02-23,68.9,66.6,4795406.0
2024-02-24,,,
2024-02-25,,,
2024-02-26,67.4,66.1,2923408.0
2024-02-27,68.2,66.7,3039105.0
2024-02-28,68.4,67.7,3482566.0
2024-02-29,71.5,69.1,8301828.0
2024-03-01,71.2,70.0,3760207.0
2024-03-02,,,
2024-03-03,,,
2024-03-04,71.1,69.9,5318001.0
2024-03-05,75.7,70.9,13005855.0
2024-03-06,77.8,75.7,6848742.0
2024-03-07,80.8,76.4,8726149.0
2024-03-08,81.0,78.0,7458784.0
2024-03-09,,,
2024-03-10,,,
2024-03-11,81.1,76.6,7107799.0
2024-03-12,79.4,77.2,5978311.0
2024-03-13,81.0,78.9,7039670.0
2024-03-14,81.6,78.7,6419793.0
2024-03-15,79.2,76.8,6911725.0
2024-03-16,,,
2024-03-17,,,
2024-03-18,78.9,73.9,7520756.0
2024-03-19,79.4,77.2,3131085.0
2024-03-20,77.8,76.5,4239846.0
2024-03-21,78.8,77.6,4985248.0
2024-03-22,80.9,78.3,6022106.0
2024-03-23,,,
2024-03-24,,,
2024-03-25,78.5,75.4,8728488.0
2024-03-26,76.2,74.0,6371960.0
2024-03-27,76.1,74.1,6075670.0
2024-03-28,77.7,75.7,6239789.0
2024-03-29,76.5,74.2,8326573.0
2024-03-30,,,
2024-03-31,,,
2024-04-01,74.9,72.6,7705143.0
2024-04-02,75.0,73.3,3740054.0
2024-04-03,75.4,73.2,4989510.0
2024-04-04,74.5,73.0,3740968.0
2024-04-05,73.2,71.9,5611365.0
2024-04-06,,,
2024-04-07,,,
2024-04-08,72.8,71.7,2805911.0
2024-04-09,73.5,72.2,4125038.0
2024-04-10,73.9,72.5,3032545.0
2024-04-11,72.2,71.5,3578818.0
2024-04-12,72.6,71.7,3574105.0
2024-04-13,,,
2024-04-14,,,
2024-04-15,71.9,66.9,10952904.0
2024-04-16,67.4,64.6,8055376.0
2024-04-17,68.9,65.5,7220123.0
2024-04-18,,,
2024-04-19,67.9,65.9,4770273.0
2024-04-20,,,
2024-04-21,,,
2024-04-22,67.5,66.7,2933819.0
2024-04-23,67.7,64.5,5050108.0
2024-04-24,67.5,65.2,3278134.0
2024-04-25,68.5,66.2,6077618.0
2024-04-26,68.3,67.1,3594523.0
2024-04-27,,,
2024-04-28,,,
2024-04-29,,,
2024-04-30,,,
2024-05-01,,,
2024-05-02,68.0,67.1,2281123.0
2024-05-03,70.9,68.1,7052700.0
2024-05-04,,,
2024-05-05,,,
2024-05-06,71.3,70.1,5108379.0
2024-05-07,71.5,70.5,3246739.0
2024-05-08,73.2,70.2,6126435.0
2024-05-09,73.8,70.6,7169523.0
2024-05-10,71.9,70.6,3716654.0
2024-05-11,,,
2024-05-12,,,
2024-05-13,71.7,70.3,2573753.0
2024-05-14,71.4,70.1,3694014.0
2024-05-15,73.3,71.9,6891202.0
2024-05-16,73.0,72.0,4047789.0
2024-05-17,76.0,72.4,12306604.0
2024-05-18,,,
2024-05-19,,,
2024-05-20,77.3,75.7,7874086.0
2024-05-21,76.5,74.9,5882505.0
2024-05-22,76.4,73.8,8357762.0
2024-05-23,75.8,73.2,6130514.0
2024-05-24,76.3,73.1,7673498.0
2024-05-25,,,
2024-05-26,,,
2024-05-27,74.0,72.7,3882989.0
2024-05-28,75.5,73.8,5102510.0
2024-05-29,76.9,75.0,8006989.0
2024-05-30,77.4,74.1,11166493.0
2024-05-31,78.4,76.6,5595715.0
2024-06-01,,,
2024-06-02,,,
2024-06-03,78.5,76.8,6573174.0
2024-06-04,78.0,77.1,4406508.0
2024-06-05,79.4,77.5,7554420.0
2024-06-06,78.8,77.5,4729661.0
2024-06-07,78.6,77.0,4623406.0
2024-06-08,,,
2024-06-09,,,
2024-06-10,78.0,76.8,5326734.0
2024-06-11,77.5,75.7,6576192.0
2024-06-12,78.1,76.0,5840342.0
2024-06-13,78.8,78.0,6213337.0
2024-06-14,80.3,78.0,9032419.0
2024-06-15,,,
2024-06-16,,,
2024-06-17,78.0,76.2,6245413.0
2024-06-18,77.3,76.2,4128321.0
2024-06-19,76.7,74.9,6660696.0
2024-06-20,76.2,75.1,4160627.0
2024-06-21,77.5,75.5,3975586.0
2024-06-22,,,
2024-06-23,,,
2024-06-24,76.3,73.7,8308432.0
2024-06-25,74.5,73.6,5263987.0
