time,high,low,volume
2024-01-01,,,
2024-01-02,9.58,9.36,24650546.0
2024-01-03,9.71,9.45,30258929.0
2024-01-04,10.14,9.71,61559539.0
2024-01-05,10.01,9.79,39868353.0
2024-01-06,,,
2024-01-07,,,
2024-01-08,10.14,9.97,38352791.0
2024-01-09,10.14,9.97,29827357.0
2024-01-10,10.53,10.01,94333607.0
2024-01-11,10.7,10.35,46158798.0
2024-01-12,10.74,10.23,64625731.0
2024-01-13,,,
2024-01-14,,,
2024-01-15,10.79,10.48,37231017.0
2024-01-16,10.53,10.31,34307856.0
2024-01-17,10.66,10.35,37169813.0
2024-01-18,10.44,10.31,25149958.0
2024-01-19,10.53,10.4,23410883.0
2024-01-20,,,
2024-01-21,,,
2024-01-22,10.61,10.44,31816843.0
2024-01-23,10.57,10.4,31046299.0
2024-01-24,10.7,10.4,50220966.0
2024-01-25,10.66,10.53,27270594.0
2024-01-26,10.66,10.57,21724036.0
2024-01-27,,,
2024-01-28,,,
2024-01-29,10.79,10.61,21325556.0
2024-01-30,10.66,10.53,17121371.0
2024-01-31,10.57,9.92,127121255.0
2024-02-01,10.14,9.92,20172715.0
2024-02-02,10.1,9.79,37987789.0
2024-02-03,,,
2024-02-04,,,
2024-02-05,10.23,9.84,38733629.0
2024-02-06,10.23,9.97,17883152.0
2024-02-07,10.14,9.97,22747940.0
2024-02-08,,,
2024-02-09,,,
2024-02-10,,,
2024-02-11,,,
2024-02-12,,,
2024-02-13,,,
2024-02-14,,,
2024-02-15,10.48,10.1,44497151.0
2024-02-16,10.44,10.23,21027857.0
2024-02-17,,,
2024-02-18,,,
2024-02-19,10.44,10.23,24134787.0
2024-02-20,10.44,10.18,23246358.0
2024-02-21,10.35,10.18,21828395.0
2024-02-22,10.66,10.31,44925666.0
2024-02-23,10.61,10.23,50675265.0
2024-02-24,,,
2024-02-25,,,
2024-02-26,10.27,10.1,29271563.0
2024-02-27,10.27,10.1,26098326.0
2024-02-28,10.31,10.18,20487601.0
2024-02-29,10.4,10.14,30603858.0
2024-03-01,10.27,10.14,27251324.0
2024-03-02,,,
2024-03-03,,,
2024-03-04,10.35,10.18,24841455.0
2024-03-05,10.27,10.1,22729306.0
2024-03-06,10.4,10.14,32553176.0
2024-03-07,10.31,10.14,20280698.0
2024-03-08,10.35,10.1,26203785.0
2024-03-09,,,
2024-03-10,,,
2024-03-11,10.1,9.79,30066232.0
2024-03-12,9.88,9.71,22469306.0
2024-03-13,10.01,9.75,14862621.0
2024-03-14,10.01,9.84,17681547.0
2024-03-15,9.92,9.79,17717722.0
2024-03-16,,,
2024-03-17,,,
2024-03-18,9.92,9.49,32012445.0
