time,high,low,volume
2024-01-01,,,
2024-01-02,21.22,20.42,1283313.0
2024-01-03,21.08,20.51,1271031.0
2024-01-04,21.04,20.29,1178659.0
2024-01-05,21.04,20.6,1134446.0
2024-01-06,,,
2024-01-07,,,
2024-01-08,20.86,20.51,1050832.0
2024-01-09,20.69,20.38,1080732.0
2024-01-10,20.69,20.38,1268679.0
2024-01-11,21.04,20.42,1367620.0
2024-01-12,20.78,20.47,1200913.0
2024-01-13,,,
2024-01-14,,,
2024-01-15,20.64,20.47,1185571.0
2024-01-16,20.56,20.07,1124126.0
2024-01-17,20.38,20.11,1633675.0
2024-01-18,20.38,20.16,1982922.0
2024-01-19,20.38,20.2,1857110.0
2024-01-20,,,
2024-01-21,,,
2024-01-22,20.51,20.29,1726954.0
2024-01-23,20.51,20.16,1378928.0
2024-01-24,20.47,20.07,1390683.0
2024-01-25,20.38,20.11,1371296.0
2024-01-26,20.33,20.16,1452888.0
2024-01-27,,,
2024-01-28,,,
2024-01-29,20.33,20.16,1345391.0
2024-01-30,20.25,20.07,1383719.0
2024-01-31,20.33,19.72,1616651.0
2024-02-01,20.16,19.81,1354998.0
2024-02-02,20.07,19.54,2020251.0
2024-02-03,,,
2024-02-04,,,
2024-02-05,20.29,19.67,1574234.0
2024-02-06,20.33,20.03,1345912.0
2024-02-07,20.42,19.98,1475384.0
2024-02-08,,,
2024-02-09,,,
2024-02-10,,,
2024-02-11,,,
2024-02-12,,,
2024-02-13,,,
2024-02-14,,,
2024-02-15,20.51,20.11,1561541.0
2024-02-16,20.51,20.25,1301006.0
2024-02-17,,,
2024-02-18,,,
2024-02-19,20.51,20.11,1430719.0
2024-02-20,20.33,20.03,1495967.0
2024-02-21,20.29,19.89,1681549.0
2024-02-22,20.25,19.94,1391538.0
2024-02-23,20.42,20.07,1502059.0
2024-02-24,,,
2024-02-25,,,
2024-02-26,20.25,19.98,1290611.0
2024-02-27,20.16,19.85,1765623.0
2024-02-28,20.2,19.89,1603321.0
2024-02-29,20.25,19.94,1433794.0
2024-03-01,20.2,19.94,1385983.0
2024-03-02,,,
2024-03-03,,,
2024-03-04,20.25,19.98,1503749.0
2024-03-05,20.11,19.94,1450299.0
2024-03-06,20.11,19.85,1532248.0
2024-03-07,20.03,19.85,1442536.0
2024-03-08,20.07,19.76,1385788.0
2024-03-09,,,
2024-03-10,,,
2024-03-11,19.98,19.59,1764656.0
2024-03-12,19.89,19.59,1474802.0
2024-03-13,19.94,19.63,1416086.0
2024-03-14,19.94,19.67,1498243.0
2024-03-15,19.98,19.67,1549723.0
2024-03-16,,,
2024-03-17,,,
2024-03-18,19.94,19.59,1391144.0
2024-03-19,19.76,19.45,1463357.0
2024-03-20,19.85,19.5,1571098.0
2024-03-21,19.94,19.63,1327810.0
2024-03-22,19.89,19.67,1353467.0
2024-03-23,,,
2024-03-24,,,
2024-03-25,19.72,19.45,1428999.0
2024-03-26,19.67,19.37,1385730.0
2024-03-27,19.67,19.37,1430852.0
2024-03-28,19.54,19.32,1341603.0
2024-03-29,19.5,19.32,1373692.0
2024-03-30,,,
2024-03-31,,,
2024-04-01,19.5,19.19,1403949.0
2024-04-02,19.45,19.1,1350348.0
2024-04-03,19.41,19.01,2067396.0
2024-04-04,19.45,19.15,1372141.0
2024-04-05,19.37,19.06,1408733.0
2024-04-06,,,
2024-04-07,,,
2024-04-08,19.32,19.01,1448098.0
2024-04-09,19.28,19.01,1600541.0
2024-04-10,19.37,19.06,2010323.0
2024-04-11,19.41,19.1,2017227.0
2024-04-12,19.89,19.37,2563307.0
2024-04-13,,,
2024-04-14,,,
2024-04-15,19.89,19.37,2154778.0
2024-04-16,19.72,18.31,2587126.0
2024-04-17,19.89,19.23,2152191.0
2024-04-18,,,
2024-04-19,19.59,18.93,2113576.0
2024-04-20,,,
2024-04-21,,,
2024-04-22,19.63,19.15,2197341.0
2024-04-23,19.5,18.93,2202345.0
2024-04-24,19.5,19.28,2019728.0
2024-04-25,19.45,19.01,2171611.0
2024-04-26,19.37,18.93,2234848.0
2024-04-27,,,
2024-04-28,,,
2024-04-29,,,
2024-04-30,,,
2024-05-01,,,
2024-05-02,19.41,19.06,1786780.0
2024-05-03,19.37,19.1,1906673.0
2024-05-04,,,
2024-05-05,,,
2024-05-06,19.37,19.1,1885037.0
2024-05-07,19.41,19.19,1926174.0
2024-05-08,19.45,19.15,2727115.0
2024-05-09,19.37,19.15,1979795.0
2024-05-10,19.37,19.1,2040635.0
2024-05-11,,,
2024-05-12,,,
2024-05-13,19.23,19.01,1855772.0
2024-05-14,19.19,19.01,1292540.0
2024-05-15,19.15,18.97,1499155.0
2024-05-16,19.5,19.01,1895253.0
2024-05-17,19.45,19.1,1717263.0
2024-05-18,,,
2024-05-19,,,
2024-05-20,19.41,19.19,1772029.0
2024-05-21,19.37,19.15,1643512.0
2024-05-22,19.37,19.1,1707409.0
2024-05-23,19.32,19.06,1793221.0
2024-05-24,19.32,19.01,1870071.0
2024-05-25,,,
2024-05-26,,,
2024-05-27,19.23,19.01,1599282.0
2024-05-28,19.06,18.84,1795105.0
2024-05-29,19.06,18.75,1908984.0
2024-05-30,18.97,18.75,1810589.0
2024-05-31,18.93,18.75,1555017.0
2024-06-01,,,
2024-06-02,,,
2024-06-03,19.1,18.84,1536171.0
2024-06-04,19.01,18.84,1588919.0
2024-06-05,19.1,18.88,1514441.0
2024-06-06,19.19,18.97,1708165.0
2024-06-07,19.15,18.93,1626210.0
2024-06-08,,,
2024-06-09,,,
2024-06-10,19.1,18.93,1530941.0
2024-06-11,19.06,18.79,1541502.0
2024-06-12,19.01,18.71,1670366.0
2024-06-13,19.1,18.97,2332448.0
2024-06-14,20.07,19.01,3330809.0
2024-06-15,,,
2024-06-16,,,
2024-06-17,20.25,19.41,4300441.0
2024-06-18,20.33,19.81,4049926.0
2024-06-19,20.33,19.98,4469320.0
2024-06-20,20.69,20.2,4499154.0
2024-06-21,21.13,20.6,4239539.0
2024-06-22,,,
2024-06-23,,,
2024-06-24,21.08,19.76,5241097.0
2024-06-25,19.94,18.62,3716076.0
2024-06-26,19.32,18.22,3419384.0
2024-06-27,18.66,17.61,3591814.0
2024-06-28,18.31,17.78,3107122.0
2024-06-29,,,
2024-06-30,,,
2024-07-01,18.35,17.96,3336175.0
2024-07-02,18.4,18.0,3652527.0
2024-07-03,18.44,18.09,3008775.0
2024-07-04,18.49,18.22,2808934.0
2024-07-05,18.4,18.22,2556804.0
2024-07-06,,,
2024-07-07,,,
2024-07-08,18.4,18.05,2657078.0
2024-07-09,18.4,18.09,2912460.0
2024-07-10,18.44,18.22,2778748.0
2024-07-11,18.44,18.31,2678743.0
2024-07-12,18.44,18.27,2682765.0
2024-07-13,,,
2024-07-14,,,
2024-07-15,18.31,18.13,2565237.0
2024-07-16,18.4,18.13,2565673.0
2024-07-17,18.4,18.18,2664312.0
2024-07-18,18.49,18.13,2942097.0
2024-07-19,18.57,18.31,2690976.0
2024-07-20,,,
2024-07-21,,,
2024-07-22,18.66,18.35,2891493.0
2024-07-23,18.93,18.53,2704096.0
2024-07-24,19.37,18.84,2671502.0
2024-07-25,19.28,18.62,2474348.0
2024-07-26,19.37,19.01,2276908.0
2024-07-27,,,
2024-07-28,,,
2024-07-29,19.32,19.06,2376937.0
2024-07-30,19.32,19.1,2210110.0
2024-07-31,19.28,19.01,2533815.0
2024-08-01,19.63,19.01,2894777.0
2024-08-02,19.89,18.84,2979495.0
2024-08-03,,,
2024-08-04,,,
2024-08-05,19.63,18.53,2951485.0
2024-08-06,19.45,18.97,3062645.0
2024-08-07,19.37,19.01,2693757.0
2024-08-08,19.06,18.66,2521985.0
2024-08-09,19.1,18.84,2280499.0
2024-08-10,,,
2024-08-11,,,
2024-08-12,19.23,18.97,2237242.0
2024-08-13,19.23,18.75,2397620.0
2024-08-14,19.01,18.88,2116488.0
2024-08-15,19.1,18.84,2099508.0
2024-08-16,19.06,18.84,2739399.0
2024-08-17,,,
2024-08-18,,,
2024-08-19,19.06,18.84,2474384.0
2024-08-20,19.06,18.93,3006214.0
2024-08-21,19.06,18.84,2853677.0
2024-08-22,19.98,18.97,4993394.0
2024-08-23,20.45,19.65,2789868.0
2024-08-24,,,
2024-08-25,,,
2024-08-26,19.9,19.7,2722354.0
2024-08-27,19.85,19.35,2237430.0
2024-08-28,19.45,19.1,2383075.0
2024-08-29,19.25,19.05,2522113.0
2024-08-30,19.35,19.0,2270517.0
2024-08-31,,,
2024-09-01,,,
2024-09-02,,,
2024-09-03,,,
2024-09-04,19.2,18.5,2612254.0
2024-09-05,18.7,18.4,2496388.0
2024-09-06,18.55,18.0,1716016.0
2024-09-07,,,
2024-09-08,,,
2024-09-09,18.1,17.75,809600.0
2024-09-10,18.1,17.0,2494800.0
2024-09-11,17.5,16.0,2221300.0
2024-09-12,16.5,15.05,5282900.0
2024-09-13,15.7,15.2,2204100.0
2024-09-14,,,
2024-09-15,,,
2024-09-16,15.9,15.2,2986500.0
2024-09-17,15.7,15.25,1635400.0
