time,high,low,volume
2024-01-01,,,
2024-01-02,25.92,25.37,18056240.0
2024-01-03,25.72,25.22,11410808.0
2024-01-04,26.7,25.76,58726383.0
2024-01-05,26.66,26.23,25144024.0
2024-01-06,,,
2024-01-07,,,
2024-01-08,26.93,26.54,20735618.0
2024-01-09,26.82,26.47,18989909.0
2024-01-10,26.58,26.04,23834249.0
2024-01-11,26.86,26.23,25477178.0
2024-01-12,26.54,26.04,25263290.0
2024-01-13,,,
2024-01-14,,,
2024-01-15,26.62,25.76,22252177.0
2024-01-16,26.15,25.57,19319481.0
2024-01-17,26.93,26.11,26225492.0
2024-01-18,26.58,26.27,14739610.0
2024-01-19,26.62,26.08,22395072.0
2024-01-20,,,
2024-01-21,,,
2024-01-22,26.54,26.08,16818935.0
2024-01-23,26.62,26.27,12568658.0
2024-01-24,26.86,26.31,27358980.0
2024-01-25,26.7,26.43,10944446.0
2024-01-26,26.82,26.5,14292358.0
2024-01-27,,,
2024-01-28,,,
2024-01-29,26.86,26.43,12263168.0
2024-01-30,26.66,26.39,11908039.0
2024-01-31,27.44,26.7,44828105.0
2024-02-01,27.21,26.86,11157027.0
2024-02-02,27.68,27.17,23513684.0
2024-02-03,,,
2024-02-04,,,
2024-02-05,27.44,26.93,19533742.0
2024-02-06,27.68,27.25,13200953.0
2024-02-07,27.6,27.25,15715732.0
2024-02-08,,,
2024-02-09,,,
2024-02-10,,,
2024-02-11,,,
2024-02-12,,,
2024-02-13,,,
2024-02-14,,,
2024-02-15,27.71,27.32,14894504.0
2024-02-16,27.64,27.25,18040913.0
2024-02-17,,,
2024-02-18,,,
2024-02-19,27.48,26.86,32840902.0
2024-02-20,27.95,27.52,18108398.0
2024-02-21,27.56,27.09,18558880.0
2024-02-22,27.29,26.97,14416824.0
2024-02-23,27.25,26.58,24151042.0
2024-02-24,,,
2024-02-25,,,
2024-02-26,27.6,26.58,26881680.0
2024-02-27,28.46,27.4,47053280.0
2024-02-28,28.3,27.83,26072310.0
2024-02-29,29.43,28.34,43202733.0
2024-03-01,29.43,28.89,21499365.0
2024-03-02,,,
2024-03-03,,,
2024-03-04,29.55,28.89,25354754.0
2024-03-05,29.24,28.61,31396834.0
2024-03-06,29.51,28.65,27687766.0
2024-03-07,29.63,28.77,34069906.0
2024-03-08,29.74,28.73,35890489.0
2024-03-09,,,
2024-03-10,,,
2024-03-11,29.0,28.26,24854489.0
2024-03-12,28.57,28.14,21933665.0
2024-03-13,29.74,28.34,35795637.0
2024-03-14,30.45,29.51,39376627.0
2024-03-15,29.59,28.96,27984321.0
2024-03-16,,,
2024-03-17,,,
2024-03-18,29.67,27.79,48630337.0
