time,high,low,volume
2024-01-01,,,
2024-01-02,28.15,27.75,14815625.0
2024-01-03,28.5,27.6,19993388.0
2024-01-04,29.55,28.5,31418651.0
2024-01-05,29.45,28.85,31294814.0
2024-01-06,,,
2024-01-07,,,
2024-01-08,29.65,29.0,15857047.0
2024-01-09,29.5,29.1,16762949.0
2024-01-10,29.8,29.1,25105891.0
2024-01-11,29.95,29.2,24453815.0
2024-01-12,30.15,29.1,41149942.0
2024-01-13,,,
2024-01-14,,,
2024-01-15,30.25,29.7,13059866.0
2024-01-16,29.9,29.6,13165088.0
2024-01-17,30.05,29.7,15241706.0
2024-01-18,30.25,29.65,14264464.0
2024-01-19,30.3,29.95,19386002.0
2024-01-20,,,
2024-01-21,,,
2024-01-22,30.6,30.15,13402881.0
2024-01-23,30.7,30.25,17928786.0
2024-01-24,31.25,30.4,24683004.0
2024-01-25,31.0,30.3,17448413.0
2024-01-26,30.7,30.2,15141920.0
2024-01-27,,,
2024-01-28,,,
2024-01-29,30.65,30.3,8936603.0
2024-01-30,30.7,30.3,11434467.0
2024-01-31,30.9,29.8,34440710.0
2024-02-01,30.15,29.7,10676211.0
2024-02-02,30.15,29.75,10082220.0
2024-02-03,,,
2024-02-04,,,
2024-02-05,30.85,29.85,20318799.0
2024-02-06,31.1,30.7,13440045.0
2024-02-07,31.2,30.75,12203955.0
2024-02-08,,,
2024-02-09,,,
2024-02-10,,,
2024-02-11,,,
2024-02-12,,,
2024-02-13,,,
2024-02-14,,,
2024-02-15,31.7,31.0,17191502.0
2024-02-16,31.4,30.75,20797470.0
2024-02-17,,,
2024-02-18,,,
2024-02-19,30.95,30.45,15783572.0
2024-02-20,31.05,30.55,16161281.0
2024-02-21,32.0,30.85,44469935.0
2024-02-22,31.5,31.0,15528581.0
2024-02-23,31.55,30.65,33555215.0
2024-02-24,,,
2024-02-25,,,
2024-02-26,30.75,30.15,24766318.0
2024-02-27,30.85,30.35,15453918.0
2024-02-28,31.5,30.75,28488223.0
2024-02-29,31.8,31.1,23717370.0
2024-03-01,32.2,31.7,27194729.0
2024-03-02,,,
2024-03-03,,,
2024-03-04,32.2,31.65,17160970.0
2024-03-05,31.95,31.55,12354778.0
2024-03-06,32.15,31.35,18420990.0
2024-03-07,31.6,31.15,17425324.0
2024-03-08,31.5,30.6,34889636.0
2024-03-09,,,
2024-03-10,,,
2024-03-11,30.7,30.1,20140766.0
2024-03-12,30.55,30.1,13197597.0
2024-03-13,30.85,30.15,16467696.0
2024-03-14,30.95,30.4,15815024.0
2024-03-15,30.75,30.2,17496203.0
2024-03-16,,,
2024-03-17,,,
2024-03-18,30.7,29.7,26188462.0
2024-03-19,30.55,29.9,13161522.0
2024-03-20,31.25,30.15,28149376.0
2024-03-21,31.5,31.1,15679993.0
2024-03-22,32.4,31.55,32810815.0
2024-03-23,,,
2024-03-24,,,
2024-03-25,31.7,30.8,25050727.0
2024-03-26,31.0,30.75,19271784.0
2024-03-27,31.2,30.65,15099637.0
2024-03-28,32.0,30.8,32001386.0
2024-03-29,32.6,31.6,34580461.0
2024-03-30,,,
2024-03-31,,,
2024-04-01,31.7,31.05,24134887.0
2024-04-02,30.95,29.6,105105504.0
2024-04-03,30.8,30.1,26966528.0
2024-04-04,30.2,29.65,30279141.0
2024-04-05,29.85,29.15,25462352.0
2024-04-06,,,
2024-04-07,,,
2024-04-08,29.45,28.95,26858560.0
2024-04-09,29.25,28.7,17954743.0
2024-04-10,29.45,29.1,14934420.0
2024-04-11,29.1,28.75,10465198.0
2024-04-12,29.4,28.9,15447924.0
2024-04-13,,,
2024-04-14,,,
2024-04-15,29.4,27.5,24343377.0
2024-04-16,27.8,27.2,22656873.0
2024-04-17,27.6,26.8,12965614.0
2024-04-18,,,
2024-04-19,28.0,26.15,23056912.0
2024-04-20,,,
2024-04-21,,,
2024-04-22,28.15,27.1,13425620.0
2024-04-23,28.15,27.55,18402711.0
2024-04-24,28.6,27.8,13994297.0
2024-04-25,28.65,28.2,9381505.0
2024-04-26,28.95,28.1,11934454.0
2024-04-27,,,
2024-04-28,,,
2024-04-29,,,
2024-04-30,,,
2024-05-01,,,
2024-05-02,28.35,27.5,10056448.0
2024-05-03,28.05,27.5,8853601.0
2024-05-04,,,
2024-05-05,,,
2024-05-06,28.15,27.65,8812082.0
2024-05-07,28.35,28.1,8562772.0
2024-05-08,28.35,27.85,9181334.0
2024-05-09,28.15,27.8,7553720.0
2024-05-10,28.0,27.6,6904745.0
2024-05-11,,,
2024-05-12,,,
2024-05-13,27.7,27.2,7864955.0
