time,high,low,volume
2024-01-01,,,
2024-01-02,43.75,42.55,7591730.0
2024-01-03,43.4,42.55,6114634.0
2024-01-04,43.7,43.25,8780655.0
2024-01-05,43.55,43.05,4510634.0
2024-01-06,,,
2024-01-07,,,
2024-01-08,43.85,42.9,6216748.0
2024-01-09,43.3,42.65,6379398.0
2024-01-10,43.0,42.1,6792763.0
2024-01-11,43.05,42.0,6971310.0
2024-01-12,41.9,40.9,8330552.0
2024-01-13,,,
2024-01-14,,,
2024-01-15,41.85,41.4,3151249.0
2024-01-16,42.65,41.45,3776742.0
2024-01-17,42.85,41.9,6345684.0
2024-01-18,43.5,42.05,8941804.0
2024-01-19,43.6,43.0,5533944.0
2024-01-20,,,
2024-01-21,,,
2024-01-22,43.45,42.8,4711104.0
2024-01-23,43.2,42.3,5258263.0
2024-01-24,42.95,42.3,2743314.0
2024-01-25,42.5,42.05,2297052.0
2024-01-26,42.5,42.0,4353577.0
2024-01-27,,,
2024-01-28,,,
2024-01-29,42.3,41.8,3168351.0
2024-01-30,42.3,41.7,2910566.0
2024-01-31,42.25,41.5,6310175.0
2024-02-01,41.5,41.1,7109228.0
2024-02-02,42.1,41.15,5777556.0
2024-02-03,,,
2024-02-04,,,
2024-02-05,41.6,41.1,3363623.0
2024-02-06,41.45,41.0,5537080.0
2024-02-07,41.85,41.0,3770219.0
2024-02-08,,,
2024-02-09,,,
2024-02-10,,,
2024-02-11,,,
2024-02-12,,,
2024-02-13,,,
2024-02-14,,,
2024-02-15,42.2,41.8,4319070.0
2024-02-16,42.8,41.95,6027229.0
2024-02-17,,,
2024-02-18,,,
2024-02-19,45.65,42.9,20165747.0
2024-02-20,46.7,45.85,12933357.0
2024-02-21,46.1,44.8,8951937.0
2024-02-22,45.45,44.8,6812686.0
2024-02-23,45.1,43.25,11758953.0
2024-02-24,,,
2024-02-25,,,
2024-02-26,43.85,43.1,7003949.0
2024-02-27,44.2,43.3,7161102.0
2024-02-28,44.9,44.0,6285833.0
2024-02-29,44.7,43.4,11045628.0
