time,high,low,volume
2024-01-01,,,
2024-01-02,108.3,106.8,930059.0
2024-01-03,107.7,105.4,882544.0
2024-01-04,108.0,105.4,667850.0
2024-01-05,108.0,106.2,633231.0
2024-01-06,,,
2024-01-07,,,
2024-01-08,107.8,106.2,626459.0
2024-01-09,106.7,105.2,628722.0
2024-01-10,106.7,104.3,670370.0
2024-01-11,106.0,104.7,617093.0
2024-01-12,105.8,103.9,659393.0
2024-01-13,,,
2024-01-14,,,
2024-01-15,105.8,104.2,613446.0
2024-01-16,105.4,104.3,732518.0
2024-01-17,105.4,103.9,735904.0
2024-01-18,105.0,103.7,698312.0
2024-01-19,105.2,104.3,613159.0
2024-01-20,,,
2024-01-21,,,
2024-01-22,105.8,104.9,631265.0
2024-01-23,105.8,103.5,701603.0
2024-01-24,105.5,103.8,660090.0
2024-01-25,105.0,104.5,615310.0
2024-01-26,105.8,104.5,678797.0
2024-01-27,,,
2024-01-28,,,
2024-01-29,106.0,105.3,621393.0
2024-01-30,106.0,105.5,622681.0
2024-01-31,105.8,103.6,644993.0
2024-02-01,105.5,104.0,610924.0
2024-02-02,105.7,104.4,622558.0
2024-02-03,,,
2024-02-04,,,
2024-02-05,105.4,103.8,670758.0
2024-02-06,105.5,104.5,617672.0
2024-02-07,105.3,104.3,615858.0
2024-02-08,,,
2024-02-09,,,
2024-02-10,,,
2024-02-11,,,
2024-02-12,,,
2024-02-13,,,
2024-02-14,,,
2024-02-15,105.5,104.0,691086.0
2024-02-16,105.3,104.4,635456.0
2024-02-17,,,
2024-02-18,,,
2024-02-19,106.0,104.4,615677.0
2024-02-20,105.2,104.3,649014.0
2024-02-21,104.5,103.2,658239.0
2024-02-22,104.7,103.2,621539.0
2024-02-23,104.4,103.4,671068.0
2024-02-24,,,
2024-02-25,,,
2024-02-26,104.9,103.9,605863.0
2024-02-27,104.8,103.5,647962.0
2024-02-28,104.7,103.3,639027.0
2024-02-29,104.3,103.1,728828.0
2024-03-01,104.3,103.2,651007.0
2024-03-02,,,
2024-03-03,,,
2024-03-04,104.2,103.3,669502.0
2024-03-05,104.4,103.5,552695.0
2024-03-06,104.5,103.2,470841.0
2024-03-07,104.0,103.3,590577.0
2024-03-08,104.2,103.1,636750.0
2024-03-09,,,
2024-03-10,,,
2024-03-11,104.1,103.0,613814.0
2024-03-12,103.5,102.0,658966.0
2024-03-13,103.6,102.0,671922.0
2024-03-14,102.9,101.0,696331.0
2024-03-15,102.9,100.5,706078.0
2024-03-16,,,
2024-03-17,,,
2024-03-18,103.0,100.5,618703.0
2024-03-19,102.0,100.0,590560.0
2024-03-20,102.0,100.1,690781.0
2024-03-21,103.1,101.2,741529.0
2024-03-22,103.0,101.5,600034.0
2024-03-23,,,
2024-03-24,,,
2024-03-25,102.2,100.7,629030.0
2024-03-26,102.6,100.2,664906.0
2024-03-27,103.1,101.0,707899.0
2024-03-28,103.2,101.7,635698.0
