time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02,13896933.0,349357.0,1112938.0,223584.0,3302172.0,1717109.0,694239.0,2681890.0,6720342.0,22196509.0,3860817.0,13795931.0,3626960.0,7143270.0,634812.0,771225.0,24650546.0,1283313.0,18056240.0,14815625.0,3711936.0,6972007.0,1788420.0,7591730.0,4385836.0,2284931.0,930059.0,2144983.0,8801273.0,4422717.0
2024-01-03,9817807.0,623816.0,1561832.0,148612.0,3125515.0,1439581.0,569882.0,4321988.0,8194761.0,18581664.0,2852496.0,13867158.0,1721799.0,6086184.0,808042.0,558138.0,30258929.0,1271031.0,11410808.0,19993388.0,5612090.0,7156654.0,1374590.0,6114634.0,4471802.0,2277071.0,882544.0,1891530.0,8222597.0,2679447.0
2024-01-04,23605373.0,547381.0,3214754.0,684484.0,14699663.0,2978466.0,1509345.0,2913195.0,11217405.0,38548706.0,7479551.0,49460264.0,2527800.0,8519623.0,1705055.0,774491.0,61559539.0,1178659.0,58726383.0,31418651.0,10076237.0,30604262.0,2660779.0,8780655.0,10168396.0,2340552.0,667850.0,3403997.0,25327514.0,4794666.0
2024-01-05,9282598.0,516417.0,1331657.0,189698.0,8768136.0,1140908.0,1078228.0,2869417.0,6539053.0,17340693.0,2313500.0,22545252.0,3407644.0,9044887.0,1409079.0,709246.0,39868353.0,1134446.0,25144024.0,31294814.0,3571390.0,11027926.0,1181807.0,4510634.0,4439462.0,1483990.0,633231.0,1477880.0,9909348.0,3302215.0
2024-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-08,12398885.0,550653.0,1951306.0,301494.0,12118831.0,1446808.0,1023970.0,1879255.0,5517166.0,31258576.0,4508044.0,20170178.0,2685209.0,6215699.0,1404589.0,655600.0,38352791.0,1050832.0,20735618.0,15857047.0,6326633.0,10135587.0,1611721.0,6216748.0,6163094.0,2537739.0,626459.0,2399171.0,9016243.0,7663595.0
2024-01-09,15455964.0,608875.0,1743286.0,377633.0,14357614.0,1213774.0,893745.0,3127599.0,6280853.0,28631164.0,2574778.0,19819773.0,2178704.0,9020560.0,498609.0,559039.0,29827357.0,1080732.0,18989909.0,16762949.0,6902873.0,10505693.0,1928985.0,6379398.0,3893999.0,1606614.0,628722.0,2461700.0,6454429.0,4816407.0
2024-01-10,17610661.0,482590.0,2144305.0,887428.0,13931670.0,3309732.0,1028605.0,1653803.0,6378347.0,32654545.0,4069274.0,24708606.0,1883741.0,6773587.0,605412.0,822458.0,94333607.0,1268679.0,23834249.0,25105891.0,7191724.0,24221574.0,1800328.0,6792763.0,4785302.0,2678758.0,670370.0,3010809.0,31574191.0,3464880.0
