time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02,25.6,70.8,38.2,51.5,38.1,152.0,68.1,30.5,25.1,27.0,31.25,21.91,70.8,60.6,38.15,55.6,9.23,16.75,25.95,37.0,24.35,16.55,61.47,40.0,19.7,40.55,99.9,63.1,19.15,17.3
2025-01-03,25.1,70.5,38.2,49.75,37.2,149.0,68.0,30.3,24.45,26.6,30.4,21.48,69.7,58.6,38.45,55.0,9.23,16.8,25.35,36.1,23.6,16.2,61.54,40.0,19.15,40.5,99.5,63.0,18.75,17.2
2025-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-06,24.8,70.3,38.8,48.5,37.2,149.3,67.5,29.4,24.5,26.05,30.3,21.22,67.2,57.0,38.35,53.6,9.28,16.75,24.9,36.25,23.6,16.05,62.14,40.0,19.15,40.5,99.7,62.5,18.8,17.15
2025-01-07,25.0,72.6,40.4,48.8,37.45,150.1,67.0,28.3,24.25,26.05,30.7,21.65,66.8,57.1,37.9,53.7,9.23,16.8,24.55,36.9,23.65,16.1,61.74,40.0,19.35,40.5,99.5,61.7,18.7,16.95
2025-01-08,25.0,72.6,40.35,49.4,37.8,148.3,67.1,28.65,23.3,26.25,30.9,21.6,67.7,58.1,38.3,53.7,9.28,17.1,24.7,36.7,23.95,16.2,61.81,40.0,19.45,40.5,99.4,61.7,18.85,16.95
2025-01-09,24.95,71.5,39.95,49.0,37.4,148.8,67.0,28.6,22.35,26.0,30.6,21.5,67.3,57.7,39.0,53.6,9.23,17.05,24.4,36.4,23.95,16.1,61.47,40.4,19.45,40.75,99.3,61.8,18.7,17.0
2025-01-10,24.7,70.0,39.1,49.5,37.5,147.3,66.7,28.0,21.6,25.55,30.2,21.15,65.5,57.5,38.1,53.6,9.14,17.4,23.7,35.2,23.4,15.9,61.14,40.0,19.3,40.5,98.6,61.3,18.5,16.85
2025-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-13,24.75,69.9,39.3,49.5,37.7,147.6,66.4,28.1,21.7,25.9,30.7,21.5,65.0,57.3,38.9,54.1,9.14,17.5,24.15,35.3,23.8,15.9,61.47,40.0,19.4,40.3,98.6,61.4,18.3,16.7
2025-01-14,24.65,70.0,39.0,50.8,36.95,145.1,66.9,27.75,21.15,25.85,30.85,21.3,63.7,57.2,39.75,54.5,9.1,17.45,23.95,35.4,23.6,15.9,61.34,40.0,19.4,40.2,98.5,61.6,18.15,16.1
2025-01-15,24.9,69.2,39.2,51.2,36.75,145.5,66.8,28.2,21.65,26.2,31.0,21.35,65.8,57.3,40.0,55.0,9.14,17.7,24.15,35.1,23.7,16.0,61.14,40.0,19.65,40.25,98.7,61.7,18.4,16.5
2025-01-16,24.85,69.3,39.4,51.2,36.8,146.5,66.9,28.45,21.7,26.3,31.45,21.4,66.3,57.8,40.0,54.0,9.14,17.8,24.4,35.45,23.85,16.05,62.01,40.0,19.7,40.45,98.9,61.9,18.4,16.55
2025-01-17,24.95,69.2,39.5,52.2,37.2,149.0,66.8,28.75,22.5,26.5,31.9,21.5,65.9,57.7,40.0,53.4,9.19,17.9,24.55,35.75,24.4,16.15,61.87,40.1,19.85,40.45,99.0,62.0,18.45,16.55
2025-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20,25.0,69.1,39.9,52.2,37.3,150.0,67.7,28.7,23.0,26.45,31.65,21.85,65.5,57.5,39.85,54.1,9.19,18.0,24.5,35.95,24.4,16.4,61.34,40.0,20.1,40.4,98.8,61.9,18.4,16.6
2025-01-21,24.95,68.7,39.8,52.0,37.3,149.9,67.1,28.4,22.65,26.3,31.85,21.85,65.7,57.7,39.85,53.6,9.19,18.45,24.45,36.05,24.2,16.2,61.14,40.0,20.1,40.45,98.8,61.8,18.4,16.6
2025-01-22,24.85,67.4,39.5,50.7,37.3,149.7,66.8,28.0,22.0,26.15,33.4,21.8,65.2,57.4,39.15,53.7,9.14,18.75,24.4,36.35,24.2,16.1,61.0,39.5,19.95,40.4,98.8,61.6,18.35,16.3
2025-01-23,25.3,68.0,39.9,50.7,38.1,154.3,67.0,28.45,22.4,26.65,35.3,22.2,65.4,59.2,39.6,54.0,9.23,18.75,25.15,37.0,24.6,16.35,61.87,39.5,20.45,40.4,99.0,62.0,18.9,16.45
2025-01-24,25.35,69.3,40.0,50.8,38.0,153.4,67.9,28.8,22.65,26.55,35.85,22.4,68.0,60.1,39.5,53.8,9.28,18.75,25.25,37.0,24.75,16.45,61.94,39.5,20.65,40.4,99.8,62.2,18.9,16.55
2025-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03,25.1,70.0,39.4,50.7,38.05,145.5,67.1,29.25,22.4,26.4,35.1,22.05,68.0,59.6,39.3,52.7,9.41,18.7,24.8,36.55,24.25,16.15,61.27,39.0,20.1,40.05,98.8,60.5,18.5,16.3
2025-02-04,25.25,70.3,39.65,51.4,39.4,146.2,67.1,29.5,22.6,26.85,35.1,22.45,68.6,59.6,40.0,52.7,9.5,18.8,25.3,37.3,24.65,16.55,61.54,38.75,20.35,40.1,98.2,60.2,18.75,16.3
2025-02-05,25.4,71.8,39.6,51.3,39.35,146.3,67.8,29.45,22.6,26.8,35.9,22.5,67.5,59.4,39.9,53.1,9.41,18.65,25.05,37.25,24.7,16.6,61.94,38.85,20.4,40.05,97.7,61.5,19.05,16.85
2025-02-06,25.5,70.8,39.8,51.2,39.5,146.5,67.6,29.2,22.95,26.8,36.5,22.6,67.4,59.1,39.9,52.7,9.46,18.65,25.05,37.35,25.2,16.55,62.14,38.8,20.45,40.45,98.0,60.7,19.05,16.7
2025-02-07,25.7,70.0,40.5,52.1,40.8,146.1,67.3,29.4,22.9,26.65,36.5,22.75,67.7,58.9,39.85,52.4,9.5,18.7,25.0,37.45,25.75,16.55,62.21,38.75,20.5,40.65,98.1,60.8,18.95,16.85
2025-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-10,25.8,70.9,40.35,52.9,40.3,142.0,67.3,28.8,22.6,25.4,36.55,22.9,68.8,57.4,40.4,52.2,9.5,18.7,24.9,38.45,25.75,16.75,61.67,37.8,20.5,40.0,96.8,60.6,18.85,16.6
2025-02-11,25.85,70.1,40.45,52.7,40.7,145.4,67.0,28.9,22.55,26.1,37.0,23.0,68.7,56.4,41.2,51.6,9.68,18.95,24.7,38.5,25.9,17.0,61.47,37.75,20.65,39.95,96.5,60.4,18.9,16.4
2025-02-12,25.65,70.5,40.0,54.4,40.5,145.0,67.1,28.75,22.55,25.85,37.35,22.7,69.0,56.4,41.35,51.9,9.59,18.95,24.75,38.65,25.7,16.85,61.2,38.0,20.5,39.9,96.1,61.0,18.9,16.4
2025-02-13,25.7,70.1,40.0,54.4,40.85,143.1,66.7,29.45,22.7,25.9,37.7,22.9,68.9,54.8,42.0,51.7,9.68,19.05,24.8,38.8,25.95,16.9,61.27,38.75,20.45,40.25,96.2,60.7,18.9,16.65
2025-02-14,25.75,70.1,40.65,54.4,40.55,144.9,67.7,30.35,22.85,26.1,37.5,22.85,68.1,55.2,42.35,51.6,9.73,19.5,24.9,38.25,26.0,16.9,61.27,38.8,20.45,40.25,96.7,60.3,19.0,16.6
2025-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-17,25.8,69.8,40.2,53.6,40.15,143.6,67.8,30.55,22.65,26.15,37.25,22.65,66.4,54.1,42.05,51.1,9.91,19.85,25.0,38.3,25.7,16.85,61.27,38.8,20.35,40.1,97.5,60.0,18.85,16.45
2025-02-18,25.75,69.5,40.5,57.3,40.3,143.9,68.0,30.85,22.7,26.55,36.6,22.7,66.4,54.5,42.6,51.2,9.86,19.75,25.15,38.65,25.85,16.9,61.27,38.9,20.4,40.2,97.4,60.3,18.95,16.85
2025-02-19,25.8,71.3,40.85,56.5,40.5,144.0,68.7,31.65,22.8,26.5,36.7,22.85,67.7,55.8,43.2,51.3,9.91,19.6,25.35,38.75,26.1,17.0,61.34,39.1,20.55,40.4,97.4,60.8,19.05,17.2
2025-02-20,25.95,72.4,40.9,56.9,40.85,143.0,68.8,32.35,22.85,26.55,36.3,22.85,68.0,56.7,43.1,51.4,9.86,19.6,25.25,38.75,26.55,17.1,61.34,40.55,20.55,40.95,96.9,60.7,19.2,17.35
2025-02-21,26.2,74.9,40.9,58.0,41.5,142.0,68.4,32.4,23.05,26.45,36.4,22.9,67.6,58.1,43.2,51.8,9.91,19.55,25.35,38.85,26.5,17.0,62.27,40.3,20.6,40.65,96.6,61.4,19.45,17.25
2025-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-24,26.15,74.5,41.1,58.7,41.9,140.5,68.6,32.45,23.45,27.7,36.8,23.0,67.6,58.4,43.0,52.4,10.05,19.65,25.85,39.4,26.5,17.05,62.54,40.25,20.8,40.6,96.6,63.8,19.55,17.35
2025-02-25,26.0,76.6,41.25,57.2,41.85,139.0,68.7,32.1,23.2,27.5,36.85,23.4,68.4,58.3,43.3,52.4,10.05,19.6,25.85,39.25,26.4,16.95,61.94,40.75,20.75,40.7,96.1,62.9,19.35,17.25
2025-02-26,25.95,76.4,41.2,57.8,41.35,141.8,68.4,32.6,23.05,27.75,36.9,23.2,68.3,58.7,43.25,52.2,10.1,19.3,25.85,38.55,26.3,16.95,61.74,40.7,20.6,41.0,97.1,63.1,19.25,17.15
2025-02-27,26.1,76.0,40.95,57.8,41.5,141.3,68.0,32.7,23.2,28.45,36.75,23.2,68.4,58.6,42.95,52.2,10.05,19.5,26.1,38.3,26.25,16.9,62.88,41.05,20.65,41.05,96.9,62.2,19.3,17.2
2025-02-28,26.0,75.7,40.95,56.6,41.5,140.3,68.0,33.4,23.05,28.0,36.15,23.0,67.7,58.3,43.55,51.5,10.0,19.4,26.3,38.25,26.1,16.7,62.41,41.2,20.75,41.2,96.0,62.2,19.3,17.4
