time,open,high,low,close,volume
2025-01-02,227.24,228.19,225.5,227.69,30777200
2025-01-03,227.7,228.17,225.27,225.66,52480200
2025-01-06,225.08,226.15,222.35,222.95,51597000
2025-01-07,222.69,223.69,220.46,220.98,42341600
2025-01-08,220.98,222.0,219.68,221.87,37075000
2025-01-09,220.74,222.71,218.82,221.94,33975000
2025-01-10,221.71,222.58,219.4,219.49,47966900
2025-01-13,218.58,219.86,217.83,219.62,43716200
2025-01-14,219.5,220.46,217.54,218.27,30513700
2025-01-15,217.57,219.8,216.24,219.55,43179200
2025-01-16,218.97,222.24,215.6,220.84,39746400
2025-01-17,220.84,222.48,219.24,222.48,39899900
2025-01-20,222.26,223.23,220.66,221.69,39473600
2025-01-21,219.91,222.91,217.58,221.68,45181100
2025-01-22,221.68,222.42,220.4,220.67,39064800
2025-01-23,220.1,222.67,219.98,222.67,37692700
2025-01-24,221.87,223.11,219.74,223.01,36594000
2025-02-03,223.01,223.91,222.29,223.49,42756800
2025-02-04,223.29,226.61,219.7,226.61,60105700
2025-02-05,226.0,228.46,223.31,227.98,47820800
2025-02-06,226.5,229.62,225.61,229.13,44470300
2025-02-07,229.04,230.2,228.93,229.49,56146500
2025-02-10,229.51,229.6,227.94,227.97,61340500
2025-02-11,228.0,229.08,226.93,228.87,57160000
2025-02-12,228.06,229.81,226.12,229.32,45945900
2025-02-13,228.51,229.93,227.59,229.52,39948000
2025-02-14,228.7,232.91,228.7,231.22,68446700
2025-02-17,231.15,233.76,230.79,233.19,67931600
2025-02-18,232.99,236.07,232.78,235.84,71613000
2025-02-19,234.95,237.9,234.23,237.79,72349200
2025-02-20,236.84,239.3,236.84,238.02,62147800
2025-02-21,238.02,238.84,236.54,237.57,66356400
2025-02-24,235.97,238.54,235.76,238.49,59802300
2025-02-25,237.0,240.13,235.23,238.31,73298400
2025-02-26,238.19,239.59,237.89,238.6,63990500
2025-02-27,238.6,239.77,236.84,239.39,69955600
2025-02-28,239.39,240.56,238.42,239.19,62104000
