time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02,25.4,69.8,37.9,50.8,37.6,150.1,68.0,30.45,24.45,26.7,30.85,21.78,70.0,60.3,37.95,55.1,9.23,16.45,25.9,36.6,24.3,16.4,61.2,39.95,19.6,40.3,99.0,63.1,18.95,17.2
2025-01-03,25.1,69.8,38.2,49.75,37.2,149.0,68.0,30.3,24.25,26.6,30.3,21.48,69.6,58.6,38.1,55.0,9.19,16.5,25.35,36.1,23.6,16.2,61.47,39.75,19.15,40.15,98.9,62.9,18.75,17.15
2025-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-06,24.75,69.0,38.2,48.5,37.05,148.4,67.3,29.4,24.15,26.05,30.0,21.22,67.2,57.0,38.15,53.6,9.23,16.6,24.85,36.05,23.5,16.0,61.47,39.75,19.05,40.3,99.0,62.5,18.7,17.0
2025-01-07,24.8,69.8,39.05,48.05,37.15,149.5,66.9,28.0,24.1,26.05,30.25,21.2,66.5,56.4,37.9,53.7,9.23,16.55,24.5,36.35,23.55,16.05,61.74,39.85,19.1,40.2,98.5,61.6,18.7,16.8
2025-01-08,24.8,72.5,39.65,48.25,37.25,148.1,66.6,27.55,23.25,25.95,30.5,21.45,66.6,56.5,37.3,53.6,9.19,16.6,24.45,36.5,23.65,16.15,61.2,39.7,19.2,40.3,98.4,61.2,18.65,16.8
2025-01-09,24.85,71.5,39.35,48.8,37.25,148.0,66.8,28.6,22.3,25.9,30.55,21.45,66.8,57.5,38.3,53.5,9.19,16.9,24.4,36.4,23.75,16.05,61.34,40.0,19.4,40.5,98.7,61.3,18.65,16.8
2025-01-10,24.7,66.5,39.1,48.6,37.2,147.2,66.7,28.0,21.6,25.55,30.05,21.15,65.5,56.9,38.0,53.6,9.14,16.95,23.5,35.2,23.4,15.85,61.14,39.9,19.3,40.4,98.2,61.3,18.45,16.65
2025-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-13,24.5,68.3,38.4,48.95,36.2,144.7,66.2,27.6,21.2,25.45,29.7,20.95,64.4,56.5,38.35,53.3,9.05,17.05,23.55,34.7,23.15,15.7,60.94,38.7,19.15,39.7,98.1,61.1,18.25,16.5
2025-01-14,24.5,69.4,38.9,49.5,36.9,145.1,66.5,27.75,21.1,25.8,30.7,21.15,63.7,56.6,39.05,54.0,9.1,17.15,23.9,34.9,23.5,15.85,61.0,39.4,19.3,39.8,97.9,61.3,18.05,16.1
2025-01-15,24.65,69.2,38.6,50.4,36.6,144.8,66.8,27.85,21.15,25.9,30.75,21.3,64.0,56.8,39.6,54.4,9.1,17.1,24.0,35.1,23.65,15.9,61.14,39.8,19.4,40.0,98.3,61.7,18.2,16.1
2025-01-16,24.7,68.4,39.05,50.1,36.4,145.2,66.6,28.3,21.45,26.05,31.15,21.35,65.3,57.0,39.75,53.8,9.1,17.3,24.3,35.05,23.6,16.0,61.41,40.0,19.6,40.1,97.2,61.7,18.2,16.35
2025-01-17,24.8,68.7,39.05,51.0,36.6,146.0,66.6,28.4,21.4,26.1,31.3,21.35,65.7,57.2,39.6,53.2,9.14,17.6,24.25,35.15,23.75,16.0,61.67,39.85,19.65,40.25,98.0,62.0,18.3,16.45
2025-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20,24.8,68.6,39.4,51.6,37.15,148.2,66.8,28.65,22.0,26.45,31.65,21.5,65.5,57.3,39.75,53.6,9.14,17.65,24.35,35.75,24.25,16.2,61.27,39.9,19.85,40.25,98.1,61.6,18.35,16.5
2025-01-21,24.85,68.2,39.5,51.5,37.05,149.0,67.1,28.4,22.35,26.2,31.7,21.75,65.4,57.2,39.4,53.5,9.19,17.95,24.4,35.9,24.15,16.2,61.07,39.8,19.95,40.3,98.1,61.6,18.25,16.5
2025-01-22,24.8,67.4,39.45,50.7,37.25,149.2,66.7,28.0,22.0,26.15,31.95,21.75,65.2,57.4,39.15,53.6,9.14,18.35,24.4,36.15,24.15,16.1,61.0,39.5,19.9,40.1,98.3,61.6,18.25,16.3
2025-01-23,24.9,67.3,39.45,50.5,37.3,150.0,66.7,28.0,21.9,26.15,33.6,21.8,65.2,57.3,38.95,53.6,9.14,18.6,24.45,36.45,24.25,16.1,61.07,39.25,19.95,40.25,98.6,61.6,18.4,16.2
2025-01-24,25.2,67.4,39.75,50.3,37.75,153.4,66.8,28.6,22.45,26.45,35.25,22.05,65.4,58.6,39.1,53.7,9.23,18.1,25.0,36.9,24.65,16.3,61.61,39.4,20.35,40.2,98.3,61.8,18.8,16.3
2025-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03,24.9,68.4,39.1,50.6,37.8,145.3,66.9,28.8,22.1,26.25,34.85,21.95,67.0,58.5,38.85,52.6,9.32,17.6,24.75,36.3,24.25,16.1,61.27,38.85,19.25,39.9,97.9,60.5,18.5,16.15
2025-02-04,25.05,69.7,39.15,50.7,38.05,145.3,66.9,29.3,22.4,26.45,34.65,22.1,68.1,59.0,39.4,52.4,9.41,18.1,24.8,36.65,24.3,16.15,61.34,38.55,20.15,39.85,97.9,60.0,18.55,16.2
2025-02-05,25.2,70.2,39.55,50.7,39.1,145.8,67.4,29.3,22.55,26.75,35.2,22.3,67.3,59.1,39.7,52.7,9.41,18.5,25.05,37.0,24.55,16.45,61.54,38.85,20.3,40.05,97.5,60.4,18.75,16.35
2025-02-06,25.4,70.8,39.6,50.8,39.2,145.6,67.5,29.15,22.65,26.75,35.9,22.55,67.2,58.7,39.6,52.7,9.41,18.35,25.05,37.3,24.8,16.5,62.01,38.8,20.4,40.05,97.3,60.5,18.95,16.7
2025-02-07,25.4,70.0,39.8,51.1,39.25,145.8,67.3,29.1,22.85,26.6,36.2,22.4,67.2,57.8,39.7,52.3,9.46,18.2,24.95,37.2,25.2,16.45,61.87,38.75,20.25,40.25,97.5,60.6,18.9,16.6
2025-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-10,25.5,70.0,40.1,51.6,40.05,142.0,66.9,28.8,22.5,25.4,35.95,22.45,67.8,57.4,39.6,52.0,9.46,18.1,24.65,37.2,25.45,16.35,61.47,37.8,20.25,40.0,96.7,60.6,18.75,16.55
2025-02-11,25.7,70.0,40.1,52.6,40.15,140.1,66.5,28.65,22.5,25.45,36.4,22.85,68.1,56.4,40.4,51.5,9.5,18.45,24.65,38.15,25.75,16.75,61.34,37.6,20.5,39.85,95.1,60.1,18.8,16.3
2025-02-12,25.65,70.0,39.9,52.5,40.4,144.3,67.0,28.75,22.55,25.85,37.05,22.7,68.3,56.4,41.1,51.7,9.59,18.7,24.75,38.3,25.7,16.8,61.2,37.8,20.4,39.9,96.1,60.5,18.8,16.4
2025-02-13,25.55,69.7,39.9,54.1,40.3,142.7,66.6,28.75,22.5,25.85,37.05,22.6,68.3,54.8,40.95,51.7,9.55,18.65,24.7,38.4,25.55,16.75,61.14,37.9,20.35,39.85,95.5,60.4,18.8,16.4
2025-02-14,25.7,70.1,40.15,53.7,40.5,143.6,67.0,29.75,22.75,26.0,37.2,22.8,67.8,53.8,42.0,51.5,9.73,19.15,24.9,38.25,25.9,16.9,61.2,38.75,20.4,40.2,96.2,60.3,19.0,16.55
2025-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-17,25.75,69.8,40.15,53.6,40.15,143.4,67.5,30.45,22.6,26.05,37.1,22.6,66.2,54.1,41.9,51.0,9.73,19.25,24.8,38.1,25.7,16.8,61.2,38.7,20.35,40.05,96.4,60.0,18.85,16.4
2025-02-18,25.75,69.3,40.05,53.2,40.05,143.1,67.7,30.35,22.6,26.3,36.5,22.6,66.0,53.8,41.9,51.0,9.86,19.6,25.0,38.15,25.65,16.8,61.14,38.85,20.35,39.9,96.7,60.0,18.75,16.45
2025-02-19,25.7,69.5,40.4,56.5,40.45,143.1,67.9,30.85,22.6,26.4,36.3,22.7,66.6,54.4,42.8,51.1,9.82,19.5,25.05,38.5,25.8,16.85,61.07,38.8,20.4,40.05,96.6,60.3,18.95,16.8
2025-02-20,25.75,70.8,40.65,56.5,40.45,143.0,68.5,31.4,22.75,26.5,36.25,22.85,67.5,55.7,42.9,51.3,9.86,19.3,25.25,38.55,26.05,16.95,61.34,39.15,20.55,40.4,96.8,60.6,19.0,17.25
2025-02-21,25.95,72.5,40.65,56.2,40.5,141.5,68.2,31.75,22.8,26.4,36.3,22.8,67.2,56.6,42.7,51.4,9.86,19.3,25.15,38.3,26.4,16.9,61.61,40.25,20.5,40.65,96.2,60.6,19.05,17.1
2025-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-24,26.05,74.3,40.7,56.9,41.35,139.5,67.8,31.9,22.9,27.55,36.15,22.8,66.8,57.3,42.65,51.8,9.91,19.15,25.25,38.7,26.3,16.9,62.01,39.95,20.5,40.35,95.7,61.6,19.2,17.1
2025-02-25,26.0,74.5,41.0,56.8,41.4,138.2,68.3,31.85,23.05,27.2,36.8,23.05,67.8,57.4,43.0,52.1,9.91,19.4,25.75,39.25,26.35,16.9,61.87,40.3,20.7,40.65,96.0,62.6,19.25,17.25
2025-02-26,25.95,75.8,40.95,57.0,41.1,138.9,68.4,32.2,23.05,27.55,36.6,23.2,68.0,57.8,43.0,52.0,10.05,19.3,25.6,38.55,26.3,16.9,61.67,40.5,20.6,40.8,96.0,62.9,19.25,17.0
2025-02-27,25.85,74.5,40.9,57.6,40.85,140.7,67.9,31.9,22.85,27.6,36.3,22.95,68.2,58.2,42.85,51.8,9.99,19.05,25.6,38.1,26.0,16.8,62.88,40.6,20.45,40.75,96.3,62.2,19.05,16.9
2025-02-28,25.8,74.7,40.7,56.6,41.0,139.0,68.0,32.35,22.8,27.95,36.05,22.95,67.5,57.8,42.95,51.5,9.98,19.05,26.2,38.25,26.05,16.7,62.41,40.85,20.45,40.7,96.0,62.2,19.1,17.2
