time,high,low
2025-01-01,,
2025-01-02,25.7,25.4
2025-01-03,25.55,25.1
2025-01-04,,
2025-01-05,,
2025-01-06,25.05,24.75
2025-01-07,25.05,24.8
2025-01-08,25.0,24.8
2025-01-09,25.0,24.85
2025-01-10,24.95,24.7
2025-01-11,,
2025-01-12,,
2025-01-13,24.85,24.5
2025-01-14,24.8,24.5
2025-01-15,24.95,24.65
2025-01-16,25.05,24.7
2025-01-17,25.0,24.8
2025-01-18,,
2025-01-19,,
2025-01-20,25.05,24.8
2025-01-21,25.1,24.85
2025-01-22,25.0,24.8
2025-01-23,25.4,24.9
2025-01-24,25.5,25.2
2025-01-25,,
2025-01-26,,
2025-01-27,,
2025-01-28,,
2025-01-29,,
2025-01-30,,
2025-01-31,,
2025-02-01,,
2025-02-02,,
2025-02-03,25.3,24.9
2025-02-04,25.35,25.05
2025-02-05,25.4,25.2
2025-02-06,25.65,25.4
2025-02-07,25.8,25.4
2025-02-08,,
2025-02-09,,
2025-02-10,26.15,25.5
2025-02-11,25.95,25.7
2025-02-12,26.0,25.65
2025-02-13,25.75,25.55
2025-02-14,25.95,25.7
2025-02-15,,
2025-02-16,,
2025-02-17,25.95,25.75
2025-02-18,26.0,25.75
2025-02-19,25.9,25.7
2025-02-20,25.95,25.75
2025-02-21,26.35,25.95
2025-02-22,,
2025-02-23,,
2025-02-24,26.25,26.05
2025-02-25,26.25,26.0
2025-02-26,26.1,25.95
2025-02-27,26.1,25.85
2025-02-28,26.2,25.8
