time,high,low
2025-01-01,,
2025-01-02,70.9,70.0
2025-01-03,70.8,69.6
2025-01-04,,
2025-01-05,,
2025-01-06,70.2,67.2
2025-01-07,68.2,66.5
2025-01-08,68.0,66.6
2025-01-09,68.1,66.8
2025-01-10,67.4,65.5
2025-01-11,,
2025-01-12,,
2025-01-13,65.5,64.4
2025-01-14,65.3,63.7
2025-01-15,66.4,64.0
2025-01-16,66.5,65.3
2025-01-17,66.4,65.7
2025-01-18,,
2025-01-19,,
2025-01-20,66.3,65.5
2025-01-21,66.4,65.4
2025-01-22,66.2,65.2
2025-01-23,66.1,65.2
2025-01-24,68.0,65.4
2025-01-25,,
2025-01-26,,
2025-01-27,,
2025-01-28,,
2025-01-29,,
2025-01-30,,
2025-01-31,,
2025-02-01,,
2025-02-02,,
2025-02-03,68.4,67.0
2025-02-04,68.8,68.1
2025-02-05,68.7,67.3
2025-02-06,68.1,67.2
2025-02-07,68.0,67.2
2025-02-08,,
2025-02-09,,
2025-02-10,69.7,67.8
2025-02-11,68.9,68.1
2025-02-12,69.1,68.3
2025-02-13,69.0,68.3
2025-02-14,69.4,67.8
2025-02-15,,
2025-02-16,,
2025-02-17,68.4,66.2
2025-02-18,67.2,66.0
2025-02-19,67.7,66.6
2025-02-20,68.0,67.5
2025-02-21,68.0,67.2
2025-02-22,,
2025-02-23,,
2025-02-24,67.7,66.8
2025-02-25,68.9,67.8
2025-02-26,68.6,68.0
2025-02-27,69.3,68.2
2025-02-28,68.5,67.5
