time,high,low
2025-01-01,,
2025-01-02,38.4,37.95
2025-01-03,38.6,38.1
2025-01-04,,
2025-01-05,,
2025-01-06,38.75,38.15
2025-01-07,38.65,37.9
2025-01-08,38.3,37.3
2025-01-09,39.3,38.3
2025-01-10,39.05,38.0
2025-01-11,,
2025-01-12,,
2025-01-13,38.9,38.35
2025-01-14,40.1,39.05
2025-01-15,40.25,39.6
2025-01-16,40.35,39.75
2025-01-17,40.0,39.6
2025-01-18,,
2025-01-19,,
2025-01-20,40.0,39.75
2025-01-21,40.35,39.4
2025-01-22,39.9,39.15
2025-01-23,39.7,38.95
2025-01-24,39.55,39.1
2025-01-25,,
2025-01-26,,
2025-01-27,,
2025-01-28,,
2025-01-29,,
2025-01-30,,
2025-01-31,,
2025-02-01,,
2025-02-02,,
2025-02-03,39.4,38.85
2025-02-04,40.2,39.4
2025-02-05,40.2,39.7
2025-02-06,40.0,39.6
2025-02-07,39.9,39.7
2025-02-08,,
2025-02-09,,
2025-02-10,40.75,39.6
2025-02-11,41.3,40.4
2025-02-12,41.45,41.1
2025-02-13,42.2,40.95
2025-02-14,42.75,42.0
2025-02-15,,
2025-02-16,,
2025-02-17,43.1,41.9
2025-02-18,42.75,41.9
2025-02-19,43.3,42.8
2025-02-20,43.35,42.9
2025-02-21,43.5,42.7
2025-02-22,,
2025-02-23,,
2025-02-24,43.15,42.65
2025-02-25,43.6,43.0
2025-02-26,43.45,43.0
2025-02-27,43.4,42.85
2025-02-28,43.7,42.95
