time,high,low
2025-01-01,,
2025-01-02,16.9,16.45
2025-01-03,16.8,16.5
2025-01-04,,
2025-01-05,,
2025-01-06,16.75,16.6
2025-01-07,16.8,16.55
2025-01-08,17.1,16.6
2025-01-09,17.3,16.9
2025-01-10,17.4,16.95
2025-01-11,,
2025-01-12,,
2025-01-13,17.6,17.05
2025-01-14,17.45,17.15
2025-01-15,17.7,17.1
2025-01-16,17.8,17.3
2025-01-17,17.9,17.6
2025-01-18,,
2025-01-19,,
2025-01-20,18.0,17.65
2025-01-21,18.45,17.95
2025-01-22,18.75,18.35
2025-01-23,18.95,18.6
2025-01-24,18.8,18.1
2025-01-25,,
2025-01-26,,
2025-01-27,,
2025-01-28,,
2025-01-29,,
2025-01-30,,
2025-01-31,,
2025-02-01,,
2025-02-02,,
2025-02-03,18.7,17.6
2025-02-04,18.8,18.1
2025-02-05,18.8,18.5
2025-02-06,18.8,18.35
2025-02-07,18.75,18.2
2025-02-08,,
2025-02-09,,
2025-02-10,18.7,18.1
2025-02-11,18.95,18.45
2025-02-12,18.95,18.7
2025-02-13,19.05,18.65
2025-02-14,19.5,19.15
2025-02-15,,
2025-02-16,,
2025-02-17,19.9,19.25
2025-02-18,19.9,19.6
2025-02-19,19.8,19.5
2025-02-20,19.75,19.3
2025-02-21,19.6,19.3
2025-02-22,,
2025-02-23,,
2025-02-24,19.65,19.15
2025-02-25,19.7,19.4
2025-02-26,19.7,19.3
2025-02-27,19.5,19.05
2025-02-28,19.55,19.05
