time,high,low
2025-01-01,,
2025-01-02,100.1,99.0
2025-01-03,99.9,98.9
2025-01-04,,
2025-01-05,,
2025-01-06,99.9,99.0
2025-01-07,99.9,98.5
2025-01-08,99.5,98.4
2025-01-09,99.4,98.7
2025-01-10,99.6,98.2
2025-01-11,,
2025-01-12,,
2025-01-13,99.2,98.1
2025-01-14,98.7,97.9
2025-01-15,99.4,98.3
2025-01-16,99.3,97.2
2025-01-17,99.1,98.0
2025-01-18,,
2025-01-19,,
2025-01-20,99.0,98.1
2025-01-21,99.3,98.1
2025-01-22,99.0,98.3
2025-01-23,99.5,98.6
2025-01-24,99.8,98.3
2025-01-25,,
2025-01-26,,
2025-01-27,,
2025-01-28,,
2025-01-29,,
2025-01-30,,
2025-01-31,,
2025-02-01,,
2025-02-02,,
2025-02-03,99.5,97.9
2025-02-04,98.8,97.9
2025-02-05,98.7,97.5
2025-02-06,98.5,97.3
2025-02-07,98.2,97.5
2025-02-08,,
2025-02-09,,
2025-02-10,98.0,96.7
2025-02-11,97.0,95.1
2025-02-12,97.0,96.1
2025-02-13,96.2,95.5
2025-02-14,96.8,96.2
2025-02-15,,
2025-02-16,,
2025-02-17,97.5,96.4
2025-02-18,97.8,96.7
2025-02-19,97.5,96.6
2025-02-20,97.5,96.8
2025-02-21,96.9,96.2
2025-02-22,,
2025-02-23,,
2025-02-24,96.6,95.7
2025-02-25,96.8,96.0
2025-02-26,97.1,96.0
2025-02-27,97.2,96.3
2025-02-28,97.0,96.0
