time,high,low
2025-01-01,,
2025-01-02,63.8,63.1
2025-01-03,63.3,62.9
2025-01-04,,
2025-01-05,,
2025-01-06,63.2,62.5
2025-01-07,63.0,61.6
2025-01-08,62.1,61.2
2025-01-09,61.9,61.3
2025-01-10,61.9,61.3
2025-01-11,,
2025-01-12,,
2025-01-13,61.9,61.1
2025-01-14,61.8,61.3
2025-01-15,62.3,61.7
2025-01-16,62.6,61.7
2025-01-17,62.2,62.0
2025-01-18,,
2025-01-19,,
2025-01-20,62.2,61.6
2025-01-21,62.1,61.6
2025-01-22,62.0,61.6
2025-01-23,62.3,61.6
2025-01-24,62.5,61.8
2025-01-25,,
2025-01-26,,
2025-01-27,,
2025-01-28,,
2025-01-29,,
2025-01-30,,
2025-01-31,,
2025-02-01,,
2025-02-02,,
2025-02-03,62.2,60.5
2025-02-04,60.9,60.0
2025-02-05,61.5,60.4
2025-02-06,61.6,60.5
2025-02-07,61.2,60.6
2025-02-08,,
2025-02-09,,
2025-02-10,61.2,60.6
2025-02-11,60.7,60.1
2025-02-12,61.0,60.5
2025-02-13,61.0,60.4
2025-02-14,60.7,60.3
2025-02-15,,
2025-02-16,,
2025-02-17,60.6,60.0
2025-02-18,60.5,60.0
2025-02-19,60.9,60.3
2025-02-20,60.9,60.6
2025-02-21,62.1,60.6
2025-02-22,,
2025-02-23,,
2025-02-24,63.9,61.6
2025-02-25,64.0,62.6
2025-02-26,63.4,62.9
2025-02-27,63.2,62.2
2025-02-28,63.2,62.2
