symbol,organ_name,icb_name2,icb_name3,icb_name4
BMK,Công ty Cổ Phần Kỹ thuật Nhiệt Mèo Đen,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng
LPT,Công ty Cổ phần Thương mại và Sản xuất Lập Phương Thành,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Đào tạo & Việc làm
CAG,Công ty Cổ phần Cảng An Giang,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
AGR,Công ty Cổ phần Chứng khoán AGRIBANK,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
AIG,Công ty Cổ phần Nguyên liệu Á Châu AIG,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
BRR,Công ty Cổ phần Cao su Bà Rịa,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
AAA,Công ty Cổ phần Nhựa An Phát Xanh,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
ATB,Công ty Cổ phần An Thịnh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
ABR,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD
BNA,Công ty Cổ phần Tập đoàn Đầu tư Bảo Ngọc,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
BDB,Công ty Cổ phần Sách và Thiết bị Bình Định,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
CAD,Công ty Cổ phần Chế biến và Xuất khẩu Thủy sản Cadovimex,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
BSA,Công ty Cổ phần Thủy điện Buôn Đôn,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
PRT,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - Công ty cổ phần,Bất động sản,Bất động sản,Bất động sản
YTC,Công ty Cổ phần Xuất nhập khẩu Y tế Thành phố Hồ Chí Minh,Y tế,Thiết bị và Dịch vụ Y tế,Dụng cụ y tế
AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Bất động sản,Bất động sản,Bất động sản
CDC,Công ty Cổ phần Chương Dương,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
BNW,Công ty Cổ phần Nước sạch Bắc Ninh,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
BTS,Công ty Cổ phần Xi măng VICEM Bút Sơn,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
BTD,Công ty Cổ phần Bê tông ly tâm Thủ Đức,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
CIP,Công ty Cổ phần Xây lắp và Sản xuất Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
BDW,Công ty Cổ phần Cấp thoát nước Bình Định,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
HNB,Công ty Cổ phần Bến xe Hà Nội,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
CKV,Công ty Cổ phần CokyVina,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông
DTB,Công ty Cổ phần Công trình Đô thị Bảo Lộc,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
ACM,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
BRC,Công ty Cổ phần Cao su Bến Thành,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
CIA,Công ty Cổ Phần Dịch Vụ Sân Bay Quốc Tế Cam Ranh,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
CSC,Công ty Cổ phần Tập đoàn COTANA,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
VTG,Công ty Cổ phần Du lịch tỉnh Bà Rịa - Vũng Tàu,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
CT6,Công ty Cổ phần Công trình 6,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
TS3,Công ty Cổ phần Trường Sơn 532,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
CTF,Công ty Cổ phần City Auto,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
ACS,Công ty Cổ phần Xây lắp Thương mại 2,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
DRI,Công ty Cổ phần Đầu tư Cao su Đắk Lắk,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
DC4,Công ty Cổ phần Xây dựng DIC Holdings,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
BST,Công ty Cổ phần Sách và Thiết bị Bình Thuận,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
DAS,Công ty Cổ phần Máy - Thiết bị Dầu khí Đà Nẵng,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
DDV,Công ty Cổ phần DAP - Vinachem,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
BIG,Công ty cổ phần BIG Invest Group,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản"
DHG,Công ty Cổ phần Dược Hậu Giang,Y tế,Dược phẩm,Dược phẩm
A32,Công ty Cổ phần 32,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép
CPA,Công ty Cổ phần Cà phê Phước An,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
DC1,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
DGT,Công ty Cổ phần Công trình Giao thông Đồng Nai,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
NO1,Công ty Cổ phần Tâp đoàn 911,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
DLG,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ
CMK,Công ty Cổ phần Cơ khí Mạo Khê - Vinacomin,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
ATG,Công ty Cổ phần An Trường An,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
DUS,Công ty Cổ phần Dịch vụ Đô thị Đà Lạt,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
DFF,Công ty Cổ phần Tập đoàn Đua Fat,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
DLD,Công ty Cổ phần Du lịch Đắk Lắk,Du lịch và Giải trí,Du lịch & Giải trí,Khách sạn
BWE,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
MTV,Công ty Cổ phần Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
DNW,Công ty Cổ phần Cấp nước Đồng Nai,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
BGW,Công ty Cổ phần Nước sạch Bắc Giang,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
DXL,Công ty Cổ phần Du lịch và Xuất nhập khẩu Lạng Sơn,Du lịch và Giải trí,Du lịch & Giải trí,Khách sạn
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng
DXV,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
AGX,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,Bán lẻ,Phân phối thực phẩm & dược phẩm,Phân phối thực phẩm
DNN,Công ty Cổ phần Cấp nước Đà Nẵng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
EBS,Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
BMD,Công ty Cổ phần Môi trường và Dịch vụ Đô thị Bình Thuận,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
EID,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
GCF,Công ty Cổ phần Thực phẩm G.C,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
BMS,Công ty Cổ phần Chứng khoán Bảo Minh,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
ELC,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông
EPC,Công ty Cổ phần Cà Phê Ea Pốk,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
DTI,Công ty Cổ phần Đầu tư Đức Trung,Du lịch và Giải trí,Du lịch & Giải trí,Khách sạn
CX8,Công ty Cổ phần Đầu tư và Xây lắp Constrexim số 8,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
ATS,Công ty Cổ phần Tập đoàn Đầu tư ATS,Du lịch và Giải trí,Du lịch & Giải trí,Nhà hàng và quán bar
DAD,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
EVG,Công ty Cổ phần Tập đoàn Everland,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
AMV,Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Y tế,Thiết bị và Dịch vụ Y tế,Thiết bị y tế
DPR,Công ty Cổ phần Cao su Đồng Phú,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
ADC,Công ty Cổ phần Mĩ thuật và Truyền thông,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
ECO,Công ty Cổ Phần Nhựa Sinh Thái Việt Nam,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
DSN,Công ty Cổ phần Công viên nước Đầm Sen,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí
BIO,Công ty Cổ phần Vắc xin và Sinh phẩm Nha Trang,Y tế,Dược phẩm,Dược phẩm
DVW,Công ty Cổ phần Dịch vụ và Xây dựng cấp nước Đồng Nai,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
ANT,Công ty Cổ phần Rau quả Thực phẩm An Giang,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
DAH,Công ty Cổ phần Tập đoàn Khách sạn Đông Á,Du lịch và Giải trí,Du lịch & Giải trí,Khách sạn
DVG,Công ty Cổ phần Đại Việt Group DVG,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
DSC,Công ty Cổ phần Chứng khoán DSC,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
DRG,Công ty Cổ phần Cao su Đắk Lắk,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
ANV,Công ty Cổ phần Nam Việt,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
EVE,Công ty Cổ phần Everpia,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
APC,Công ty Cổ phần Chiếu xạ An Phú,Y tế,Dược phẩm,Công nghệ sinh học
LEC,Công ty Cổ phần Bất động sản Điện lực Miền Trung,Bất động sản,Bất động sản,Bất động sản
