time,open,high,low,close,volume
2020-01-02,879.0,887.5,877.6,887.1,333
2020-01-03,887.6,888.7,881.0,881.0,176
2020-01-06,879.3,884.0,874.0,874.0,181
2020-01-07,875.5,878.8,874.0,875.5,162
2020-01-08,867.1,872.0,866.0,866.5,287
2020-01-09,869.6,877.0,869.6,875.4,288
2020-01-10,876.8,884.0,875.8,880.0,365
2020-01-13,879.0,887.0,879.0,880.6,439
2020-01-14,882.7,885.5,881.6,882.8,894
2020-01-15,882.8,884.5,880.1,883.2,1547
2020-01-16,886.8,895.0,885.3,891.4,9329
2020-01-17,897.1,897.1,891.0,894.9,115
2020-01-20,893.8,896.5,893.0,896.5,151
2020-01-21,896.5,903.9,896.5,900.2,197
2020-01-22,900.0,907.9,895.6,907.1,151
2020-01-30,902.1,903.5,875.4,875.9,337
2020-01-31,878.3,879.7,855.0,856.0,350
2020-02-03,849.9,849.9,817.2,844.0,565
2020-02-04,846.1,851.9,835.0,845.0,276
2020-02-05,850.2,851.0,838.0,843.5,238
2020-02-06,847.1,861.5,845.5,860.0,391
2020-02-07,857.6,859.0,852.0,856.0,213
2020-02-10,850.8,850.8,846.5,846.6,246
2020-02-11,847.6,855.7,847.5,849.6,484
2020-02-12,850.8,863.0,850.7,858.3,452
2020-02-13,856.0,856.5,849.6,854.5,427
2020-02-14,858.2,862.1,858.0,861.0,640
2020-02-17,862.0,864.0,859.7,862.9,1568
2020-02-18,861.1,863.0,859.0,859.0,2256
2020-02-19,858.9,862.5,856.1,862.5,6182
2020-02-20,867.0,872.0,865.7,870.2,25026
2020-02-21,868.0,871.0,861.0,861.0,247
2020-02-24,847.8,848.7,830.0,830.0,279
2020-02-25,826.4,841.9,821.0,841.3,285
2020-02-26,828.0,840.1,826.0,834.9,425
2020-02-27,834.8,846.7,830.0,846.0,408
2020-02-28,839.9,839.9,817.0,828.2,606
2020-03-02,833.5,843.7,831.0,838.8,266
2020-03-03,845.9,847.5,838.9,844.0,346
2020-03-04,836.8,842.4,834.5,842.4,230
2020-03-05,844.1,847.0,837.0,838.8,346
2020-03-06,830.2,833.0,823.1,830.0,559
2020-03-09,800.0,804.0,771.9,771.9,805
2020-03-10,769.5,807.0,761.1,807.0,1090
2020-03-11,783.0,785.7,750.6,750.6,1386
2020-03-12,720.0,725.0,698.1,698.1,2053
2020-03-13,663.6,746.9,656.0,710.0,3428
2020-03-16,694.2,703.0,668.9,670.0,2768
2020-03-17,679.0,701.9,672.0,700.0,7134
2020-03-18,699.8,701.9,670.3,682.0,9564
2020-03-19,678.5,680.3,665.0,667.0,35184
2020-03-20,673.5,676.1,666.0,668.4,496
2020-03-23,640.3,640.5,621.7,621.7,351
2020-03-24,630.8,635.5,618.0,621.0,897
2020-03-25,635.2,646.0,631.0,642.9,940
2020-03-26,634.2,638.8,621.0,621.0,597
2020-03-27,626.1,628.6,607.9,610.0,582
2020-03-30,599.9,600.0,573.0,577.0,887
2020-03-31,587.1,597.0,557.0,576.0,1566
2020-04-01,578.2,598.0,574.5,588.0,798
2020-04-03,600.0,610.9,600.0,609.5,886
2020-04-06,633.1,652.1,630.3,652.1,1340
2020-04-07,671.5,678.2,652.1,674.9,2290
2020-04-08,656.0,667.4,653.3,666.0,1395
2020-04-09,675.0,687.6,673.0,673.7,2492
2020-04-10,675.0,680.0,668.9,675.5,2988
2020-04-13,670.1,684.4,670.0,679.7,7605
2020-04-14,686.1,689.0,672.0,683.0,16868
2020-04-15,683.7,697.5,683.1,695.0,24739
2020-04-16,694.0,710.5,691.8,702.5,68436
2020-04-17,716.0,719.0,708.9,713.0,830
2020-04-20,712.4,713.9,705.8,705.8,565
2020-04-21,699.1,700.0,665.0,665.0,755
2020-04-22,655.6,681.9,654.0,678.6,776
2020-04-23,683.5,688.0,671.5,673.0,722
2020-04-24,673.9,688.8,668.0,687.3,572
2020-04-27,698.0,700.0,680.0,683.6,867
2020-04-28,682.3,698.0,677.0,685.3,571
2020-04-29,687.7,694.0,683.0,694.0,558
2020-05-04,674.8,685.0,672.0,676.9,961
2020-05-05,680.0,685.9,677.2,683.5,537
2020-05-06,683.9,705.0,683.5,705.0,887
2020-05-07,706.0,735.0,701.0,731.5,1701
2020-05-08,738.0,782.5,726.5,735.0,2510
2020-05-11,749.0,765.0,740.2,753.7,1598
2020-05-12,757.3,757.3,741.0,749.8,1246
2020-05-13,746.1,766.7,740.2,757.0,1618
2020-05-14,751.0,760.0,748.7,754.2,1395
2020-05-15,758.5,761.9,751.0,751.0,2177
2020-05-18,754.3,776.0,753.4,776.0,3509
2020-05-19,795.0,803.0,783.0,787.0,11367
2020-05-20,787.0,799.0,783.0,799.0,15029
