time,open,high,low,close,volume
2020-01-02,56.53,56.73,56.48,56.65,6619300
2020-01-03,56.65,56.77,56.47,56.65,9394800
2020-01-06,56.65,56.72,55.88,55.88,10086800
2020-01-07,55.89,56.12,55.65,55.76,6200800
2020-01-08,55.76,55.78,54.99,55.02,9020200
2020-01-09,55.02,55.33,55.01,55.18,8582100
2020-01-10,55.18,55.58,55.17,55.56,11976000
2020-01-13,55.56,55.76,55.47,55.64,8758700
2020-01-14,55.65,55.79,55.59,55.7,6885400
2020-01-15,55.69,55.73,55.25,55.35,5073200
2020-01-16,55.34,55.57,55.33,55.46,8117700
2020-01-17,55.46,55.59,55.3,55.41,9254200
2020-01-20,55.41,55.55,55.33,55.49,7108200
2020-01-21,55.49,55.9,55.48,55.9,16500000
2020-01-22,56.02,56.22,55.79,56.22,7380400
2020-01-30,56.21,56.25,55.44,55.73,8909200
2020-01-31,55.73,55.78,54.97,55.13,13476400
2020-02-03,55.17,55.17,53.76,54.38,16202400
2020-02-04,54.38,54.74,54.28,54.74,9540400
2020-02-05,54.97,55.4,54.78,55.21,9171900
2020-02-06,55.22,55.61,55.15,55.61,11769000
2020-02-07,55.61,55.78,55.49,55.76,9588000
2020-02-10,55.76,55.77,55.31,55.37,6772400
2020-02-11,55.37,55.69,55.34,55.67,7689000
2020-02-12,55.67,55.93,55.61,55.91,9499900
2020-02-13,55.91,56.29,55.85,56.17,13041600
2020-02-14,56.17,56.51,56.1,56.47,12150100
2020-02-17,56.47,56.7,56.24,56.26,9003700
2020-02-18,56.26,56.43,56.17,56.25,9809300
2020-02-19,56.28,56.52,56.21,56.4,9883800
2020-02-20,56.41,56.47,56.1,56.34,10733100
2020-02-21,56.34,56.7,56.16,56.3,16588200
2020-02-24,56.3,56.3,55.19,55.23,16469200
2020-02-25,55.23,55.55,54.75,55.53,11662800
2020-02-26,55.47,55.47,55.16,55.34,10653700
2020-02-27,55.34,55.6,55.27,55.52,9956500
2020-02-28,55.49,55.52,54.87,55.05,18510800
2020-03-02,55.08,55.26,54.89,55.17,23326900
2020-03-03,55.21,55.6,55.18,55.47,17023300
2020-03-04,55.86,55.93,55.36,55.54,18200800
2020-03-05,55.54,55.8,55.3,55.45,16995200
2020-03-06,55.45,55.52,55.06,55.42,14686100
2020-03-09,55.41,55.41,52.2,52.44,32240200
2020-03-10,52.44,53.55,52.2,53.41,15742500
2020-03-11,53.41,53.82,52.34,52.48,16719800
2020-03-12,52.47,52.47,50.66,50.92,22195500
2020-03-13,50.92,50.93,49.44,50.49,23049700
2020-03-16,50.47,50.56,49.96,50.15,11741800
2020-03-17,50.15,50.35,49.67,50.31,11577600
2020-03-18,50.3,50.63,50.26,50.37,15452200
2020-03-19,50.35,50.38,49.67,49.9,10576700
2020-03-20,49.9,50.05,49.6,49.85,16893200
2020-03-23,49.85,49.85,47.41,47.57,27804500
2020-03-24,47.57,48.54,47.49,48.51,11478300
2020-03-25,48.51,49.54,48.49,49.53,12566600
2020-03-26,49.54,49.58,48.88,49.0,10519300
2020-03-27,48.95,49.23,48.65,48.82,11117000
2020-03-30,48.81,48.82,47.5,47.63,12898900
2020-03-31,47.63,48.46,47.49,47.74,10102100
2020-04-01,47.74,48.67,47.56,48.63,10220500
2020-04-03,48.63,49.28,48.61,49.14,15404400
2020-04-06,49.13,50.34,49.13,50.33,17808200
2020-04-07,50.33,50.71,50.12,50.43,13984400
2020-04-08,50.42,50.63,50.04,50.31,10944500
2020-04-09,50.3,51.11,50.26,50.74,17542700
2020-04-10,50.77,50.8,50.38,50.63,19747000
2020-04-13,50.63,51.11,50.55,50.86,14431100
2020-04-14,50.86,51.12,50.37,50.78,17134400
2020-04-15,50.78,51.69,50.77,51.51,19393300
2020-04-16,51.48,51.59,51.22,51.54,16058300
2020-04-17,51.53,52.33,51.53,52.16,34857200
2020-04-20,52.16,52.85,52.16,52.64,28406500
2020-04-21,52.64,52.72,51.01,51.18,26446300
2020-04-22,51.18,51.58,50.71,51.48,16763900
2020-04-23,51.48,52.03,51.47,51.74,14675400
2020-04-24,51.74,51.86,51.48,51.66,16999900
2020-04-27,51.67,51.97,51.57,51.97,14092600
2020-04-28,51.96,52.13,51.8,52.11,11914800
2020-04-29,52.11,52.39,52.06,52.22,12128200
2020-05-04,52.22,52.29,51.79,51.91,11212500
2020-05-05,51.9,52.03,51.71,51.98,8313300
2020-05-06,51.98,52.34,51.86,52.34,15498800
2020-05-07,52.35,52.46,52.21,52.37,14601200
2020-05-08,52.36,53.13,52.28,52.91,31637200
2020-05-11,52.9,53.49,52.9,53.49,24327100
2020-05-12,53.49,53.63,53.01,53.63,19470600
2020-05-13,53.64,53.88,53.23,53.73,20124100
2020-05-14,53.73,53.73,53.44,53.48,22949300
2020-05-15,53.48,53.61,53.11,53.15,26788900
2020-05-18,53.15,53.31,53.01,53.29,14033400
2020-05-19,53.29,54.0,53.28,53.8,21913500
2020-05-20,53.8,54.15,53.75,54.01,16718900
2020-05-21,54.0,54.36,53.98,54.31,13596500
2020-05-22,54.32,54.48,54.07,54.24,24231700
2020-05-25,54.24,54.93,54.22,54.93,16376200
2020-05-26,54.92,55.33,54.88,55.33,19659900
2020-05-27,55.33,55.6,54.92,54.93,24838500
2020-05-28,54.92,55.15,54.9,55.01,12498300
2020-05-29,55.02,55.2,54.84,55.03,22440600
2020-06-01,55.04,55.67,54.97,55.59,26366300
2020-06-02,55.58,56.25,55.55,55.98,48585500
2020-06-03,55.98,56.33,55.84,56.33,35528200
2020-06-04,56.32,56.67,56.21,56.33,58411800
2020-06-05,56.32,56.51,55.99,56.43,49168700
2020-06-08,56.43,57.41,56.41,57.3,45216200
2020-06-09,57.29,57.52,57.02,57.29,37451300
2020-06-10,57.3,57.41,56.67,57.3,35746600
2020-06-11,57.31,57.48,55.7,55.94,57281800
2020-06-12,55.95,55.97,54.92,55.95,44560700
2020-06-15,55.94,56.27,55.35,55.54,33924800
2020-06-16,55.55,56.22,55.52,56.08,21267100
2020-06-17,56.07,56.56,55.64,55.88,20264800
2020-06-18,55.88,55.92,55.49,55.77,12924900
2020-06-19,55.77,56.42,55.74,56.34,49488100
2020-06-22,56.33,56.84,56.33,56.68,23702700
2020-06-23,56.67,56.9,56.33,56.64,20331000
2020-06-24,56.64,56.92,56.41,56.74,19190600
2020-06-25,56.74,56.74,56.26,56.63,15380500
2020-06-26,56.63,56.84,56.26,56.41,28580900
2020-06-29,56.41,56.44,55.17,55.51,23897100
2020-06-30,55.47,56.02,55.12,55.52,17768700
2020-07-01,55.52,56.05,55.31,56.05,12978900
2020-07-02,56.02,56.17,55.73,55.89,10555200
2020-07-03,55.88,56.4,55.68,56.26,18253700
2020-07-06,56.26,56.57,56.19,56.48,13204700
2020-07-07,56.48,56.69,56.2,56.35,12388500
2020-07-08,56.35,56.81,56.24,56.78,12151300
2020-07-09,56.77,57.18,56.69,57.16,22355100
2020-07-10,57.12,57.33,57.02,57.25,26847200
2020-07-13,57.25,57.64,57.2,57.28,12375000
2020-07-14,57.56,57.56,56.77,56.94,12827600
2020-07-15,56.93,57.17,56.81,56.98,14993800
2020-07-16,56.98,57.19,56.86,57.03,10923400
