"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","666480446.927374","737430167.597765","763687150.837989","837988826.815642","894972067.039106","925245810.055866","939815642.458101","1031575418.99441","1103932960.89385","1167139664.80447","1248526256.98324","1358681564.24581","1517919553.07263","1555139664.80447","1461899441.34078","1479029050.27933","1646307262.56983","1588415083.79888","1603307262.56983","1629740782.12291","1639472067.03911","1627165921.78771","1704983240.22346","1809608938.54749","1831603351.95531","1623675364.3105","1784490075.65041","1823915938.12077","1900440846.83542",
"Africa Eastern and Southern","AFE","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","97841478417.3866","105694995579.379","98015773709.2403","77381965528.1861","89065495804.3934","114910092982.878","126147506020.064","136586847614.132","169810357657.295","184826410955.771","157090915434.159","154266868920.669","165777408332.908","188715293868.898","184265244775.772","197651288086.349","188974163757.392","185241264702.328","198900655685.562","175807898004.935","171881024056.791","227057615173.568","281928506729.707","323322227511.106","354312638525.339","398724119573.088","417546122770.369","447345977627.012","521999371672.441","578368877992.219","608531940188.304","608754675618.136","629219487411.858","601394354632.381","560229766357.522","623559007517.101","681839144070.875","676989914417.355","620462439786.144","707175021529.902","784455821387.896","859712822047.454",
"Afghanistan","AFG","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","466666655.555556","477777737.777778","466666655.555556","702222244.444444","762222182.222222","995555555.555556","1422222222.22222","1711111100","1371111151.11111","1386666666.66667","1691108966.66667","1826664357.77778","1544444495.55556","1637777771.11111","1984444462.22222","2173333413.33333","2248888957.77778","2680000057.77778","2942222153.33333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18419990527.0292","12617004786.8703","14150977069.9198","16781810326.3078",
"Africa Western and Central","AFW","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6344720575.30073","7651123194.00475","9800833630.16234","11813241575.9669","15215084418.1008","20220179757.9628","25495581604.9486","29678134375.65","29998328722.0861","37988837996.5881","45343057783.1064","49697096481.8308","60460012760.7296","47731428885.5136","29560117545.1335","42137871385.7547","44779572358.9687","35404254103.241","26275532256.0776","29829632472.2533","48603826455.4777","47807190380.8604",
"Albania","ALB","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","916936810.526316","1027971993.00699","1118286771.56177","1125850769.23077","1169370641.02564","1182331048.95105","1309162500","1337825025","1370649987.5","1453374975","1271486850","1036054826.38889","1079374622.9967","1468051508.63442","1903197236.77457","2191517724.85774","3012059445.55387","2211624062.71302","2408897459.64541","2779678711.07893","2879464404.75529","3067457190.58889","3479962651.11555","4507739241.09534","5547252085.79671","6195706981.98084","6905407038.12877","8730519036.52649","10703597099.0458","9734055380.33391","9316043297.79018","10093392459.528","9605390408.00675","10224732442.5298","10686670458.8548","9188593701.2885","9602953219.08291","10364747648.3988","11453757185.9689","11773979072.4959","11363042882.8201","12927979166.9772","13570171567.9491","16531612533.4229",
"Andorra","AND","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","27190871468.5168","30022668125.6428","34485870958.1987","39573506286.6128","50050842950.2481","67488969163.1999","79465765661.8356","105050277864.229","123535630200.123","151100802183.53","182273169014.148","200874630609.107","225616608840.224","234257445491.085","248309186288.438","252705283371.293","257321686381.006","267455817912.28","271959415853.349","309498400322.181","383688947018.178","293964815580.082","274295271293.788","300212089519.638","308182832722.383","319805331300.318","332856066985.465","352065601580.347","361476793984.509","368215776209.253","372362680438.913","374864133938.656","380094029218.75","404579489034.305","456446266677.91","512506859004.722","597022076327.403","722409778584.911","875938507911.546","891497998917.53","938080929757.33","1021374677853.79","1121676039319.27","1180921038710.46","1290656792474.23","1315928349928.23","1334045996035.29","1311442861861.28","1348080941976.31","1413506856693.06","1400517377895.21","1511317101911.13","1678059293434.03","1740221977674.01",
"United Arab Emirates","ARE","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61087656609.9387","67397163131.3819","72834474935.3302","89820739523.4854","101764918093.941","124444700830.497","155001863144.997","184183067283.867","132573846752.893","122407762710.849","134648842770.612","120397631632.769","131033093693.495","148412623358.081","153562797048.376","154727859917.263","159662619739.326","161715988655.681","163818997113.016","161847268269.692","169662195742.66","211979312917.117","234509981907.164",
"Argentina","ARG","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","16395100920.6536","13112305455.0693","17583550655.2055","19106470077.1627","19179524090.076","16142121567.5792","17818286029.1255","20788000652.075","20514474652.8526","22087199393.1043","23061625752.1497","34502333869.7978","46339887781.9045","30479729907.7781","28960251673.5518","32792999467.2985","51774050190.4136","43597131261.72","","","","","","","","82079530289.24","93541303183.5763","56331844057.5084","109038532439.115","152618772836.917","187270475206.987","163839382682.683","180006952200","176908603000","186487153500","203028516700","206433800000","198869454200","197044177500","185164262200","60489618364.2844","80632168516.4444","105926917928.179","125262782955.786","147139416222.713","179796371906.655","228051225933.264","209702422221.036","272113324478.662","340469249246.984","354361120355.997","364267951166.433","344124011884.784","391974496653.948","366420786669.083","429554843450.409","364593335904.847","296089364842.806","253449670108.806","306307486891.723","413936329501.25","426081354837.618",
