"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33251396.6480447","34636871.5083799","37944134.0782123","46530726.2569832","62011173.1843575","76829608.9385475","81112849.1620112","86827932.9608939","97657541.8994413","126767039.106145","146021229.050279","162157541.899441","178492178.77095","189653631.284916","107412290.502793","70184357.5418994","110950837.988827","52085474.8603352","89000000","95987150.8379888","106228491.620112","110067039.106145","115463687.150838","105657541.899441","87015083.7988827","","","","",
"Africa Eastern and Southern","AFE","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","3952935881.46004","4264981599.72427","4649953788.7797","5065239085.64563","5769305732.96465","6442427515.26983","6951884949.63585","7268220258.16753","9865979375.11372","12109933316.8276","13557144638.0679","13310102375.3164","13728344251.425","15511315108.3667","19480530400.7511","27085203959.807","30572231639.7348","27799300745.739","30116981390.2285","26660167819.3943","20057408252.8099","23130240089.1434","30345515130.2939","33658753826.3387","36333850895.6277","42623885371.0072","44169889597.8249","42543592583.937","40106281212.5498","40815891746.3408","46009520027.4328","43880131601.0838","45387302862.0135","41602132560.748","39277021830.9983","41993681684.443","38444454607.3344","37813550945.2339","51538951355.5223","63828943759.7045","70183487304.8627","71045860582.4702","79197775921.9737","79940990694.5867","84070289391.6559","96466207946.0554","101879446638.338","100811968843.537","98001023424.2199","98082487585.8646","92724571476.6443","88485443234.4717","106123663607.144","109702297686.882","108833264667.092","97467543754.5003","112680162103.463","125132545122.7","124373216748.939",
"Afghanistan","AFG","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","720102301.122099","765118992.088639","917178696.919335","1029629684.80013","1142360046.64419","1729987533.8788","1803409257.3226","1632708763.90134","1985663504.69017","2453398176.74875","2485646144.41251","2316811184.00276","2352575876.40564","2185129260.81956","745351407.840014","662076240.50029","1112110510.83443","1324078917.64664","1502305214.37745","1211123774.78915","1477307127.52739","1310857913.91569",
"Africa Western and Central","AFW","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","47258783609.46","41475146361.4954","29989326283.0777","20211383073.5584","24110046475.6148","19932810477.4274","18001892639.6537","18778672498.2795","15584562783.2163","18651650151.8771","20672310126.2297","18121070991.7829","20440118877.9604","25209186809.3038","39776843923.1333","48461134892.0539","52183228219.7888","51961980687.4257","19205216320.5587","18105388237.1405","19011774394.0401","20949579708.4846","24374939687.6272","28108964174.2652","33248626490.8233","39128674834.9199","45311061435.015","54591610875.6334","47762038003.3001","49359145232.5792","60497294883.9511","65330972578.0539","84141098789.315","94073653221.468","79051378277.0508","69302788698.4093","69467339920.8716","82094157158.7653","95790732717.4479","96905524043.1094","114676341077.44","116865310678.315","110339594751.563",
"Angola","AGO","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201958350.470591","259342533.481708","334875882.351015","407249039.003883","198301075.068459","263860205.184102","346103353.081092","559731744.44128","712475146.033577","1102692810.98514","1446628298.61267","1892429939.09323","2218726338.51503","3064975557.40344","3592291032.01137","3805982754.93625","4659178394.57709","5638540637.0127","6388462255.72409","6476196121.9122","5144852547.39742","3562823565.77482","4849217241.746","4814290010.78495","4351324875.66028","3425685990.27693","4349776656.42026","7777539663.12918","6782361220.4058",
"Albania","ALB","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155437017.591292","103517382.413088","120269912.675311","145590152.063722","150276373.534804","160768481.136016","176816057.456316","231427088.171808","300144345.119245","356372378.906736","436345835.475164","565555579.564863","643783955.401947","626007337.268836","650270996.278917","729861658.409619","568493539.354978","646451580.33658","704503223.359879","645807585.255282","674241295.28566","801776467.950801","1031675115.33819","1085890448.00416","1077481584.35343","1247506586.16692","1427171427.85943","1619510474.38337",
"Andorra","AND","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54881057.6640636","53442213.9115875","60658554.4924704","85583595.2691321","106005355.427127","109902934.656203","118829872.666149","134512419.546087","146737273.126409","133257512.588937","127640000.667679","132848209.32989","118740169.057252","122572013.839542","120295746.024816","103395506.273569","108365814.741959","112471057.925521","116194114.220719","115910390.740867","107937532.294239","135104425.618627","120879453.165726","128595277.858673",
"Arab World","ARB","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","12378486760.3247","14473114098.7768","16712654871.2298","18802843237.5534","24626037720.5216","30735546766.2281","36576887878.2966","36937075343.0473","39036126125.6903","43393045680.2152","44093380677.8546","44540735906.0658","50594176428.6427","54614491343.8385","57732435602.994","62260547387.2676","51774373159.7027","52525617351.536","53244401096.8704","56806588476.8363","64467547855.6833","71762921734.4875","78087089759.205","79740546848.0314","86051564477.6124","99401914507.0319","84656684810.0801","87097865834.6493","95660667312.9834","106563774523.929","119677752640.819","135334014529.753","154256787414.129","186149644504.561","180623804922.427","211268269002.7","239926387668.538","260236855403.241","267866627052.898","287418355008.067","272060908984.593","272469791602.884","273323901779.629","295666805156.319","296862519767.381","285701111326.155","342773710691.945","427113076848.868","409162154459.479",
"United Arab Emirates","ARE","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","134047411.382922","215781549.134445","682499423.564676","816023719.709414","954745633.539116","1625413197.78333","3163443203.48679","3695723236.17543","3753745573.41324","3823208934.89512","3624897847.99782","2809043857.2596","3192590574.77527","3207028057.74993","3386270770.90711","3799509670.38954","3826750204.304","4113320621.08417","4363116317.07981","3906837374.01253","4452465268.31926","4883138109.50695","6224734404.79433","6531518039.48264","7226412525.52757","9465486725.66372","13754663036.079","14345813478.5568","15247923757.6583","17018107556.1607","19159972770.5922","21449693669.1627","23278420694.3499","27131654186.5214","23314635806.6712","25442288286.3527","29401709435.3977","31095868545.7922","31720297182.2867","33605870207.6757","33976082195.4717","34442146214.9258","36635868564.3044","38117534633.6242","37064624581.5461","35966994023.6749","41525151135.5314","49372035860.714","55761508809.8775",
"Argentina","ARG","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","11673529107.6695","11740952533.018","9174848543.83873","9569142702.52082","11453999979.1217","9963158196.17034","11906599839.0298","12628249874.21","18040443689.335","24655222754.2397","20039486085.9997","20015850633.0869","20778999454.2837","30390449353.4561","22635232910.6023","22685371287.1712","22631579613.8817","26439043921.3852","31889838392.5678","34733639045.1487","26129552731.8468","29029778073.907","29919344245.4758","35528854507.587","23716419731.0225","37867951993.0461","46265967383.3246","50009084512.8715","43181479379.3794","45873469700","44502096300","47723427100","53382062500","53326264700","48089824700","46877339400","43241974900","19884659444.7571","28690164511.4211","31181294718.6206","36449209845.7969","41576107685.8108","49016520323.1183","59795791835.7078","51890313730.722","67123175368.3781","84033764932.5814","83081051122.8397","82864793306.4051","77752039861.1526","84344878153.7785","75200104206.6516","82610787771.5883","73790429479.3891","60629741137.9921","56281582711.3467","75701669306.8889","103156439200.254","105423325272.298",
