"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59520000","62000000","67920000","83290000","111000000","137525000","145192000","155422000","174807000","226913000","261378000","290262000","319501000","339480000","192268000","125630000","198602000","93233000","159310000","171817000","190149000","197020000","206680000","189127000","155757000","","","","",
"Africa Eastern and Southern","AFE","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34288037600","37462427100","43848492900","51149586200","57029600800","86148822400","91879808100","80436757300","90942850400","117170960300","128456122200","130961614300","135030315300","139638865200","50313204900","45382180100","81788081200","103506328800","115554000000","106264000000","130786000000","103243169300",
"Africa Western and Central","AFW","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","547500","28789000","76700000","159977000","553400000","2649300000","7634300000","24365238700","53155135200","92120460400","126086881300","152090945600","170189939800","229975396000","284969862900","349791585400","437658757700","538299943800","636968056000","682255656100","793094243800","1117539288700","1333370450000","1552905141700","1861514000000","2239039000000","2912879000000","3887587000000","4956813000000",
"Albania","ALB","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16243000000","15186000000","18180000000","20106000000","21641000000","23096000000","24826000000","27951000000","30816000000","35591000000","42807000000","51142000000","54010000000","59457000000","67587000000","73640000000","61502000000","68310000000","74311000000","81347000000","83702000000","95491336800","111409736320","119285970260","117068374140","129141881800","161329837300","162995631694.314",
"Andorra","AND","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59420000","59670000","64150000","75660000","85220000","88340000","94640000","98150000","99770000","95540000","96280000","95440000","92420000","92290000","90550000","93190000","97900000","99560000","98390000","103540000","94500000","114230000","114790000","118930000",
"Arab World","ARB","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","531000000","853000000","2664000000","3159000000","3643000000","6026000000","11613000000","13567000000","13780000000","14035000000","13307000000","10312000000","11720000000","11773000000","12431000000","13948000000","14048000000","15100000000","16017000000","14342000000","16345000000","17926000000","22851000000","23987000000","26539000000","34762000000","50514000000","52685000000","55998000000","62499000000","70365000000","78774000000","85490000000","99641000000","85623000000","93436803731.6304","107977777901.498","114199577234.422","116492791401.948","123417558337.689","124777161862.87","126488781974.315","134545227302.408","139986645941.985","136119833775.728","132088785551.946","152501117545.239","181318801698.472","204784141104.275",
"Argentina","ARG","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","0.1984499991","0.2465600073","0.3027699888","0.3349199891","0.4008899927","0.3786000013","0.5953299999","1.0102599859","1.6236399412","2.2189700604","7.4146099091","40.031700134","103.89499664","241.83200073","631.52301025","1132","2150","6853","33580","234970","1572500","2737600","6415600","31097000","1004009984","18464000000","44114599900","49541099500","43138297900","45873469700","44502096300","47723427100","53382062500","53326264700","48089824700","46877339400","43241974900","63603071700","84529831700","91866330500","106839923900","127987889900","152911936800","190132679300","194474517800","263297367700","345390538600","401406098500","502616403800","676458297200","844444051100","1109816297900","1368258272900","2073141525900","2919194228300","3970055961900","7190957738100","13473933040800","31232507926300",
